"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,6.6994524213929e-10,0
1804,9.60845149476443e-10,0
1805,9.60845149476443e-10,0
1806,1.70180774234601e-09,1
1807,1.90165045615182e-09,1
1808,2.12633057193403e-09,1
1809,2.81775247579219e-09,2
1810,2.1478072336529e-09,1
1811,2.08097168068783e-09,1
1812,2.30924657174114e-09,2
1813,1.56828397887157e-09,1
1814,2.36711536086684e-09,1
1815,2.69489725772993e-09,2
1816,2.00347535387177e-09,1
1817,2.16707873867961e-09,1
1818,2.28471946123981e-09,2
1819,2.34349073480189e-09,2
1820,2.62505975686825e-09,2
1821,2.11694925081726e-09,2
1822,2.27886487458306e-09,2
1823,2.54727267850236e-09,2
1824,2.76786076598106e-09,3
1825,2.78899497147782e-09,3
1826,3.52131397057016e-09,4
1827,3.2397449485038e-09,3
1828,3.38231312798801e-09,4
1829,2.93693241155373e-09,4
1830,3.94429901438644e-09,5
1831,4.80406739785825e-09,6
1832,6.47642120884687e-09,13
1833,6.48277003507352e-09,10
1834,7.27632985610325e-09,11
1835,8.3255834924602e-09,14
1836,9.49212372195315e-09,16
1837,9.99240468146922e-09,17
1838,9.84324983426583e-09,17
1839,8.67747150325369e-09,16
1840,9.02484721874787e-09,17
1841,1.04390753818961e-08,19
1842,9.86035316888742e-09,18
1843,9.80378635416303e-09,18
1844,8.53850333294913e-09,17
1845,7.95413528693294e-09,19
1846,8.26950688878217e-09,18
1847,8.16973564989252e-09,17
1848,6.79764926887166e-09,14
1849,6.66945118180503e-09,14
1850,6.51451619632886e-09,15
1851,7.0231558981147e-09,18
1852,7.81683892217952e-09,21
1853,7.27684030096424e-09,22
1854,6.7743687762586e-09,21
1855,8.19257592321598e-09,23
1856,8.54374447776886e-09,25
1857,8.05370884664797e-09,23
1858,7.69368160053701e-09,21
1859,7.6672516946541e-09,22
1860,7.8372181839497e-09,23
1861,8.84381229360187e-09,22
1862,6.9618948383976e-09,16
1863,6.50024913260795e-09,15
1864,6.21518791987796e-09,16
1865,5.89307697878334e-09,15
1866,5.37429228104307e-09,16
1867,5.46567302528445e-09,16
1868,4.41422393875663e-09,14
1869,4.45679556751851e-09,14
1870,4.15518540210412e-09,14
1871,4.24728338214006e-09,13
1872,4.8075109607534e-09,17
1873,4.16007855148186e-09,14
1874,3.67029782360235e-09,13
1875,3.4407992447313e-09,12
1876,3.39121164086694e-09,12
1877,3.39331992267005e-09,12
1878,3.75031348436623e-09,13
1879,3.48398037007337e-09,13
1880,3.87320630726836e-09,16
1881,3.84728399931739e-09,15
1882,3.78259618865379e-09,15
1883,3.7843501189881e-09,16
1884,3.53807800517509e-09,16
1885,3.33012344683985e-09,15
1886,3.17113836776985e-09,14
1887,3.19638225411621e-09,15
1888,3.60184103177984e-09,18
1889,4.1157045866618e-09,21
1890,4.61511386250026e-09,24
1891,5.12370274779223e-09,27
1892,4.88218521166317e-09,26
