"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,3.05525712665907e-09,0
1828,3.05525712665907e-09,0
1829,3.05525712665907e-09,0
1830,3.05525712665907e-09,0
1831,3.05525712665907e-09,0
1832,3.05525712665907e-09,0
1833,3.05525712665907e-09,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,1.42112074489173e-09,0
1857,1.42112074489173e-09,0
1858,1.42112074489173e-09,0
1859,1.42112074489173e-09,0
1860,1.42112074489173e-09,0
1861,1.42112074489173e-09,0
1862,2.66359835775022e-09,0
1863,2.2813356917847e-09,0
1864,2.2813356917847e-09,0
1865,2.2813356917847e-09,0
1866,2.2813356917847e-09,0
1867,2.2813356917847e-09,0
1868,2.2813356917847e-09,0
1869,1.0388580789262e-09,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,2.39146962550356e-08,5
1890,2.39146962550356e-08,5
1891,2.39146962550356e-08,5
1892,2.39146962550356e-08,6
1893,2.39146962550356e-08,7
1894,2.39146962550356e-08,6
1895,2.39146962550356e-08,8
1896,5.04313035776249e-10,0
1897,5.04313035776249e-10,0
1898,5.04313035776249e-10,0
1899,2.16060185615723e-09,1
1900,2.5600115360902e-09,1
1901,2.5600115360902e-09,1
1902,2.5600115360902e-09,1
1903,2.05569850031395e-09,1
1904,2.48891177509084e-09,1
1905,2.48891177509084e-09,1
1906,8.32622954709856e-10,0
1907,4.33213274776888e-10,0
1908,4.33213274776888e-10,0
1909,4.33213274776888e-10,0
1910,4.33213274776888e-10,0
1911,0,0
1912,0,0
1913,0,0
1914,4.85060565681904e-08,14
1915,4.85060565681904e-08,15
1916,5.22418126536195e-08,13
1917,5.22418126536195e-08,17
1918,5.22418126536195e-08,11
1919,5.22418126536195e-08,14
1920,5.22418126536195e-08,16
1921,1.74293965926609e-08,5
1922,1.74293965926609e-08,6
1923,1.36936405072317e-08,3
1924,1.36936405072317e-08,3
1925,1.36936405072317e-08,3
1926,1.36936405072317e-08,3
1927,1.36936405072317e-08,3
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,2.21501623392279e-09,0
1934,2.21501623392279e-09,0
