"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,1.18498242964092e-10,0
1827,4.32210061391507e-10,0
1828,4.32210061391507e-10,0
1829,5.02484339851402e-10,1
1830,5.02484339851402e-10,1
1831,5.02484339851402e-10,1
1832,5.02484339851402e-10,1
1833,3.83986096887311e-10,1
1834,4.0251505303449e-10,1
1835,4.0251505303449e-10,1
1836,3.32240774574594e-10,1
1837,3.32240774574594e-10,1
1838,3.32240774574594e-10,1
1839,3.32240774574594e-10,1
1840,3.32240774574594e-10,1
1841,6.99776189375509e-11,0
1842,6.99776189375509e-11,0
1843,7.25722854826622e-10,1
1844,7.25722854826622e-10,1
1845,7.25722854826622e-10,2
1846,7.25722854826622e-10,2
1847,7.25722854826622e-10,2
1848,6.55745235889071e-10,1
1849,6.55745235889071e-10,1
1850,3.79759271648287e-10,1
1851,6.11902243160703e-10,2
1852,6.11902243160703e-10,2
1853,6.11902243160703e-10,2
1854,6.11902243160703e-10,2
1855,8.21909223220579e-10,2
1856,1.46799367899726e-09,4
1857,1.08823440734897e-09,3
1858,8.56091435836553e-10,2
1859,8.56091435836553e-10,2
1860,8.56091435836553e-10,3
1861,1.75987835415725e-09,4
1862,1.66130791663071e-09,4
1863,1.49260223228761e-09,3
1864,1.49260223228761e-09,4
1865,1.49260223228761e-09,4
1866,2.86403049688998e-09,8
1867,2.95045540380353e-09,9
1868,2.09148017952085e-09,7
1869,2.09880129149147e-09,7
1870,1.62142252005789e-09,5
1871,1.62142252005789e-09,5
1872,1.62142252005789e-09,6
1873,1.38124807623287e-09,5
1874,1.29482316931931e-09,5
1875,1.2500114752813e-09,4
1876,1.20791778960136e-09,4
1877,1.24286946210996e-09,4
1878,1.24286946210996e-09,4
1879,1.83640427071324e-09,7
1880,8.03810500303394e-10,3
1881,8.6694169105466e-10,3
1882,9.64170424055943e-10,4
1883,1.01599696711308e-09,4
1884,9.81045294604474e-10,4
1885,1.15518494968127e-09,5
1886,6.44415990807319e-10,3
1887,6.01023877492121e-10,3
1888,5.64895529163247e-10,3
1889,1.61918631082423e-09,8
1890,1.49069579894309e-09,8
1891,1.49069579894309e-09,8
1892,1.36149930813583e-09,7
1893,1.30179513002648e-09,7
1894,1.26861896582969e-09,7
1895,1.26278733105144e-09,8
1896,3.63213360181953e-10,2
1897,4.56097140214392e-10,3
1898,5.28249812939815e-10,4
1899,5.5616227496407e-10,4
1900,5.69241812417179e-10,4
1901,6.32833476098073e-10,5
1902,6.28880558739553e-10,5
1903,4.88509026881039e-10,4
1904,4.27332726744239e-10,4
1905,4.314143665323e-10,4
