"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,1.56892366162279e-11,0
1954,1.56892366162279e-11,0
1955,1.56892366162279e-11,0
1956,1.56892366162279e-11,0
1957,1.56892366162279e-11,0
1958,1.56892366162279e-11,0
1959,1.56892366162279e-11,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,8.84467895748539e-12,0
1968,8.84467895748539e-12,0
1969,8.84467895748539e-12,0
1970,1.76141878860392e-11,0
1971,1.76141878860392e-11,0
1972,1.76141878860392e-11,0
1973,1.76141878860392e-11,0
1974,8.7695089285538e-12,0
1975,8.7695089285538e-12,0
1976,8.7695089285538e-12,0
1977,8.02641088513769e-12,0
1978,8.02641088513769e-12,0
1979,1.61541117784024e-11,0
1980,2.39909386999328e-11,0
1981,2.39909386999328e-11,0
1982,2.39909386999328e-11,0
1983,2.39909386999328e-11,0
1984,1.59645278147951e-11,0
1985,1.59645278147951e-11,0
1986,7.83682692153041e-12,0
1987,0,0
1988,1.38628186311226e-11,0
1989,1.38628186311226e-11,0
1990,3.38352034881925e-11,1
1991,4.69737403736253e-11,1
1992,6.60607778797078e-11,1
1993,1.43357082157561e-10,3
1994,1.75872731061106e-10,4
1995,1.87558438026679e-10,4
1996,2.631829129629e-10,6
1997,2.60468102443655e-10,6
1998,2.99329652334431e-10,7
1999,3.12782078015772e-10,7
2000,2.45870631394267e-10,6
2001,4.00971999651009e-10,10
2002,4.13003349773535e-10,11
2003,3.47695149457586e-10,10
2004,3.55670305707267e-10,10
2005,3.13607405917032e-10,8
2006,3.42826810590629e-10,9
2007,3.3244195293428e-10,9
2008,1.81862491336179e-10,5
2009,1.73323371528105e-10,5
2010,2.57166713519512e-10,7
2011,3.10854733818834e-10,8
2012,3.22276976930499e-10,11
2013,2.81922199870824e-10,10
2014,3.07900946802267e-10,9
2015,3.25170105127829e-10,9
2016,3.02387834514147e-10,8
2017,2.42932920886211e-10,7
2018,1.81030453821895e-10,5
2019,1.88909064606502e-10,4
