"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,6.08154399855160e-11,0
1843,6.08154399855160e-11,0
1844,6.08154399855160e-11,0
1845,6.08154399855160e-11,0
1846,6.08154399855160e-11,0
1847,6.08154399855160e-11,0
1848,6.08154399855160e-11,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,3.97407146872959e-11,0
1875,3.97407146872959e-11,0
1876,3.97407146872959e-11,0
1877,3.97407146872959e-11,0
1878,3.97407146872959e-11,0
1879,3.97407146872959e-11,0
1880,3.97407146872959e-11,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,3.71535104269429e-11,0
1898,3.71535104269429e-11,0
1899,3.71535104269429e-11,0
1900,3.71535104269429e-11,0
1901,3.71535104269429e-11,0
1902,3.71535104269429e-11,0
1903,3.71535104269429e-11,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,1.27437247262766e-11,0
1958,1.27437247262766e-11,0
1959,1.27437247262766e-11,0
1960,1.27437247262766e-11,0
1961,1.27437247262766e-11,0
1962,1.27437247262766e-11,0
1963,1.27437247262766e-11,0
1964,0,0
1965,0,0
1966,7.03445714376829e-11,1
1967,1.32257324140081e-10,2
1968,1.85396571111036e-10,3
1969,1.94373456814072e-10,3
1970,1.94373456814072e-10,3
1971,1.94373456814072e-10,3
1972,2.11764347129202e-10,3
1973,1.41419775691519e-10,2
1974,8.76545264943169e-11,1
1975,4.26247792022811e-11,1
1976,6.57936200560665e-11,1
1977,7.38200309412042e-11,1
1978,7.38200309412042e-11,1
1979,6.45568415193397e-11,1
1980,8.80673227795662e-11,2
1981,7.99198192743703e-11,1
1982,7.92218146242593e-11,1
1983,4.70760880674373e-11,1
1984,3.90496771822997e-11,1
1985,3.90496771822997e-11,1
1986,3.0921976289035e-11,1
1987,1.40989625728251e-11,0
1988,3.48931900238737e-11,1
1989,2.74816949950653e-11,1
1990,2.74816949950653e-11,1
1991,2.74816949950653e-11,1
1992,2.74816949950653e-11,1
1993,2.74816949950653e-11,1
1994,2.72973573308847e-11,1
1995,1.28902612790099e-11,0
1996,1.28902612790099e-11,0
1997,1.28902612790099e-11,0
1998,2.44458362283087e-11,1
1999,2.98690799276675e-11,1
2000,4.54463664121908e-11,1
2001,4.40139665785250e-11,1
2002,3.76268351793512e-11,1
2003,3.76268351793512e-11,1
2004,8.30457498403523e-11,2
2005,7.14901748910535e-11,2
2006,7.12135033482347e-11,2
2007,7.17377001056642e-11,2
2008,1.19577764852639e-10,3
2009,1.23726444268517e-10,3
2010,1.23726444268517e-10,3
2011,1.01519515512326e-10,3
2012,1.17539088085555e-10,4
2013,2.14061950704852e-10,7
2014,2.75896712222311e-10,8
2015,8.25790453874907e-10,22
2016,1.60395243515537e-09,43
2017,1.8712778410146e-09,51
2018,2.21303662895078e-09,58
2019,2.73826153418533e-09,63
