"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,5.17283707931629e-10,0
1919,5.17283707931629e-10,0
1920,5.17283707931629e-10,0
1921,5.17283707931629e-10,0
1922,5.17283707931629e-10,0
1923,5.17283707931629e-10,0
1924,5.17283707931629e-10,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,4.83642281778884e-09,1
1938,4.83642281778884e-09,1
1939,4.83642281778884e-09,1
1940,4.83642281778884e-09,1
1941,4.83642281778884e-09,1
1942,4.83642281778884e-09,1
1943,4.83642281778884e-09,1
1944,1.19966538290685e-09,0
1945,1.19966538290685e-09,0
1946,1.19966538290685e-09,0
1947,1.19966538290685e-09,0
1948,1.19966538290685e-09,0
1949,1.19966538290685e-09,0
1950,1.19966538290685e-09,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,8.98944728179783e-10,0
1958,8.98944728179783e-10,0
1959,8.98944728179783e-10,0
1960,1.71004207619571e-09,1
1961,1.71004207619571e-09,1
1962,2.4958421995791e-09,1
1963,2.87457064500935e-09,1
1964,2.63028814601845e-09,1
1965,7.90004458676005e-09,3
1966,8.85114321518594e-09,3
1967,8.95749398464675e-09,4
1968,8.95749398464675e-09,4
1969,8.53566249427372e-09,4
1970,8.15693404884347e-09,4
1971,7.50227181965459e-09,3
1972,2.95063154861655e-09,1
1973,1.99953292019066e-09,1
1974,1.39282794821481e-09,1
1975,2.285113178045e-09,1
1976,2.20547415251206e-09,1
1977,3.00034460768269e-09,1
1978,3.73565426211745e-09,2
1979,3.2518092504422e-09,2
1980,3.91876596252315e-09,2
1981,3.81887851500348e-09,2
1982,3.71177181054553e-09,2
1983,4.32092802807712e-09,3
1984,4.52077331125622e-09,3
1985,5.39953964080147e-09,4
1986,7.71340153653861e-09,6
1987,9.22174070439041e-09,8
1988,1.02169953925773e-08,9
1989,1.17936279948288e-08,11
1990,1.16582595957989e-08,12
1991,1.25711873609293e-08,13
1992,1.23918877619517e-08,13
1993,1.09656258121379e-08,12
1994,9.35050973157761e-09,11
1995,9.61600104305254e-09,11
1996,8.28465045772069e-09,10
1997,8.96722994271824e-09,11
1998,7.88858651417407e-09,11
1999,7.68441891864567e-09,12
2000,7.13864894974492e-09,15
2001,8.44918321022245e-09,19
2002,7.99184970582242e-09,19
2003,8.09900557730003e-09,22
2004,1.03698193524134e-08,31
2005,1.13831896289948e-08,32
2006,1.078798444227e-08,34
2007,1.12412215726364e-08,40
2008,1.07438545361914e-08,45
2009,1.01546921823673e-08,48
2010,9.62045226022517e-09,48
2011,6.67073496440906e-09,41
2012,5.51711750887815e-09,42
2013,1.02967357338914e-08,80
2014,1.00362432808865e-08,92
2015,9.638293163583e-09,72
2016,1.46695284808374e-08,99
2017,1.64105106540783e-08,133
2018,1.86261020385103e-08,144
2019,2.20773099801619e-08,167
