"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,8.86317685910853e-10,1
1826,8.86317685910853e-10,1
1827,8.86317685910853e-10,1
1828,8.86317685910853e-10,1
1829,8.86317685910853e-10,1
1830,8.86317685910853e-10,1
1831,8.86317685910853e-10,1
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,3.05302957518247e-10,1
1839,3.05302957518247e-10,1
1840,3.05302957518247e-10,1
1841,3.05302957518247e-10,1
1842,3.05302957518247e-10,1
1843,3.05302957518247e-10,1
1844,3.05302957518247e-10,1
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,2.4571027752123e-10,1
1873,2.4571027752123e-10,1
1874,2.4571027752123e-10,1
1875,2.4571027752123e-10,1
1876,2.4571027752123e-10,1
1877,2.4571027752123e-10,1
1878,2.4571027752123e-10,1
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,1.85767552134714e-11,0
1898,1.85767552134714e-11,0
1899,1.85767552134714e-11,0
1900,1.85767552134714e-11,0
1901,5.28501290350139e-11,0
1902,5.28501290350139e-11,0
1903,5.28501290350139e-11,0
1904,3.42733738215425e-11,0
1905,3.42733738215425e-11,0
1906,4.97883599427849e-11,0
1907,7.90887078050417e-11,1
1908,4.48153339834992e-11,0
1909,7.23773501449492e-11,1
1910,1.8256846827975e-10,2
1911,2.10524332094104e-10,2
1912,2.10524332094104e-10,2
1913,2.23605183971972e-10,2
1914,2.08921325676023e-10,2
1915,6.55205573328401e-10,6
1916,6.57747284217778e-10,7
1917,6.03419103374834e-10,6
1918,8.48687777792773e-10,8
1919,9.05510763593576e-10,9
1920,1.01612485489281e-09,10
1921,1.0015083653265e-09,10
1922,6.51829301843789e-10,7
1923,7.69046244345325e-10,5
1924,8.10869420220239e-10,4
1925,6.29665582571207e-10,4
1926,8.24995213017615e-10,5
1927,8.44953926271153e-10,5
1928,1.18709619317021e-09,7
1929,1.31806318439041e-09,8
1930,8.19540983885782e-09,51
1931,8.38628683560597e-09,52
1932,8.50705534984263e-09,48
1933,8.32440420959836e-09,43
1934,8.23263918544751e-09,45
