"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,9.77231589300536e-12,0
1967,9.77231589300536e-12,0
1968,9.77231589300536e-12,0
1969,9.77231589300536e-12,0
1970,9.77231589300536e-12,0
1971,9.77231589300536e-12,0
1972,9.77231589300536e-12,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,9.08615246534136e-12,0
1979,9.08615246534136e-12,0
1980,9.08615246534136e-12,0
1981,9.08615246534136e-12,0
1982,9.08615246534136e-12,0
1983,9.08615246534136e-12,0
1984,1.72709688812349e-11,0
1985,2.42868894638283e-11,0
1986,3.19826932794674e-11,1
1987,4.68690859932254e-11,1
1988,6.22993303770311e-11,1
1989,9.19003226692742e-11,2
1990,9.19003226692742e-11,2
1991,9.10167234239153e-11,2
1992,1.17350078563235e-10,2
1993,1.59778770571416e-10,3
1994,2.09903655964564e-10,4
1995,2.51179852710821e-10,6
1996,2.91539270899247e-10,6
1997,3.10714297545113e-10,7
1998,3.4835692663826e-10,8
1999,3.66196251893364e-10,8
2000,3.9103315030431e-10,10
2001,3.76666796959262e-10,9
2002,3.79517469038605e-10,10
2003,3.49601169442287e-10,9
2004,4.14393626556121e-10,11
2005,5.23829162586103e-10,14
2006,5.89348443063337e-10,16
2007,6.69556703731493e-10,19
2008,7.01484505403828e-10,20
2009,8.17483660129982e-10,22
2010,9.68594054168952e-10,25
2011,1.08179886477393e-09,29
2012,1.02278259671097e-09,35
2013,1.04596387107136e-09,36
2014,1.00671204705804e-09,30
2015,1.05722118361383e-09,28
2016,1.06321591213694e-09,28
2017,1.01740497508255e-09,27
2018,9.44844757988506e-10,24
2019,1.0141704975819e-09,23
