"Year","Freq","Count"
1800,1.3593541639878e-05,162
1801,1.35130381281101e-05,57
1802,1.24056030574119e-05,46
1803,1.17388662884212e-05,78
1804,1.09090152510102e-05,46
1805,1.0060142203981e-05,58
1806,9.52932197151313e-06,102
1807,1.13010728028939e-05,81
1808,1.15866115736805e-05,100
1809,1.11676767419665e-05,144
1810,1.09946396479797e-05,238
1811,1.11665967961829e-05,124
1812,1.04781845229646e-05,345
1813,1.01803397387e-05,188
1814,9.3178475688254e-06,112
1815,8.40149813541302e-06,136
1816,9.82733588322e-06,127
1817,1.04984715250112e-05,155
1818,1.05438083016298e-05,231
1819,1.04040047469921e-05,225
1820,1.01336438186804e-05,311
1821,1.05291061142257e-05,284
1822,1.03375923673964e-05,430
1823,9.73280117680783e-06,303
1824,9.92249421370518e-06,493
1825,9.79003345997447e-06,379
1826,1.00208274039306e-05,351
1827,1.00814512897784e-05,357
1828,9.30187130064399e-06,350
1829,9.62892130169329e-06,394
1830,9.67251294830313e-06,450
1831,9.12996081784253e-06,385
1832,9.03580253464042e-06,497
1833,9.32665853830323e-06,560
1834,1.04759000671655e-05,613
1835,1.0776286779495e-05,702
1836,1.0982480700607e-05,789
1837,1.09284464104219e-05,775
1838,1.14182325522246e-05,654
1839,1.17374734003306e-05,877
1840,1.19018276884779e-05,992
1841,1.11548402413421e-05,1000
1842,1.13468271629407e-05,1102
1843,1.12657893030895e-05,826
1844,1.17040831436758e-05,1026
1845,1.20091785090283e-05,1267
1846,1.27075977859801e-05,1110
1847,1.29512997619128e-05,1150
1848,1.31583353574375e-05,1131
1849,1.32893641802769e-05,1086
1850,1.39887758702376e-05,1348
1851,1.41555646767496e-05,1034
1852,1.46206360836589e-05,1424
1853,1.42671918094298e-05,1253
1854,1.49309080817212e-05,1392
1855,1.54329902548917e-05,1399
1856,1.59392686701462e-05,1771
1857,1.60221594528918e-05,1673
1858,1.63715217606101e-05,1426
1859,1.70993350455514e-05,1711
1860,1.83008198137356e-05,2009
1861,1.82583469186933e-05,1422
1862,1.90018169113111e-05,1450
1863,1.95269412464378e-05,1635
1864,2.04887564702208e-05,2092
1865,2.10610041051496e-05,2411
1866,2.0837105795733e-05,2852
1867,2.11215718723322e-05,3040
1868,2.12542493207885e-05,3383
1869,2.13067723718398e-05,2762
1870,2.20983189689962e-05,3177
1871,2.18669255462243e-05,3321
1872,2.20241765792447e-05,2704
1873,2.20281824811406e-05,2750
1874,2.16098586999384e-05,2521
1875,2.19842435212416e-05,3013
1876,2.18254715451037e-05,2921
1877,2.09525123295862e-05,2685
1878,2.04246964666969e-05,2309
1879,2.05643277370525e-05,2689
1880,2.04759790400593e-05,3081
1881,2.06602590822058e-05,3556
1882,2.0327397606934e-05,2777
1883,2.08802097867127e-05,4404
1884,2.13914467752017e-05,3524
1885,2.20969915208765e-05,3942
1886,2.20853863116385e-05,3680
1887,2.25816311082586e-05,4218
1888,2.27162421546317e-05,4447
1889,2.33070237892922e-05,4713
1890,2.32248054844929e-05,5165
1891,2.32285756810922e-05,5269
1892,2.32864241078395e-05,6089
1893,2.37169341801291e-05,6517
1894,2.34389758101575e-05,5778
1895,2.37688918949581e-05,8045
1896,2.39034609096832e-05,7931
1897,2.47363791134246e-05,8045
1898,2.57029771384103e-05,8400
1899,2.62357476117359e-05,14786
1900,2.64379525235979e-05,13277
1901,2.70627881491237e-05,11692
1902,2.73480965315035e-05,9382
1903,2.7821649179519e-05,9896
1904,2.73341813031688e-05,9409
1905,2.7306848185812e-05,8416
1906,2.71555383538466e-05,10082
1907,2.72656585593722e-05,8941
1908,2.81405265565939e-05,9339
1909,2.82262447918973e-05,10112
1910,2.83995856144819e-05,11438
1911,2.86442821837747e-05,9658
1912,2.81585482834349e-05,9524
1913,2.85921855964131e-05,8387
1914,2.84960643901806e-05,8088
1915,2.79677207848701e-05,8661
1916,2.87146649741641e-05,7323
1917,2.9071689644817e-05,9795
1918,2.90786385984835e-05,6111
1919,2.99128771205557e-05,7963
1920,3.06653846970611e-05,9645
1921,3.17285439613053e-05,8718
1922,3.23374598321737e-05,11584
1923,3.24427784091443e-05,7594
