"Year","Freq","Count"
1800,4.61583131938781e-06,1157
1801,4.42465133794201e-06,1086
1802,4.20888515573203e-06,995
1803,4.18465979588691e-06,1445
1804,3.88837041276346e-06,1190
1805,3.69909251147454e-06,1210
1806,3.74943173074373e-06,1518
1807,3.76659552322626e-06,1755
1808,3.788143267006e-06,2074
1809,3.73160931976813e-06,2052
1810,3.73842033069798e-06,2541
1811,3.84427698214245e-06,2322
1812,3.7145477358764e-06,2921
1813,3.68900150179588e-06,2408
1814,3.68273027920704e-06,2234
1815,3.67545950512899e-06,2189
1816,3.82854668907433e-06,2808
1817,4.67749994673535e-06,3183
1818,5.53414989288927e-06,4074
1819,5.76665887181654e-06,4313
1820,5.92188731321893e-06,4914
1821,6.08847015775333e-06,4835
1822,6.20738072244974e-06,5872
1823,6.31626688729625e-06,6094
1824,5.54869393099011e-06,6138
1825,4.75848851319175e-06,5423
1826,4.74393791246744e-06,4803
1827,4.71685513022838e-06,5002
1828,4.67988823414446e-06,5258
1829,4.66250600388613e-06,5597
1830,4.73508824784728e-06,6442
1831,4.74073819464341e-06,6113
1832,4.86704626087179e-06,9850
1833,4.82255803519698e-06,7200
1834,4.94094291576224e-06,7569
1835,5.08912123896112e-06,8505
1836,5.22254789230609e-06,9011
1837,5.21548982312936e-06,8936
1838,5.34304814893614e-06,9075
1839,5.34366408036898e-06,10131
1840,5.41603950259579e-06,9952
1841,5.41564489811971e-06,10099
1842,5.35909747156893e-06,10066
1843,5.30564937558812e-06,9991
1844,5.29596774459914e-06,10772
1845,5.2523396745536e-06,12295
1846,5.18109820392608e-06,11245
1847,5.18025280119413e-06,11040
1848,5.20873918980718e-06,11108
1849,5.33196564031105e-06,11635
1850,5.49072078470658e-06,12894
1851,5.62306366447274e-06,14634
1852,5.82168773226905e-06,15418
1853,5.98236727457545e-06,17935
1854,6.17859588254126e-06,18939
1855,6.33705910857429e-06,17837
1856,6.51687744784064e-06,19217
1857,6.54927607105346e-06,18454
1858,6.64668911960169e-06,18017
1859,6.77730530286778e-06,19406
1860,6.94182323814273e-06,20522
1861,6.98972356920941e-06,17268
1862,7.15521230684349e-06,16713
1863,7.17928214401452e-06,16752
1864,7.46674940087035e-06,18810
1865,7.66735035690707e-06,19582
1866,7.86655328559911e-06,23452
1867,8.03118072566024e-06,24271
1868,8.13678508697941e-06,26185
1869,8.13793773143548e-06,26179
1870,8.27446323167383e-06,27253
1871,8.22847563089876e-06,26132
1872,8.33072789317514e-06,29953
1873,8.25611642544085e-06,27818
1874,8.1758331457341e-06,28676
1875,8.26541012344251e-06,28724
1876,8.41658637337364e-06,30706
1877,8.43177709595823e-06,30197
1878,8.54422269774042e-06,30313
1879,8.60532657855271e-06,31951
1880,8.73628562812558e-06,35572
1881,8.91506612431061e-06,34964
1882,8.93660121091346e-06,36428
1883,8.87957930777767e-06,38422
1884,9.01897789365843e-06,40662
1885,9.02564543788945e-06,39631
1886,9.06990713238948e-06,40187
1887,9.06800603063727e-06,42297
1888,9.16587148935832e-06,44946
1889,9.34588767214401e-06,48212
1890,9.6450512744793e-06,49672
1891,9.7761258217588e-06,51522
1892,9.93260357314999e-06,54004
1893,1.0093092112941e-05,56778
1894,1.02191436955731e-05,56793
1895,1.02743569649582e-05,65060
1896,1.04949686731613e-05,64749
1897,1.07503124208311e-05,69241
1898,1.09476123770134e-05,73575
1899,1.10983361939329e-05,81471
1900,1.12989499326334e-05,86529
1901,1.15351010967808e-05,90984
1902,1.17130339865363e-05,91493
1903,1.17557530582449e-05,92558
1904,1.15564268026804e-05,95938
1905,1.15147502636351e-05,95150
1906,1.14637990041696e-05,102324
1907,1.13493493521284e-05,101853
1908,1.12324475216902e-05,104822
1909,1.12113582316299e-05,102813
1910,1.11416911039441e-05,108213
1911,1.12779560298902e-05,116935
1912,1.13430085885316e-05,117112
1913,1.14544358475704e-05,118328
1914,1.14550995147868e-05,116610
1915,1.14545855467441e-05,113079
1916,1.13803226306735e-05,113263
