"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,5.5714074623633e-10,0
1914,5.5714074623633e-10,0
1915,6.64266977931252e-09,2
1916,6.64266977931252e-09,2
1917,6.64266977931252e-09,2
1918,6.64266977931252e-09,1
1919,6.64266977931252e-09,2
1920,6.08552903307620e-09,2
1921,6.08552903307620e-09,2
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,3.81819287298413e-09,1
1954,5.3723602074943e-09,1
1955,5.88939963463986e-09,2
1956,5.88939963463986e-09,2
1957,5.88939963463986e-09,2
1958,7.91229050532495e-09,2
1959,7.91229050532495e-09,2
1960,4.49964630634879e-09,1
1961,2.94547897183861e-09,1
1962,2.42843954469306e-09,1
1963,4.70081028071588e-09,2
1964,8.62878359240783e-09,3
1965,6.60589272172274e-09,2
1966,7.23995847400667e-09,3
1967,6.8344097999987e-09,3
1968,6.8344097999987e-09,3
1969,6.8344097999987e-09,3
1970,4.92570625557473e-09,2
1971,2.43544613048081e-09,1
1972,2.79450421533259e-09,1
1973,2.16043846304867e-09,1
1974,6.20009925939818e-09,2
1975,1.36358094656889e-08,5
1976,1.44887982564005e-08,7
1977,1.51849583383625e-08,7
1978,2.06101350906453e-08,10
1979,2.54050425141372e-08,13
1980,3.47424367370357e-08,19
1981,4.27215511221237e-08,25
1982,3.5285840915833e-08,21
1983,3.62198237751394e-08,23
1984,4.31177224083764e-08,29
1985,3.73846856963464e-08,27
1986,3.25305005472692e-08,26
1987,2.36009743018581e-08,20
1988,1.21182481668417e-08,11
1989,1.2643095094665e-08,12
1990,1.11088292533066e-08,12
1991,3.38955879237395e-09,4
1992,7.40098763226829e-09,8
1993,7.10120727300177e-09,8
1994,7.25351908695667e-09,9
1995,7.55838534617835e-09,9
1996,7.50192957754692e-09,10
1997,8.62443452368363e-09,11
1998,8.83236372135292e-09,12
1999,6.56250224796904e-09,10
2000,9.65249931571068e-09,21
2001,1.25459455443558e-08,28
2002,1.35814263565618e-08,33
2003,1.41596423158014e-08,38
2004,1.37526517317101e-08,41
2005,1.55580531790989e-08,44
2006,1.40179544321534e-08,44
2007,1.19572956456894e-08,42
2008,1.02432425240297e-08,43
2009,1.26918361058921e-08,60
2010,1.36564838961105e-08,68
2011,1.31391210292772e-08,82
2012,1.14038996103437e-08,88
2013,1.10244370695892e-08,86
2014,1.04494167683735e-08,96
2015,1.01637373834634e-08,76
2016,6.98251677906064e-09,47
2017,5.79980551547917e-09,47
2018,6.32856639315449e-09,49
2019,7.00671981546108e-09,53
