"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,9.28946602180807e-11,0
1832,2.63193578042831e-10,1
1833,2.63193578042831e-10,0
1834,1.01073532083567e-09,2
1835,1.01073532083567e-09,2
1836,1.01073532083567e-09,2
1837,1.01073532083567e-09,2
1838,9.17840660617588e-10,2
1839,7.47541742792838e-10,1
1840,7.47541742792838e-10,1
1841,6.29798570437958e-10,1
1842,6.29798570437958e-10,1
1843,6.29798570437958e-10,1
1844,8.30147133574448e-10,2
1845,8.30147133574448e-10,2
1846,8.30147133574448e-10,2
1847,8.30147133574448e-10,2
1848,2.00348563136491e-10,0
1849,2.00348563136491e-10,0
1850,2.00348563136491e-10,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,9.75923405580456e-10,3
1861,9.75923405580456e-10,2
1862,9.75923405580456e-10,2
1863,1.35782642272732e-09,3
1864,1.45201666563415e-09,4
1865,1.76160251465417e-09,4
1866,1.76160251465417e-09,5
1867,1.26101608520303e-09,4
1868,1.26101608520303e-09,4
1869,1.26101608520303e-09,4
1870,9.63585988777993e-10,3
1871,8.69395745871161e-10,3
1872,5.59809896851147e-10,2
1873,5.59809896851147e-10,2
1874,8.44729207218263e-11,0
1875,2.85048048656985e-10,1
1876,2.85048048656985e-10,1
1877,2.35526800443761e-10,1
1878,5.25809685474649e-10,2
1879,8.74947816579105e-10,3
1880,9.73607864964064e-10,4
1881,1.16300143721786e-09,5
1882,1.02724546726028e-09,4
1883,1.18785860909425e-09,5
1884,1.15290693658565e-09,5
1885,8.91647327400895e-10,4
1886,7.08040895755094e-10,3
1887,9.40988455806162e-10,4
1888,7.78597725974756e-10,4
1889,7.66120361594957e-10,4
1890,7.06689984308895e-10,4
1891,1.27000109635083e-09,7
1892,1.69040946320008e-09,9
1893,1.57100110698138e-09,9
1894,1.28357704425636e-09,7
1895,1.3200878247664e-09,8
1896,1.4421698636889e-09,9
1897,1.61963842337798e-09,10
1898,1.21867082695079e-09,8
1899,8.78522623696095e-10,6
1900,1.17574077854573e-09,9
1901,1.1829672915845e-09,9
1902,1.2227634103658e-09,10
1903,1.22367016916084e-09,10
1904,1.34136235055823e-09,11
1905,1.43821549411901e-09,12
1906,1.84092659667932e-09,16
1907,2.65494885897428e-09,24
1908,2.68588553283187e-09,25
1909,3.68505640585548e-09,34
1910,3.64746470923486e-09,35
1911,4.56504677511952e-09,47
1912,5.18511068505915e-09,54
1913,5.71686422209553e-09,59
