"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,7.70624097867767e-09,0
1811,7.70624097867767e-09,0
1812,7.70624097867767e-09,0
1813,7.70624097867767e-09,0
1814,7.70624097867767e-09,0
1815,7.70624097867767e-09,0
1816,7.70624097867767e-09,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,3.52732636749969e-10,0
1908,3.52732636749969e-10,0
1909,3.52732636749969e-10,0
1910,3.52732636749969e-10,0
1911,3.52732636749969e-10,0
1912,3.52732636749969e-10,0
1913,3.52732636749969e-10,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,2.58641844449617e-09,1
1919,2.98313034592062e-09,1
1920,2.98313034592062e-09,1
1921,2.98313034592062e-09,1
1922,2.98313034592062e-09,1
1923,2.98313034592062e-09,1
1924,2.98313034592062e-09,1
1925,1.0181795406794e-09,0
1926,6.21467639254953e-10,0
1927,6.21467639254953e-10,0
1928,6.21467639254953e-10,0
1929,6.21467639254953e-10,0
1930,6.21467639254953e-10,0
1931,6.21467639254953e-10,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,1.08047983258887e-09,0
1941,1.08047983258887e-09,0
1942,1.08047983258887e-09,0
1943,1.08047983258887e-09,0
1944,1.08047983258887e-09,0
1945,1.08047983258887e-09,0
1946,2.30246577359594e-09,1
1947,1.22198594100707e-09,0
1948,1.22198594100707e-09,0
1949,1.22198594100707e-09,0
1950,1.22198594100707e-09,0
1951,1.22198594100707e-09,0
1952,1.22198594100707e-09,1
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,3.05816039158913e-10,0
1968,3.05816039158913e-10,0
1969,3.05816039158913e-10,0
1970,3.05816039158913e-10,0
1971,3.05816039158913e-10,0
1972,3.05816039158913e-10,0
1973,3.05816039158913e-10,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,2.34271158028321e-10,0
1980,2.34271158028321e-10,0
1981,2.34271158028321e-10,0
1982,6.26860420714438e-10,0
1983,8.05557588888308e-10,1
1984,8.05557588888308e-10,1
1985,8.05557588888308e-10,1
1986,1.02095695389945e-09,1
1987,1.02095695389945e-09,1
1988,1.02095695389945e-09,1
1989,8.90791155124962e-10,1
1990,7.12093986951093e-10,1
1991,7.12093986951093e-10,1
1992,9.512233857732e-10,1
1993,5.01552862733742e-10,1
1994,5.01552862733742e-10,1
1995,5.01552862733742e-10,1
1996,2.39129398822107e-10,0
1997,1.09045031734415e-09,1
1998,1.4092965048919e-09,2
1999,1.46316920484375e-09,2
2000,1.31946840041332e-08,29
2001,1.95742985550521e-08,44
2002,2.35299445245601e-08,57
2003,2.68062796166773e-08,73
2004,3.72508608800385e-08,110
2005,4.35509006952677e-08,122
2006,4.75544372768866e-08,148
2007,3.77958208222903e-08,133
2008,3.1828210384737e-08,133
2009,3.11440309097577e-08,146
2010,2.91841536492754e-08,145
2011,2.9937025017698e-08,186
2012,2.84837856317261e-08,219
2013,2.47160576608404e-08,192
2014,2.89113995839101e-08,264
2015,3.29714983093865e-08,245
2016,2.98500343173406e-08,201
2017,3.32891725666566e-08,271
2018,2.30787241095598e-08,178
2019,1.98085235575407e-08,150
