"Year","Freq","Count"
1800,0,0
1801,6.50076614761019e-10,0
1802,5.41730512300849e-10,0
1803,4.64340439115014e-10,0
1804,4.64340439115014e-10,0
1805,1.76272799531521e-09,1
1806,2.2798281992412e-09,1
1807,2.2798281992412e-09,1
1808,1.81548776012619e-09,1
1809,2.72011181832811e-09,1
1810,2.93804947038012e-09,2
1811,2.93804947038012e-09,2
1812,1.63966191417992e-09,1
1813,1.12256171025393e-09,1
1814,1.12256171025393e-09,1
1815,1.12256171025393e-09,1
1816,2.17937652052009e-10,0
1817,0,0
1818,0,0
1819,9.0178474211809e-10,1
1820,1.04918167804462e-09,1
1821,1.04918167804462e-09,1
1822,1.29871948116391e-09,1
1823,1.29871948116391e-09,1
1824,1.29871948116391e-09,1
1825,1.29871948116391e-09,1
1826,5.15432982009908e-10,1
1827,3.68036046083375e-10,0
1828,3.68036046083375e-10,0
1829,1.18498242964092e-10,0
1830,1.18498242964092e-10,0
1831,1.18498242964092e-10,0
1832,1.18498242964092e-10,0
1833,1.64956524630254e-10,0
1834,5.80257492848497e-10,1
1835,5.80257492848497e-10,1
1836,5.80257492848497e-10,1
1837,5.80257492848497e-10,1
1838,8.09234710987182e-10,1
1839,8.09234710987182e-10,2
1840,6.44278186356928e-10,1
1841,2.98954837076236e-10,1
1842,2.98954837076236e-10,1
1843,2.98954837076236e-10,1
1844,6.32869130117492e-10,1
1845,4.03891911978807e-10,1
1846,4.03891911978807e-10,1
1847,4.64497373104627e-10,1
1848,3.94519754167076e-10,1
1849,3.94519754167076e-10,1
1850,3.94519754167076e-10,1
1851,6.06054611258194e-11,0
1852,6.06054611258194e-11,0
1853,6.06054611258194e-11,0
1854,1.01003721259778e-10,0
1855,1.01003721259778e-10,0
1856,2.00401330450818e-10,1
1857,3.44803994879937e-10,1
1858,3.44803994879937e-10,1
1859,3.44803994879937e-10,1
1860,6.49780071019076e-10,2
1861,5.48776349759298e-10,1
1862,5.48776349759298e-10,1
1863,4.97116617711616e-10,1
1864,3.99809074735913e-10,1
1865,3.99809074735913e-10,1
1866,3.99809074735913e-10,1
1867,1.38045452053553e-10,0
1868,1.82857146091564e-10,1
1869,1.82857146091564e-10,1
1870,1.35119268948206e-10,0
1871,8.80241474947902e-11,0
1872,1.69927575978589e-10,1
1873,1.69927575978589e-10,1
1874,1.66455837209106e-10,1
1875,1.21644143171094e-10,0
1876,1.21644143171094e-10,0
1877,1.21644143171094e-10,0
1878,2.66785581721456e-10,1
1879,1.84882153237658e-10,1
1880,2.17768836693491e-10,1
1881,1.78028122006196e-10,1
1882,2.10437700994984e-10,1
1883,2.10437700994984e-10,1
1884,2.10437700994984e-10,1
1885,1.5236608998302e-10,1
1886,1.79954705898615e-10,1
1887,1.47068022442782e-10,1
1888,1.74070864865174e-10,1
1889,1.94003079474163e-10,1
1890,1.94003079474163e-10,1
1891,2.45213179127037e-10,1
1892,2.25558099975487e-10,1
1893,2.67154498919834e-10,2
1894,2.89246271775337e-10,2
1895,2.62243429352945e-10,2
1896,2.09901635755167e-10,1
1897,2.09901635755167e-10,1
1898,1.7672970428365e-10,1
1899,1.45742769043698e-10,1
1900,1.12698963256846e-10,1
1901,9.0607190401342e-11,1
1902,1.07825480686964e-10,1
1903,1.23764625532224e-10,1
1904,1.87179585323502e-10,2
1905,2.60622588986261e-10,2
1906,3.63829650930546e-10,3
1907,4.15589485444226e-10,4
1908,4.97936218051593e-10,5
1909,4.80717927765971e-10,4
1910,5.19874341988112e-10,5
1911,4.84415246011188e-10,5
1912,3.92934074167073e-10,4
1913,2.53299199075891e-10,3
1914,1.80014645055428e-10,2
1915,9.76679124480612e-11,1
1916,1.27771639498889e-10,1
1917,8.66418147544528e-11,1
1918,1.73727863444257e-10,2
1919,2.16345103538312e-10,2
1920,2.16345103538312e-10,2
1921,2.01728613972004e-10,2
1922,2.25879910014421e-10,2
1923,2.44883072153534e-10,2
1924,2.55338866122263e-10,1
1925,2.32317654201365e-10,1
1926,2.35546344334076e-10,1
1927,2.58284722974368e-10,2
1928,2.58284722974368e-10,2
1929,2.34133426931952e-10,1
1930,2.6670871463733e-10,2
1931,2.42287186345637e-10,2
1932,2.21196224035682e-10,1
1933,1.75350293808916e-10,1
1934,1.52611915168624e-10,1
1935,2.41501247571258e-10,1
1936,2.41501247571258e-10,1
1937,1.59819070675939e-10,1
1938,1.59819070675939e-10,1
1939,8.88893324026339e-11,1
1940,1.14682594769861e-10,1
1941,1.14682594769861e-10,1
1942,2.57932623672273e-11,0
1943,2.57932623672273e-11,0
1944,1.39621193574944e-10,1
1945,2.14698875741374e-10,1
1946,2.47795084054988e-10,2
1947,2.22001821687761e-10,2
1948,2.56201821662622e-10,2
1949,3.24226478998213e-10,3
1950,3.41146452357119e-10,3
1951,3.10064013155285e-10,3
1952,2.97722123740066e-10,2
1953,2.64625915426451e-10,2
1954,5.40429073516067e-10,5
1955,5.49711826653659e-10,5
1956,5.22091190716508e-10,5
1957,5.05171217357603e-10,5
1958,4.46229341176187e-10,4
1959,3.83493548424977e-10,4
1960,4.57608572067082e-10,5
1961,2.38083257473955e-10,3
1962,2.25205772681163e-10,3
1963,2.2441717730169e-10,3
1964,2.78377037691132e-10,4
1965,2.89833748271359e-10,4
1966,2.98626819701069e-10,4
1967,3.04113906676332e-10,5
1968,3.09831852634319e-10,5
1969,2.79226584314658e-10,5
1970,2.57150176152798e-10,4
1971,2.03190315763356e-10,3
1972,1.67929989358662e-10,3
1973,1.75645111550564e-10,3
1974,1.04190504438392e-10,2
1975,9.89612112494471e-11,2
1976,1.71289093028485e-10,3
1977,1.69802896941653e-10,3
1978,2.67722037991128e-10,5
1979,3.08360542457452e-10,5
1980,3.15362830096065e-10,6
1981,3.68253715220059e-10,6
1982,4.00425155335147e-10,7
1983,3.42902285930892e-10,6
1984,3.63602429910768e-10,7
1985,3.5249219019841e-10,7
1986,3.94756346658706e-10,8
1987,5.51807486113117e-10,11
1988,5.46220373495324e-10,11
1989,5.77018638227487e-10,12
1990,6.2213078191082e-10,13
1991,6.64209038464536e-10,14
1992,6.72835328622913e-10,14
1993,6.35022179185889e-10,14
1994,5.25994987645083e-10,11
1995,5.47189284954326e-10,12
1996,5.59795920431919e-10,12
1997,6.66701985285734e-10,15
1998,7.55426605198688e-10,17
1999,8.76921157712461e-10,20
2000,2.42071489341728e-09,60
2001,3.26698261598241e-09,80
2002,4.07614843515274e-09,107
2003,5.01669813528029e-09,137
2004,6.83316752387546e-09,192
2005,8.77229527113903e-09,232
2006,9.80598253390903e-09,270
2007,9.04900925619805e-09,255
2008,1.08931506354842e-08,312
2009,1.20775303091847e-08,334
2010,1.17865719723958e-08,312
2011,1.39164432675999e-08,374
2012,1.39830817718385e-08,479
2013,1.45143553366621e-08,504
2014,1.63582563685237e-08,501
2015,1.58228880156993e-08,421
2016,1.4998135527173e-08,398
2017,1.6585568215118e-08,454
2018,1.41442523915458e-08,370
2019,1.38770018254242e-08,315
