"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,2.64956818390211e-10,0
1978,2.64956818390211e-10,0
1979,2.64956818390211e-10,0
1980,2.64956818390211e-10,0
1981,4.75812516371426e-10,0
1982,6.72107147714485e-10,0
1983,6.72107147714485e-10,0
1984,4.07150329324273e-10,0
1985,4.07150329324273e-10,0
1986,4.07150329324273e-10,0
1987,6.79062314315867e-10,1
1988,8.70243401150463e-10,1
1989,1.19879569763067e-09,1
1990,1.19879569763067e-09,1
1991,1.19879569763067e-09,1
1992,1.19879569763067e-09,1
1993,1.19879569763067e-09,1
1994,1.03891967251357e-09,1
1995,9.52226131278877e-10,1
1996,6.14735667132343e-10,1
1997,6.80221890719019e-10,1
1998,8.07760362566055e-10,1
1999,8.66360780734813e-10,1
2000,9.18733612996294e-10,2
2001,9.02631707473083e-10,2
2002,5.87288463891968e-10,1
2003,5.81950622611873e-10,2
2004,6.77834427476043e-10,2
2005,8.57357696742207e-10,2
2006,8.89529224089104e-10,3
2007,1.00871276411039e-09,4
2008,9.35667826948031e-10,4
2009,9.72633551080523e-10,5
2010,8.45467337013644e-10,4
2011,7.30737722316148e-10,5
2012,5.38468133177388e-10,4
2013,5.11153474705825e-10,4
2014,3.92018407814808e-10,4
2015,4.97955296044747e-10,4
2016,4.79739884722592e-10,3
2017,4.95702055791636e-10,4
2018,5.29545887695271e-10,4
2019,4.61046093663819e-10,4
