"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,2.36996485928184e-10,0
1827,2.36996485928184e-10,0
1828,2.36996485928184e-10,0
1829,2.36996485928184e-10,0
1830,2.36996485928184e-10,0
1831,3.29891146146265e-10,0
1832,3.29891146146265e-10,1
1833,9.28946602180807e-11,0
1834,9.28946602180807e-11,0
1835,9.28946602180807e-11,0
1836,9.28946602180807e-11,0
1837,9.28946602180807e-11,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,4.05760623513528e-11,0
1872,4.05760623513528e-11,0
1873,4.05760623513528e-11,0
1874,4.05760623513528e-11,0
1875,4.05760623513528e-11,0
1876,4.05760623513528e-11,0
1877,4.05760623513528e-11,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,5.52679370523025e-11,0
1888,5.52679370523025e-11,0
1889,5.52679370523025e-11,0
1890,5.52679370523025e-11,0
1891,5.52679370523025e-11,0
1892,1.00211101321841e-10,1
1893,1.00211101321841e-10,1
1894,4.49431642695381e-11,0
1895,4.49431642695381e-11,0
1896,4.49431642695381e-11,0
1897,4.49431642695381e-11,0
1898,4.49431642695381e-11,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,1.13691897166543e-10,1
1928,1.3650138162648e-10,1
1929,1.61787178892021e-10,1
1930,1.61787178892021e-10,1
1931,1.61787178892021e-10,1
1932,3.50933147620834e-10,2
1933,3.50933147620834e-10,2
1934,2.37241250454291e-10,1
1935,3.92210430799622e-10,2
1936,3.66924633534081e-10,2
1937,3.66924633534081e-10,2
1938,3.66924633534081e-10,2
1939,1.77778664805268e-10,1
1940,1.77778664805268e-10,1
1941,1.77778664805268e-10,1
1942,4.98160917279072e-11,0
1943,4.98160917279072e-11,0
1944,4.98160917279072e-11,0
1945,4.98160917279072e-11,0
1946,4.98160917279072e-11,0
1947,4.98160917279072e-11,0
1948,4.98160917279072e-11,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,1.27437247262766e-11,0
1958,1.27437247262766e-11,0
1959,1.27437247262766e-11,0
1960,1.27437247262766e-11,0
1961,6.90215702053060e-11,1
1962,6.90215702053060e-11,1
1963,7.89254267100478e-11,1
1964,9.31616321784924e-11,1
1965,9.31616321784924e-11,1
1966,1.63506203616175e-10,2
1967,1.90040240488631e-10,3
1968,1.6033201849508e-10,3
1969,1.6033201849508e-10,3
1970,1.50428161990338e-10,2
1971,1.50300930431716e-10,2
1972,1.50300930431716e-10,2
1973,1.04718649426453e-10,2
1974,1.43364641586834e-10,2
1975,1.89780516698538e-10,3
1976,1.97816948337743e-10,3
1977,3.02160291827074e-10,5
1978,3.16107234634076e-10,6
1979,4.86788949427552e-10,9
1980,5.48231758601414e-10,10
1981,5.97498705274495e-10,10
1982,5.98628156965399e-10,10
1983,6.94226813932212e-10,13
1984,6.85441182979307e-10,13
1985,8.18259340245359e-10,16
1986,6.95937510992411e-10,13
1987,8.30418840834314e-10,16
1988,8.5460004945708e-10,17
1989,1.13969371440259e-09,23
1990,1.24909740289209e-09,27
1991,1.35718701158424e-09,28
1992,1.3998889844943e-09,30
1993,1.62850753913725e-09,35
1994,1.745983861458e-09,38
1995,1.7606468267444e-09,39
1996,1.62200960599331e-09,36
1997,1.96696573314828e-09,43
1998,2.15620795821333e-09,48
1999,2.2923990166441e-09,52
2000,2.36331330695703e-09,58
2001,2.26854559740427e-09,56
2002,2.4158934654382e-09,63
2003,2.41712197479593e-09,66
2004,2.39910749599836e-09,67
2005,2.48320294089182e-09,66
2006,2.46521929457368e-09,68
2007,2.47692634260309e-09,70
2008,2.68856415305433e-09,77
2009,2.76130628679943e-09,76
2010,3.04714951683747e-09,81
2011,2.96212400639563e-09,80
2012,3.56379027875521e-09,122
2013,3.98375730816168e-09,138
2014,4.24764747185082e-09,130
2015,4.40628048333938e-09,117
2016,4.78391757953643e-09,127
2017,4.98898685326784e-09,136
2018,5.34984734290589e-09,140
2019,4.79966946742572e-09,109
