"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,7.5259314653258e-11,1
1917,7.5259314653258e-11,1
1918,7.5259314653258e-11,1
1919,7.5259314653258e-11,1
1920,7.5259314653258e-11,1
1921,7.5259314653258e-11,1
1922,7.5259314653258e-11,1
1923,0,0
1924,0,0
1925,0,0
1926,6.87688953401481e-11,0
1927,1.36984027295942e-10,1
1928,1.36984027295942e-10,1
1929,1.36984027295942e-10,1
1930,1.36984027295942e-10,1
1931,1.63217037107977e-10,1
1932,3.5236300583679e-10,2
1933,2.83594110496642e-10,1
1934,2.60314724141532e-10,1
1935,2.82537057242191e-10,2
1936,3.03474489585628e-10,2
1937,3.25916906558048e-10,2
1938,3.21436147540258e-10,2
1939,1.32290178811445e-10,1
1940,1.32290178811445e-10,1
1941,8.73544332107607e-11,1
1942,6.51321001101022e-11,0
1943,4.41946677666648e-11,0
1944,4.07235733230442e-11,0
1945,7.52795821710807e-11,0
1946,7.52795821710807e-11,0
1947,1.24950508273436e-10,1
1948,1.24950508273436e-10,1
1949,1.92975165609026e-10,2
1950,2.26815112326838e-10,2
1951,3.23687481580086e-10,3
1952,3.61482915029703e-10,3
1953,3.61482915029703e-10,3
1954,3.40843898740038e-10,3
1955,5.72751915339786e-10,5
1956,5.31663270948129e-10,5
1957,4.97823324230318e-10,5
1958,4.176850551937e-10,4
1959,3.46169240098401e-10,4
1960,3.46169240098401e-10,4
1961,3.95926313559844e-10,5
1962,2.66035858025632e-10,3
1963,3.08426841606162e-10,4
1964,1.90923609263586e-09,24
1965,1.97931164910451e-09,28
1966,2.00948219968617e-09,29
1967,2.08023963134605e-09,33
1968,2.10772914201383e-09,34
1969,2.03264223706613e-09,33
1970,2.02470180304155e-09,33
1971,4.68647049738686e-10,8
1972,3.80256960839733e-10,6
1973,7.07186971680786e-10,11
1974,7.17904573090321e-10,11
1975,6.92721074946334e-10,11
1976,6.89899712754841e-10,12
1977,6.36539561140102e-10,11
1978,6.57064492101281e-10,12
1979,6.72184405359211e-10,12
1980,2.92495965939895e-10,5
1981,2.33910329597694e-10,4
1982,3.01045228428316e-10,5
1983,3.06545959251535e-10,6
1984,3.64674887509686e-10,7
1985,3.57268058391393e-10,7
1986,3.45482920049989e-10,7
1987,4.19045060555996e-10,8
1988,4.44675530524614e-10,9
1989,3.69617762983689e-10,8
1990,3.86609972210675e-10,8
1991,4.912556096042e-10,10
1992,5.73354631629362e-10,12
1993,6.36366633991311e-10,14
1994,8.87960998381081e-10,19
1995,9.28860968299869e-10,21
1996,1.00693779703231e-09,22
1997,1.04662343870997e-09,23
1998,9.56711487809514e-10,21
1999,9.25204740697445e-10,21
2000,8.93391362376856e-10,22
2001,7.25427481477826e-10,18
2002,7.16535951108702e-10,19
2003,6.16868369381272e-10,17
2004,6.2646486758054e-10,18
2005,6.25073337831968e-10,17
2006,6.29833048810496e-10,17
2007,6.95986303311802e-10,20
2008,6.44615268901345e-10,18
2009,8.00561687378362e-10,22
2010,1.02327137239757e-09,27
2011,1.11772528236877e-09,30
2012,1.17706407815055e-09,40
2013,1.29393346434295e-09,45
2014,1.31094541075801e-09,40
2015,1.37890530045791e-09,37
2016,1.24256633851231e-09,33
2017,1.12965449263388e-09,31
2018,1.08911179380611e-09,29
2019,1.11842623183589e-09,25
