"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,1.22438846363236e-09,0
1960,1.22438846363236e-09,0
1961,1.22438846363236e-09,0
1962,1.22438846363236e-09,0
1963,1.60311690906261e-09,1
1964,1.60311690906261e-09,0
1965,1.60311690906261e-09,1
1966,3.78728445430251e-10,0
1967,6.84544484589164e-10,0
1968,6.84544484589164e-10,0
1969,1.04851311759952e-09,0
1970,1.7607862469658e-09,1
1971,1.7607862469658e-09,1
1972,2.11984433181759e-09,1
1973,2.72273438715688e-09,1
1974,4.59212039822481e-09,2
1975,5.78183399570418e-09,2
1976,7.12384294411704e-09,3
1977,7.35762546127156e-09,3
1978,8.09293513156665e-09,4
1979,1.0779402148664e-08,5
1980,1.23997010913003e-08,7
1981,1.02244990410735e-08,6
1982,9.23108007493718e-09,6
1983,8.59728547083652e-09,5
1984,8.59878899829779e-09,6
1985,8.50910973428297e-09,6
1986,6.06314535086686e-09,5
1987,4.51973633123056e-09,4
1988,5.85985901072458e-09,5
1989,6.7132582270979e-09,6
1990,6.65189849234439e-09,7
1991,6.75634353226278e-09,7
1992,7.18679546033282e-09,8
1993,7.14817029377558e-09,8
1994,7.4767139543067e-09,9
1995,6.66216332101399e-09,8
1996,6.17453884846749e-09,8
1997,6.08052274800716e-09,8
1998,5.22371321198811e-09,7
1999,4.67503464908679e-09,7
2000,5.10918291800928e-09,11
2001,5.20410090417859e-09,12
2002,7.51847986249895e-09,18
2003,7.22943841299387e-09,20
2004,6.75639883326465e-09,20
2005,6.72836322768156e-09,19
2006,6.7455911293265e-09,21
2007,6.00784187279998e-09,21
2008,5.38527171665772e-09,22
2009,3.00739226775727e-09,14
2010,4.32508424709686e-09,21
2011,4.378814426133e-09,27
2012,4.29209551630219e-09,33
2013,4.06475026256839e-09,32
2014,4.03457468822754e-09,37
2015,3.82995893729746e-09,28
2016,3.7053930122623e-09,25
2017,2.46711862513423e-09,20
2018,2.26404551217918e-09,17
2019,2.0265118264029e-09,15
