"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,9.67311754505675e-10,2
1850,1.06225157241775e-09,2
1851,1.06225157241775e-09,3
1852,1.06225157241775e-09,3
1853,1.06225157241775e-09,3
1854,1.06225157241775e-09,3
1855,1.06225157241775e-09,3
1856,9.49398179120716e-11,0
1857,0,0
1858,0,0
1859,0,0
1860,6.70947361161974e-10,2
1861,6.70947361161974e-10,2
1862,6.70947361161974e-10,2
1863,6.70947361161974e-10,2
1864,6.70947361161974e-10,2
1865,6.70947361161974e-10,2
1866,6.70947361161974e-10,2
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,2.02880315721846e-10,1
1872,2.02880315721846e-10,1
1873,2.41889068299171e-10,1
1874,2.41889068299171e-10,1
1875,2.41889068299171e-10,1
1876,2.41889068299171e-10,1
1877,3.46744081859894e-10,1
1878,1.43863766138048e-10,1
1879,1.43863766138048e-10,1
1880,1.04855013560723e-10,0
1881,1.04855013560723e-10,0
1882,1.04855013560723e-10,0
1883,1.04855013560723e-10,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,2.56050498264366e-11,0
1892,2.56050498264366e-11,0
1893,4.86667214464173e-11,0
1894,4.86667214464173e-11,0
1895,4.86667214464173e-11,0
1896,4.86667214464173e-11,0
1897,4.86667214464173e-11,0
1898,2.30616716199807e-11,0
1899,5.94894847668773e-11,0
1900,3.64278131468966e-11,0
1901,3.64278131468966e-11,0
1902,3.64278131468966e-11,0
1903,3.64278131468966e-11,0
1904,3.64278131468966e-11,0
1905,5.16746754513393e-11,0
1906,1.52468623044426e-11,0
1907,1.52468623044426e-11,0
1908,1.52468623044426e-11,0
1909,1.52468623044426e-11,0
1910,1.52468623044426e-11,0
1911,1.52468623044426e-11,0
1912,0,0
1913,0,0
1914,2.92329791326143e-11,0
1915,2.92329791326143e-11,0
1916,4.42848426580283e-11,0
1917,1.28079250578355e-10,1
1918,1.28079250578355e-10,1
1919,1.99107981094634e-10,2
1920,1.99107981094634e-10,2
1921,2.54209826799912e-10,3
1922,2.78361122842328e-10,3
1923,2.63309259316914e-10,2
1924,2.03936379688281e-10,1
1925,2.72951903143185e-10,2
1926,2.01923172626906e-10,1
1927,2.01923172626906e-10,1
