"Year","Freq","Count"
1800,7.99082062208356e-06,95
1801,9.21930450346054e-06,39
1802,8.2265042789705e-06,30
1803,7.75720609880182e-06,51
1804,5.16470943929497e-06,22
1805,5.59800349110771e-06,32
1806,5.74808082376421e-06,61
1807,5.74269880258628e-06,41
1808,4.48953655153771e-06,39
1809,4.42137820450788e-06,57
1810,4.60938544526763e-06,100
1811,4.5099783037017e-06,50
1812,4.14383955111524e-06,136
1813,4.44032157633144e-06,82
1814,4.32500851234506e-06,52
1815,4.24115842686693e-06,69
1816,4.33535056337015e-06,56
1817,3.8539109437709e-06,57
1818,3.59077573465681e-06,79
1819,3.63171218761441e-06,79
1820,3.51933533794733e-06,108
1821,3.47680872384412e-06,94
1822,3.40853060265545e-06,142
1823,3.33831593581278e-06,104
1824,3.17857630095984e-06,158
1825,3.47299335296774e-06,134
1826,3.09443377233265e-06,108
1827,2.83460705828377e-06,100
1828,3.00454431010978e-06,113
1829,2.80651490770976e-06,115
1830,2.89338852813411e-06,135
1831,2.96364830987272e-06,125
1832,2.93307797402268e-06,161
1833,3.44195375185612e-06,207
1834,3.70789345589222e-06,217
1835,3.68434136177598e-06,240
1836,3.96921091194713e-06,285
1837,4.62841292149717e-06,328
1838,4.98986390847936e-06,286
1839,4.95051081372821e-06,370
1840,4.70172332508615e-06,392
1841,4.44901531945366e-06,399
1842,4.31037081633739e-06,419
1843,4.03151502886041e-06,296
1844,3.52230027341908e-06,309
1845,3.25822162088636e-06,344
1846,3.40702794078749e-06,298
1847,3.49226201227079e-06,310
1848,3.51847528230158e-06,303
1849,3.73854627966352e-06,305
1850,3.71195268909576e-06,358
1851,3.49698268615433e-06,256
1852,3.42810169483089e-06,334
1853,3.25784193374748e-06,286
1854,3.09026085990435e-06,288
1855,3.23938138129571e-06,294
1856,3.17897282440884e-06,353
1857,3.36544041244581e-06,351
1858,3.62862248591357e-06,316
1859,3.86069017313925e-06,386
1860,4.08632781808852e-06,449
1861,4.15896689633298e-06,324
1862,4.26311868092658e-06,325
1863,4.86479780395907e-06,407
1864,4.93942806047341e-06,504
1865,5.41767496794624e-06,620
1866,5.31368190438895e-06,727
1867,5.54109705522673e-06,798
1868,5.47909325478356e-06,872
1869,5.21486226290335e-06,676
