"Year","Freq","Count"
1800,9.37916402676819e-06,2351
1801,8.97315442216495e-06,2202
1802,8.86842623989044e-06,2097
1803,8.995680064215e-06,3106
1804,9.13241797206865e-06,2794
1805,9.08960145449912e-06,2974
1806,1.04996905179178e-05,4251
1807,1.122077177992e-05,5228
1808,1.21446538352237e-05,6648
1809,1.43430726455205e-05,7888
1810,1.59775803061686e-05,10861
1811,1.81381342534743e-05,10957
1812,1.91620877347175e-05,15068
1813,1.84337698994698e-05,12031
1814,1.86977096469881e-05,11343
1815,1.92958155399278e-05,11493
1816,1.82271034613482e-05,13367
1817,1.68699193149483e-05,11480
1818,1.46864455570851e-05,10812
1819,1.29570459291374e-05,9690
1820,1.30346138982012e-05,10815
1821,1.21387119439273e-05,9640
1822,1.11726260619045e-05,10568
1823,1.02478498393209e-05,9886
1824,9.81696463294871e-06,10860
1825,1.06050113239624e-05,12086
1826,1.09870786794935e-05,11125
1827,1.00772250115304e-05,10685
1828,1.09004506896326e-05,12246
1829,1.08277785467895e-05,12998
1830,1.04077027133696e-05,14159
1831,1.04540551676889e-05,13481
1832,9.50508961393228e-06,19237
1833,9.42812378720451e-06,14076
1834,9.50296024322077e-06,14558
1835,8.90693617553292e-06,14885
1836,8.33679241298211e-06,14384
1837,8.56628530040585e-06,14677
1838,8.35849232316832e-06,14197
1839,8.2093549898283e-06,15564
1840,8.09924559267269e-06,14882
1841,7.71414633098695e-06,14385
1842,7.29446537661715e-06,13701
1843,7.42004261512972e-06,13973
1844,7.17398714706568e-06,14592
1845,6.97329985704138e-06,16323
1846,6.92816268253539e-06,15037
1847,6.54124635600186e-06,13940
1848,6.67253822582227e-06,14229
1849,6.77140189964121e-06,14776
1850,6.793708085492e-06,15954
1851,6.77984357772792e-06,17644
1852,6.76743035553175e-06,17923
1853,6.64801955200086e-06,19931
1854,6.66173724133452e-06,20420
1855,6.86199114901293e-06,19314
1856,6.79013552127929e-06,20023
1857,6.70734294366022e-06,18900
1858,6.95308077882016e-06,18847
1859,7.78292028615267e-06,22286
1860,8.64531159550097e-06,25558
1861,9.64811720548044e-06,23836
1862,1.02403991084949e-05,23920
1863,1.09112686297002e-05,25460
1864,1.14290210717627e-05,28792
1865,1.15834861763428e-05,29583
1866,1.13112527466391e-05,33722
1867,1.08672726802134e-05,32842
1868,1.00711587793155e-05,32410
1869,9.76095864757553e-06,31400
1870,9.23083492563949e-06,30403
1871,8.8483474810021e-06,28100
1872,8.52187575820348e-06,30640
1873,8.29011295877535e-06,27933
1874,8.14753293200608e-06,28577
1875,8.17526833023814e-06,28410
1876,8.27589252594407e-06,30192
