"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,1.36577051255772e-10,0
1864,1.36577051255772e-10,0
1865,1.36577051255772e-10,0
1866,1.36577051255772e-10,0
1867,1.36577051255772e-10,0
1868,1.36577051255772e-10,0
1869,1.36577051255772e-10,0
1870,0,0
1871,0,0
1872,0,0
1873,2.22945947417738e-10,1
1874,2.60796332941991e-10,1
1875,2.60796332941991e-10,1
1876,2.60796332941991e-10,1
1877,2.60796332941991e-10,1
1878,2.95335950140085e-10,1
1879,2.95335950140085e-10,1
1880,7.23900027223477e-11,0
1881,3.45396171980943e-11,0
1882,3.45396171980943e-11,0
1883,6.51003873824203e-11,0
1884,6.51003873824203e-11,0
1885,3.0560770184326e-11,0
1886,3.0560770184326e-11,0
1887,3.0560770184326e-11,0
1888,5.62346637509949e-11,0
1889,8.11206934958619e-11,0
1890,5.0559923311536e-11,0
1891,5.0559923311536e-11,0
1892,7.19198252539601e-11,0
1893,1.8152311201788e-10,1
1894,3.07469952276485e-10,2
1895,3.22038530762926e-10,2
1896,2.97152501018059e-10,2
1897,3.14800132390174e-10,2
1898,3.14800132390174e-10,2
1899,3.79916342433237e-10,3
1900,3.38965742379444e-10,3
1901,2.78130458148634e-10,2
1902,2.70588939152042e-10,2
1903,2.70588939152042e-10,2
1904,2.52941307779927e-10,2
1905,2.52941307779927e-10,2
1906,2.10662123657977e-10,2
1907,1.42009436947849e-10,1
1908,1.29025655239344e-10,1
1909,1.22487555812408e-10,1
1910,1.74797093466239e-10,2
1911,1.74797093466239e-10,2
1912,1.74797093466239e-10,2
1913,1.44176626986387e-10,1
1914,1.44176626986387e-10,1
1915,9.2048852667099e-11,1
1916,6.58859990375151e-11,1
1917,1.35764613836845e-11,0
1918,1.09203650090959e-10,1
1919,1.09203650090959e-10,1
1920,1.83725098626805e-10,2
1921,1.83725098626805e-10,2
1922,1.83725098626805e-10,2
1923,1.83725098626805e-10,1
1924,1.83725098626805e-10,1
1925,8.80979099195299e-11,1
1926,8.80979099195299e-11,1
1927,0,0
1928,0,0
1929,2.4014413473645e-11,0
