"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,2.57932623672273e-11,0
1941,2.57932623672273e-11,0
1942,2.57932623672273e-11,0
1943,2.57932623672273e-11,0
1944,2.57932623672273e-11,0
1945,2.57932623672273e-11,0
1946,2.57932623672273e-11,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,1.44942510374843e-11,0
1956,1.44942510374843e-11,0
1957,1.44942510374843e-11,0
1958,1.44942510374843e-11,0
1959,2.57881900357835e-11,0
1960,3.63760509809146e-11,0
1961,3.63760509809146e-11,0
1962,3.20835560499840e-11,0
1963,3.20835560499840e-11,0
1964,3.20835560499840e-11,0
1965,1.02604208859372e-10,1
1966,1.17689484150204e-10,2
1967,1.513250179925e-10,2
1968,2.57603511934411e-10,4
1969,2.6535552723393e-10,4
1970,3.00433562948145e-10,5
1971,3.09384462493512e-10,5
1972,2.56254699999252e-10,4
1973,2.79400068557502e-10,5
1974,2.35176673770075e-10,4
1975,1.45117179186003e-10,2
1976,1.75381995632622e-10,3
1977,1.40303959918407e-10,2
1978,1.63992774717046e-10,3
1979,1.46601884401917e-10,3
1980,1.5977191692678e-10,3
1981,1.97920908828753e-10,3
1982,2.03936393566068e-10,4
1983,1.85327830462941e-10,3
1984,2.14730203856079e-10,4
1985,2.54431241948032e-10,5
1986,3.5115101699417e-10,7
1987,4.3558068263394e-10,8
1988,5.4299128685439e-10,11
1989,6.67101056934476e-10,14
1990,7.50667881030001e-10,16
1991,8.52650878473733e-10,18
1992,8.88470011847379e-10,19
1993,9.2701877920019e-10,20
1994,8.77441444898811e-10,19
1995,7.95753161776856e-10,18
1996,8.51074179384982e-10,19
1997,9.56493281404188e-10,21
1998,9.34885875063835e-10,21
1999,1.10873465963834e-09,25
2000,1.20193298171399e-09,30
2001,1.28186159306257e-09,32
2002,1.40052111178132e-09,37
2003,1.338125546876e-09,37
2004,1.24569324696669e-09,35
2005,1.20547559236326e-09,32
2006,1.02639836312741e-09,28
2007,9.48212016841207e-10,27
2008,8.87140210498976e-10,26
2009,8.00029003362417e-10,22
2010,7.91763979776253e-10,21
2011,8.74508203947093e-10,24
2012,1.00252262840479e-09,35
2013,1.08152595609415e-09,38
2014,1.165054172184e-09,36
2015,1.10295713435476e-09,30
2016,1.12644873191086e-09,30
2017,1.16135139005547e-09,32
2018,1.1011506428904e-09,29
2019,1.03068251849914e-09,24
