"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,6.54891912128213e-09,0
1808,6.54891912128213e-09,0
1809,6.54891912128213e-09,0
1810,6.54891912128213e-09,0
1811,6.54891912128213e-09,0
1812,6.54891912128213e-09,0
1813,1.75395708116152e-08,0
1814,1.09906516903331e-08,0
1815,1.09906516903331e-08,0
1816,1.09906516903331e-08,0
1817,1.09906516903331e-08,0
1818,1.62707074480295e-08,0
1819,1.62707074480295e-08,0
1820,5.28005575769644e-09,0
1821,5.28005575769644e-09,0
1822,5.28005575769644e-09,0
1823,5.28005575769644e-09,0
1824,5.28005575769644e-09,0
1825,0,0
1826,0,0
1827,0,0
1828,3.3699382332283e-09,0
1829,3.3699382332283e-09,0
1830,3.3699382332283e-09,0
1831,3.3699382332283e-09,0
1832,3.3699382332283e-09,0
1833,3.3699382332283e-09,0
1834,3.3699382332283e-09,0
1835,2.48329154065427e-09,0
1836,1.00983348667277e-08,1
1837,1.00983348667277e-08,1
1838,1.00983348667277e-08,1
1839,1.00983348667277e-08,1
1840,1.20387920584822e-08,1
1841,1.36617167102924e-08,1
1842,1.11784251696382e-08,1
1843,3.56338184356478e-09,0
1844,3.56338184356478e-09,0
1845,3.56338184356478e-09,0
1846,3.56338184356478e-09,0
1847,3.10012561653496e-09,0
1848,1.47720096472475e-09,0
1849,2.93811197593641e-09,0
1850,2.93811197593641e-09,0
1851,2.93811197593641e-09,0
1852,6.07646758307315e-09,1
1853,6.07646758307315e-09,1
1854,5.96152143523503e-09,1
1855,5.96152143523503e-09,1
1856,4.50061042402337e-09,1
1857,4.50061042402337e-09,0
1858,4.50061042402337e-09,0
1859,1.36225481688663e-09,0
1860,3.06045588871484e-09,0
1861,1.69820107182821e-09,0
1862,1.69820107182821e-09,0
1863,1.69820107182821e-09,0
1864,1.69820107182821e-09,0
1865,2.59202526109448e-09,0
1866,2.59202526109448e-09,0
1867,8.93824189266265e-10,0
1868,8.93824189266265e-10,0
1869,8.93824189266265e-10,0
1870,8.93824189266265e-10,0
1871,8.93824189266265e-10,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,2.83479550944321e-09,0
1878,2.83479550944321e-09,0
1879,2.83479550944321e-09,0
1880,2.83479550944321e-09,0
1881,3.69755635633494e-09,1
1882,3.69755635633494e-09,1
1883,3.69755635633494e-09,1
1884,1.62367598731196e-09,0
1885,1.62367598731196e-09,0
1886,1.62367598731196e-09,0
1887,1.62367598731196e-09,0
1888,2.0140119413473e-09,0
1889,2.0140119413473e-09,0
1890,2.0140119413473e-09,0
1891,1.25309680092706e-09,0
1892,1.67288776482215e-09,0
1893,1.67288776482215e-09,0
1894,2.54663360240873e-09,1
1895,1.72824678377838e-09,1
1896,2.23255981955463e-09,1
1897,5.62730309968832e-09,2
1898,8.58703612977812e-09,3
1899,8.16724516588303e-09,5
