"Year","Freq","Count"
1800,5.17865028637488e-09,1
1801,4.1429202290999e-09,1
1802,6.49132107325793e-09,2
1803,6.96798929666897e-09,2
1804,8.2315310123704e-09,3
1805,7.59357265955884e-09,2
1806,8.62777306741082e-09,3
1807,1.13679849343486e-08,5
1808,1.25448009599286e-08,7
1809,1.35585365157453e-08,7
1810,1.49877260919545e-08,10
1811,1.55011003874098e-08,9
1812,1.59365784537156e-08,13
1813,1.60662544696726e-08,10
1814,1.31358414780434e-08,8
1815,1.23453068720128e-08,7
1816,1.06285379703713e-08,8
1817,8.9947814910626e-09,6
1818,8.26225568914144e-09,6
1819,7.75831499044699e-09,6
1820,7.18402631034414e-09,6
1821,7.296223966272e-09,6
1822,8.53193827492811e-09,8
1823,7.47298747486421e-09,7
1824,6.67591462269864e-09,7
1825,5.8243016996608e-09,7
1826,6.91388647127462e-09,7
1827,6.84715175828085e-09,7
1828,6.79345650368899e-09,8
1829,6.36612349344138e-09,8
1830,6.57169687715406e-09,9
1831,6.91249414057944e-09,9
1832,6.74883947932819e-09,14
1833,5.62075364823096e-09,8
1834,6.34380352217333e-09,10
1835,6.0783444785376e-09,10
1836,6.00959940541149e-09,10
1837,5.65822211306966e-09,10
1838,6.28892810843646e-09,11
1839,6.75382199372925e-09,13
1840,7.17287629292684e-09,13
1841,6.4168167366953e-09,12
1842,7.03855330368748e-09,13
1843,6.43723186263426e-09,12
1844,6.67521914331028e-09,14
1845,6.10222098645125e-09,14
1846,5.95436787574423e-09,13
1847,5.72897688415936e-09,12
1848,5.51257191085318e-09,12
1849,4.75161535118396e-09,10
1850,4.70171822903558e-09,11
1851,4.60247295037369e-09,12
1852,4.45890820298191e-09,12
1853,4.02841464154845e-09,12
1854,4.53340096414781e-09,14
1855,5.3624992462404e-09,15
1856,5.40936730329479e-09,16
1857,5.17533933565493e-09,15
1858,4.91565979587882e-09,13
1859,4.68486511092817e-09,13
1860,6.64208019934038e-09,20
1861,5.75698599109791e-09,14
1862,5.21163203069465e-09,12
1863,5.18221809908681e-09,12
1864,5.27121283527039e-09,13
1865,1.04888558830459e-08,27
1866,1.13452991644193e-08,34
1867,9.68331480872513e-09,29
1868,1.03087902619021e-08,33
1869,1.06224970803608e-08,34
1870,1.04132664475414e-08,34
1871,1.06516654742515e-08,34
1872,5.9227318327526e-09,21
1873,5.26392287298576e-09,18
1874,5.12195014972556e-09,18
1875,4.83213834421927e-09,17
1876,5.68618811163419e-09,21
1877,6.57741746782189e-09,24
1878,6.51734762189905e-09,23
1879,6.60475890645884e-09,25
1880,6.5068058064626e-09,26
1881,6.3444382941702e-09,25
1882,6.36620034268263e-09,26
1883,5.12310048352203e-09,22
1884,4.45729537802895e-09,20
1885,4.52976586399042e-09,20
1886,4.12250263687979e-09,18
1887,4.50823665501928e-09,21
1888,4.43979536270321e-09,22
1889,4.30132819441629e-09,22
1890,4.50247239690084e-09,23
1891,4.23110151082096e-09,22
1892,4.07759604851129e-09,22
1893,3.97843023406238e-09,22
1894,4.12691438760644e-09,23
1895,5.14034266937572e-09,33
1896,6.03268673507859e-09,37
1897,8.06190931473034e-09,52
1898,9.13426270335701e-09,61
1899,9.61799797741644e-09,71
1900,1.170093244518e-08,90
1901,1.49418358003877e-08,118
1902,1.72769522973785e-08,135
1903,1.80277309667711e-08,142
1904,1.6774068895791e-08,139
1905,1.64910673212353e-08,136
1906,1.73180505015834e-08,155
1907,1.60251062578506e-08,144
1908,1.30962433358179e-08,122
1909,1.07069757266614e-08,98
1910,1.16078817827666e-08,113
1911,1.3406195796341e-08,139
1912,1.39144742315546e-08,144
1913,1.46932294823162e-08,152
1914,1.48068603608323e-08,151
1915,1.51398581013254e-08,149
1916,1.64547699236081e-08,164
1917,1.58819078483712e-08,155
1918,1.45807622444126e-08,130
1919,1.67430273336132e-08,158
1920,1.62683392352608e-08,166
1921,3.14453977380756e-08,311
1922,3.28071690290445e-08,329
1923,3.2607835376286e-08,200
1924,3.32444545146439e-08,168
1925,3.40033526454889e-08,200
1926,3.26040925488095e-08,189
1927,3.38366733322802e-08,197
1928,1.98930239701602e-08,123
1929,2.05681075306417e-08,128
1930,2.01847188090782e-08,126
1931,1.87322412680586e-08,117
1932,1.93276849822352e-08,109
1933,1.95167164393891e-08,102
1934,1.92306170888295e-08,104
1935,2.00256556476264e-08,120
1936,1.86702248165606e-08,115
1937,1.9109708745968e-08,121
1938,1.96847202506488e-08,126
1939,1.88889624497257e-08,128
1940,2.01763605426183e-08,128
1941,2.27038475242303e-08,149
1942,2.63493850786009e-08,151
1943,3.342343483727e-08,184
1944,3.42833083271416e-08,177
1945,3.50361128759984e-08,200
1946,3.46234254441516e-08,230
1947,3.24136231664797e-08,243
1948,2.98562090923176e-08,226
1949,2.58810533322012e-08,223
1950,1.9178091908196e-08,165
1951,1.86948666071528e-08,156
1952,2.05347571962428e-08,172
1953,2.15709953708755e-08,181
1954,2.3165059457954e-08,199
1955,2.28881958941329e-08,208
1956,2.33437201156507e-08,212
