"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,2.58641844449617e-09,1
1919,2.58641844449617e-09,1
1920,2.58641844449617e-09,1
1921,2.58641844449617e-09,1
1922,2.58641844449617e-09,1
1923,2.58641844449617e-09,1
1924,2.58641844449617e-09,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,2.14501197756281e-09,1
1930,2.14501197756281e-09,1
1931,2.14501197756281e-09,1
1932,4.88401262290137e-09,1
1933,5.6223513463952e-09,1
1934,5.6223513463952e-09,1
1935,7.98908241149223e-09,2
1936,5.84407043392941e-09,1
1937,5.84407043392941e-09,1
1938,8.34005683561908e-09,2
1939,5.60105619028052e-09,1
1940,4.8627174667867e-09,1
1941,5.84143533544079e-09,1
1942,3.47470427034377e-09,1
1943,4.71898133268058e-09,1
1944,5.318814024134e-09,1
1945,2.82282762244433e-09,0
1946,2.82282762244433e-09,1
1947,3.84361805875041e-09,1
1948,4.46835051499355e-09,1
1949,4.75558624226023e-09,1
1950,4.58369212427304e-09,1
1951,5.04888813297149e-09,1
1952,5.04888813297149e-09,3
1953,9.41253713066763e-09,2
1954,1.20181373107288e-08,3
1955,1.66191603653435e-08,5
1956,1.68154352664374e-08,4
1957,1.66419970502675e-08,5
1958,1.55769683501157e-08,4
1959,1.88420043377237e-08,6
1960,1.6911647510958e-08,5
1961,1.32852568945907e-08,5
1962,7.86658363846219e-09,3
1963,8.89798682354329e-09,3
1964,9.30836655374126e-09,3
1965,9.30836655374126e-09,3
1966,7.945527822985e-09,3
1967,7.34713188700807e-09,3
1968,9.10911593773481e-09,4
1969,9.41522168166184e-09,4
1970,9.71864382621439e-09,5
1971,8.76874766448614e-09,4
1972,9.12780574933793e-09,4
1973,1.05415036699696e-08,4
1974,1.05710662445802e-08,4
1975,1.11885093888122e-08,4
1976,1.57831957979328e-08,7
1977,1.50246871134994e-08,7
1978,1.73613941952969e-08,8
1979,1.95793188011757e-08,10
1980,1.87089315309815e-08,10
1981,1.93747410337508e-08,11
1982,1.87619654891589e-08,11
1983,1.5219739167373e-08,10
1984,1.71440591723027e-08,12
1985,1.83217063108389e-08,13
1986,2.03913190301362e-08,16
1987,3.16773661904587e-08,27
1988,3.42395635970811e-08,30
1989,5.20234603015471e-08,49
1990,5.72075628614753e-08,60
1991,5.88732965711714e-08,62
1992,6.4086430860501e-08,69
1993,6.7853868856993e-08,76
1994,5.95000397999154e-08,71
1995,6.23962693735436e-08,74
1996,5.0339979462688e-08,64
1997,5.30963891504881e-08,67
1998,5.83945089346497e-08,79
1999,5.88594602501935e-08,89
2000,6.06057565006551e-08,132
2001,6.35742932821236e-08,142
2002,6.67425478614473e-08,162
2003,6.89407808935576e-08,187
2004,6.97887217222209e-08,207
2005,6.94619887323508e-08,195
2006,7.16197017564773e-08,224
2007,7.12094930323458e-08,251
2008,7.44222343910092e-08,310
2009,7.68871533583594e-08,361
2010,7.82382800926637e-08,389
2011,7.99761062296257e-08,497
2012,8.56795907079798e-08,659
2013,8.5942284035388e-08,668
2014,8.67113712102859e-08,793
2015,8.39861498759729e-08,624
2016,8.02456953901449e-08,539
2017,8.07357567097119e-08,657
2018,7.9144004816456e-08,611
2019,7.21116895641138e-08,546
