"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,3.50999959256423e-10,0
1804,3.50999959256423e-10,0
1805,3.50999959256423e-10,0
1806,3.50999959256423e-10,0
1807,3.50999959256423e-10,0
1808,3.50999959256423e-10,0
1809,3.50999959256423e-10,0
1810,0,0
1811,1.1719198310191e-09,1
1812,1.1719198310191e-09,1
1813,1.1719198310191e-09,1
1814,1.1719198310191e-09,1
1815,1.1719198310191e-09,1
1816,1.1719198310191e-09,1
1817,1.1719198310191e-09,1
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,1.24768901559642e-10,0
1823,5.46157206761576e-10,1
1824,5.46157206761576e-10,1
1825,5.46157206761576e-10,1
1826,5.46157206761576e-10,1
1827,6.50727812904047e-10,1
1828,6.50727812904047e-10,1
1829,9.47604582103777e-10,1
1830,6.21520818937833e-10,1
1831,6.21520818937833e-10,1
1832,6.21520818937833e-10,1
1833,8.68955605883213e-10,1
1834,7.64384999740741e-10,1
1835,8.48168400592795e-10,1
1836,5.01583909327609e-10,1
1837,4.83720777718791e-10,1
1838,4.83720777718791e-10,1
1839,5.59502214400201e-10,1
1840,3.12067427454821e-10,1
1841,3.12067427454821e-10,1
1842,2.28284026602767e-10,0
1843,1.53222847108582e-10,0
1844,7.57814366814102e-11,0
1845,7.57814366814102e-11,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,4.74699089560358e-11,0
1851,4.74699089560358e-11,0
1852,1.99154621365644e-10,1
1853,2.47413962333504e-10,1
1854,2.47413962333504e-10,1
1855,2.47413962333504e-10,1
1856,2.47413962333504e-10,1
1857,1.99944053377469e-10,1
1858,1.99944053377469e-10,1
1859,4.825934096786e-11,0
1860,0,0
1861,5.64866843775848e-11,0
1862,5.64866843775848e-11,0
1863,5.64866843775848e-11,0
1864,5.64866843775848e-11,0
1865,5.64866843775848e-11,0
1866,5.64866843775848e-11,0
1867,1.42911591291143e-10,0
1868,8.64249069135578e-11,0
1869,8.64249069135578e-11,0
1870,8.64249069135578e-11,0
1871,8.64249069135578e-11,0
1872,8.64249069135578e-11,0
1873,8.64249069135578e-11,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,3.28866834558334e-11,0
1881,3.28866834558334e-11,0
1882,1.62524999410988e-10,1
1883,1.62524999410988e-10,1
1884,1.62524999410988e-10,1
1885,1.62524999410988e-10,1
1886,1.90113615326583e-10,1
1887,1.5722693187075e-10,1
1888,1.84229774293142e-10,1
1889,5.45914583379873e-11,0
1890,5.45914583379873e-11,0
1891,5.45914583379873e-11,0
1892,5.45914583379873e-11,0
1893,1.65372872142276e-10,1
1894,1.65372872142276e-10,1
1895,1.38370029719884e-10,1
1896,1.38370029719884e-10,1
1897,1.56946784933355e-10,1
1898,3.73404811039789e-10,3
1899,3.73404811039789e-10,3
1900,2.35034781319905e-10,2
1901,2.35034781319905e-10,2
1902,2.35034781319905e-10,2
