"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,1.21699323634467e-08,0
1824,1.21699323634467e-08,1
1825,1.21699323634467e-08,0
1826,1.21699323634467e-08,0
1827,1.21699323634467e-08,0
1828,1.21699323634467e-08,0
1829,1.21699323634467e-08,0
1830,2.36634711825445e-09,0
1831,2.36634711825445e-09,0
1832,2.36634711825445e-09,0
1833,2.36634711825445e-09,0
1834,2.36634711825445e-09,0
1835,2.36634711825445e-09,0
1836,2.36634711825445e-09,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,1.07904522142884e-08,1
1843,1.07904522142884e-08,1
1844,1.39960573924165e-08,1
1845,1.39960573924165e-08,1
1846,1.39960573924165e-08,1
1847,1.54732583571412e-08,1
1848,1.74203694009683e-08,1
1849,8.0908281978915e-09,1
1850,1.2949040316203e-08,1
1851,9.74343513807493e-09,1
1852,9.74343513807493e-09,1
1853,1.23034515908671e-08,1
1854,1.08262506261423e-08,1
1855,8.87913958231528e-09,1
1856,1.31027115506705e-08,1
1857,8.24449943235907e-09,1
1858,8.24449943235907e-09,1
1859,1.19733399068472e-08,1
1860,9.41332345405499e-09,1
1861,2.19479144699822e-08,2
1862,2.69178249214162e-08,2
1863,2.33110580997017e-08,2
1864,2.82525676504568e-08,3
1865,2.82525676504568e-08,3
1866,2.891338812816e-08,4
1867,3.88104556746173e-08,6
1868,2.72123997621268e-08,4
1869,2.34008489411305e-08,3
1870,2.47403695625386e-08,4
1871,2.10174743006267e-08,3
1872,3.45064815451427e-08,4
1873,3.43653855213891e-08,4
1874,2.89060877456393e-08,3
1875,3.55147414968623e-08,5
1876,3.54434296515446e-08,5
1877,3.95856479024863e-08,5
1878,3.91932227624839e-08,4
1879,3.19472779659285e-08,4
1880,2.90465772069735e-08,4
1881,2.71970900403825e-08,5
1882,2.12455545220028e-08,3
1883,2.27182156261766e-08,5
1884,1.66805908768148e-08,3
1885,1.80330330985206e-08,3
1886,1.46021937398798e-08,2
1887,1.64500967768179e-08,3
1888,1.44883625731649e-08,3
1889,2.48520573644027e-08,5
1890,2.69469982201136e-08,6
1891,3.29170534004878e-08,7
1892,3.40967497411019e-08,9
1893,3.68499008450231e-08,10
1894,4.06441003392948e-08,10
1895,4.47993619344191e-08,15
1896,3.81373005556692e-08,13
1897,3.99892418861165e-08,13
1898,3.64436671316883e-08,12
1899,3.59838447293116e-08,20
1900,3.5211386822149e-08,18
1901,4.63765503460374e-08,20
1902,4.71268778921642e-08,16
1903,7.70413914251224e-08,27
1904,8.22315589589704e-08,28
1905,9.06977456947646e-08,28
1906,1.02469113828972e-07,38
1907,1.10374572719658e-07,36
