"Year","Freq","Count"
1800,9.92116278020205e-10,0
1801,7.93693022416164e-10,0
1802,6.6141085201347e-10,0
1803,5.66923587440117e-10,0
1804,0,0
1805,0,0
1806,7.75650274168324e-10,0
1807,7.75650274168324e-10,0
1808,7.75650274168324e-10,0
1809,7.75650274168324e-10,0
1810,7.75650274168324e-10,1
1811,7.75650274168324e-10,0
1812,7.75650274168324e-10,1
1813,0,0
1814,0,0
1815,1.93140709774704e-10,0
1816,1.93140709774704e-10,0
1817,1.93140709774704e-10,0
1818,5.51210442369308e-10,0
1819,5.51210442369308e-10,0
1820,5.51210442369308e-10,0
1821,5.51210442369308e-10,0
1822,3.58069732594605e-10,0
1823,3.30778791658913e-09,3
1824,3.30778791658913e-09,4
1825,3.0763349962675e-09,3
1826,3.55032796812387e-09,4
1827,3.75946918040881e-09,4
1828,4.20078641713165e-09,5
1829,4.97380349605083e-09,6
1830,2.50060800637592e-09,3
1831,2.50060800637592e-09,3
1832,2.97003739062924e-09,6
1833,3.40330528837894e-09,5
1834,3.44334465702494e-09,5
1835,3.08581082115416e-09,5
1836,2.46291610122335e-09,4
1837,2.14127622775808e-09,4
1838,2.21760196713764e-09,4
1839,1.69733720729275e-09,3
1840,1.69710793037784e-09,3
1841,2.0077483009473e-09,4
1842,3.74842814724171e-09,7
1843,6.22128673180963e-09,12
1844,6.46710103722827e-09,13
1845,7.59207302580833e-09,18
1846,7.58151208876282e-09,16
1847,6.85629688341421e-09,15
1848,6.62460196619387e-09,14
1849,5.87492951509283e-09,13
1850,3.82158751072963e-09,9
1851,3.69946196295981e-09,10
1852,3.00377994303222e-09,8
1853,4.09678369006627e-09,12
1854,4.01597102398351e-09,12
1855,3.74034673471841e-09,10
1856,3.80862849591601e-09,11
1857,4.10540557501829e-09,11
1858,4.46047266186181e-09,12
1859,4.92972717012842e-09,14
1860,4.74742632903892e-09,14
1861,6.22804975449119e-09,15
1862,6.78844897754922e-09,16
1863,6.50465820888663e-09,15
1864,6.39176413384592e-09,16
1865,6.24461752149078e-09,16
1866,6.68541514211743e-09,20
1867,7.65405218570793e-09,23
1868,6.61016536745202e-09,21
1869,7.10566919589642e-09,23
1870,7.04888014624316e-09,23
1871,6.98515125106626e-09,22
1872,7.72721068084284e-09,28
1873,7.16973540854886e-09,24
1874,6.2981742995508e-09,22
1875,8.20745052873154e-09,28
1876,8.36400123763578e-09,30
1877,9.20423711850812e-09,33
1878,1.08729924746293e-08,38
1879,1.16694422379128e-08,43
1880,1.20280568996886e-08,49
1881,1.15232382881723e-08,45
1882,1.0275376125365e-08,42
1883,9.71711844321987e-09,42
1884,8.89818434014954e-09,40
1885,8.13591605990689e-09,35
1886,6.99375055487498e-09,31
1887,7.79422300510392e-09,36
1888,9.60229233031613e-09,47
1889,1.112491115499e-08,57
1890,1.173358920343e-08,60
1891,1.27789633795418e-08,67
1892,1.24410918709929e-08,67
1893,1.33570665004714e-08,75
1894,1.26652932427466e-08,70
1895,1.21097670779946e-08,76
1896,1.07640041483289e-08,66
1897,1.10833827036773e-08,71
1898,1.02784659355188e-08,69
1899,1.04225280945463e-08,76
1900,9.76216579002503e-09,74
1901,1.10414357022494e-08,86
1902,1.04776469405416e-08,81
1903,1.1811291373525e-08,92
1904,1.15716660380778e-08,95
1905,1.18033973706133e-08,97
1906,1.26816294608391e-08,112
1907,1.31840009385899e-08,117
1908,1.20751902445347e-08,112
1909,1.24581950470112e-08,113
1910,1.12223465441121e-08,108
1911,1.14207016542269e-08,117
1912,1.14219881172265e-08,117
1913,1.04280979407179e-08,107
1914,1.02343108590982e-08,103
1915,9.50340390508992e-09,93
1916,9.66968759032381e-09,95
1917,1.01091869478661e-08,98
1918,1.07446397810764e-08,95
1919,1.11378538772807e-08,104
1920,1.17767785999336e-08,119
1921,1.23818935422142e-08,122
1922,1.28002483533253e-08,127
1923,1.27127658360633e-08,77
1924,1.309508401318e-08,66
1925,1.31206542476019e-08,77
1926,1.4456001953029e-08,83
1927,1.57591143646567e-08,91
1928,1.685467584746e-08,103
1929,1.8250413721943e-08,112
1930,1.96628228203512e-08,122
1931,2.07774903690902e-08,128
1932,2.12183132809938e-08,118
1933,2.13432152745036e-08,111
1934,2.09902531705148e-08,113
1935,2.04647796645371e-08,122
1936,1.98956217373996e-08,121
1937,1.89638284282217e-08,119
1938,1.83595774773591e-08,117
1939,1.8153649758038e-08,122
1940,1.71695503528976e-08,108
1941,1.80443482378223e-08,117
1942,1.82367221006936e-08,103
1943,2.01312343303276e-08,110
1944,2.14036293450753e-08,110
1945,2.24077812812798e-08,127
1946,2.21523728884319e-08,146
1947,2.31150073050555e-08,172
1948,2.23226217193379e-08,168
1949,2.30793069318423e-08,197
1950,2.24234361614498e-08,191
1951,2.12354597140767e-08,175
1952,2.02170101215593e-08,168
1953,2.07913895227436e-08,173
1954,2.05362800653752e-08,175
1955,2.10276117391344e-08,189
1956,2.03115345515092e-08,183
1957,1.95606697684607e-08,190
1958,2.08474367788655e-08,203
1959,2.13761122651907e-08,224
1960,2.06429595520482e-08,229
1961,2.01099588608462e-08,238
1962,1.88026959914632e-08,235
1963,1.86314237252524e-08,248
1964,1.85168806835342e-08,232
1965,1.72029991085676e-08,238
1966,1.62830894164959e-08,232
1967,1.72504382841713e-08,271
1968,1.70171367860112e-08,272
1969,1.6715029494447e-08,268
1970,1.5898989941056e-08,254
1971,1.56371260136885e-08,249
1972,1.50934678158632e-08,237
1973,1.4583147521904e-08,235
1974,1.37648464124911e-08,217
1975,1.38465543792725e-08,225
1976,1.37984171390469e-08,236
1977,1.4097642672287e-08,244
1978,1.40570612927604e-08,245
1979,1.44410054707984e-08,254
1980,1.46119027988334e-08,257
1981,1.48596890982487e-08,257
1982,1.46934623466393e-08,255
1983,1.53737750417065e-08,277
1984,1.54485751443263e-08,286
1985,1.57333358038232e-08,300
1986,1.60129318326921e-08,305
1987,1.63793970316525e-08,315
1988,1.61045989426067e-08,314
1989,1.63096845151391e-08,333
1990,1.61074419749639e-08,340
1991,1.59611074748909e-08,325
1992,1.59814449843452e-08,339
1993,1.60204116555048e-08,340
1994,1.56413468987387e-08,336
1995,1.5577391962154e-08,346
1996,1.59012943908418e-08,348
1997,1.63232816613655e-08,354
1998,1.71339122681524e-08,379
1999,1.75247331041636e-08,392
2000,1.8001406281284e-08,441
2001,1.90764900349519e-08,466
2002,1.99442098991674e-08,519
2003,2.04867661213391e-08,556
2004,2.16047266188291e-08,601
2005,2.23156354640137e-08,586
2006,2.38157360791683e-08,651
2007,2.61887384452042e-08,731
2008,2.83668306384171e-08,804
2009,3.03359270164323e-08,830
2010,3.16542652169437e-08,830
2011,3.27789910100986e-08,872
2012,3.39517072972727e-08,1152
2013,3.39289690430368e-08,1167
2014,3.32048691518784e-08,1007
2015,3.32035421692078e-08,875
2016,3.29147710034981e-08,866
2017,3.3251808898363e-08,901
2018,3.29933554692186e-08,854
2019,3.2859452769006e-08,738
