"Year","Freq","Count"
1800,2.52078140654532e-05,300
1801,2.5819547082051e-05,109
1802,2.54942536083528e-05,94
1803,2.59811643904381e-05,172
1804,2.51118647258051e-05,106
1805,5.18327603527626e-05,300
1806,5.38302664645179e-05,574
1807,5.28638335513928e-05,380
1808,5.16594917436513e-05,446
1809,4.94478737534467e-05,638
1810,4.70142997690865e-05,1020
1811,4.68215734648376e-05,521
1812,2.11892048826355e-05,697
1813,2.97697384650876e-05,549
1814,2.87746490568809e-05,345
1815,5.25008065405278e-05,850
1816,5.37304622168579e-05,695
1817,5.40140871813881e-05,795
1818,5.36269231555967e-05,1173
1819,5.12415528451779e-05,1110
1820,3.99412072218703e-05,1224
1821,4.027165966087e-05,1086
1822,1.64276838380114e-05,683
1823,1.79795303511453e-05,560
1824,2.62467227400975e-05,1303
1825,2.89090429086108e-05,1118
1826,2.93206485244874e-05,1027
1827,2.94263537341521e-05,1042
1828,3.08615246191429e-05,1160
1829,3.14119441497951e-05,1285
1830,3.02790919103505e-05,1408
1831,2.36588089543537e-05,998
1832,2.17229066541742e-05,1196
1833,2.21595825970715e-05,1332
1834,2.22884972263923e-05,1305
1835,2.140328758417e-05,1394
1836,2.05090458759319e-05,1473
1837,2.45164504966462e-05,1738
1838,2.49464579513057e-05,1430
1839,2.65901278128565e-05,1988
1840,2.62267014850944e-05,2185
1841,2.67015376169054e-05,2393
1842,2.75754910928429e-05,2679
1843,2.90071002869549e-05,2128
1844,2.49995573052989e-05,2193
1845,2.33682567747045e-05,2466
1846,2.21986003826454e-05,1940
1847,2.34297865274259e-05,2080
1848,2.56219500199352e-05,2203
1849,2.67267914182412e-05,2183
1850,2.61845758667992e-05,2523
1851,2.62340183780907e-05,1917
1852,2.78374835634817e-05,2710
1853,2.84144948555617e-05,2495
1854,2.73854084217159e-05,2554
1855,2.59728779496982e-05,2354
1856,3.34091401116763e-05,3712
1857,3.44714645815917e-05,3599
1858,3.4735774485333e-05,3025
1859,3.32936458400062e-05,3332
1860,3.60535654278595e-05,3957
1861,3.68482352379423e-05,2869
1862,3.65225379580027e-05,2787
1863,2.74868344344473e-05,2302
1864,2.60350354080531e-05,2658
1865,2.67708854185652e-05,3064
1866,2.69789536072754e-05,3693
1867,2.30796422329149e-05,3322
1868,2.20643200594038e-05,3512
1869,2.2461396205082e-05,2912
1870,2.30351371815881e-05,3312
1871,2.43868490607773e-05,3704
1872,2.3939704825742e-05,2939
1873,2.5097913261821e-05,3133
