"Year","Freq","Count"
1800,1.98261809885025e-05,4969
1801,1.96606427607549e-05,4825
1802,1.92576437143543e-05,4554
1803,1.89326634654208e-05,6537
1804,1.88827568763372e-05,5777
1805,1.93661297609132e-05,6337
1806,1.86016142151857e-05,7530
1807,1.94665410130515e-05,9070
1808,1.93205188777158e-05,10576
1809,1.84230067361568e-05,10132
1810,1.79914604651848e-05,12230
1811,1.78104239856631e-05,10759
1812,1.64041842286419e-05,12899
1813,1.77632154775763e-05,11593
1814,1.73252268333662e-05,10510
1815,1.75768402803962e-05,10469
1816,1.80149669891502e-05,13211
1817,1.81324315592844e-05,12339
1818,1.75787726967818e-05,12942
1819,1.78461912615343e-05,13346
1820,1.5809275461314e-05,13117
1821,1.53778629753885e-05,12212
1822,1.44828867973956e-05,13699
1823,1.56672605352729e-05,15115
1824,1.61119604383332e-05,17823
1825,1.63430638378616e-05,18626
1826,1.60320370647631e-05,16233
1827,1.65332603419951e-05,17531
1828,1.75091918858275e-05,19670
1829,1.7468068287079e-05,20970
1830,1.65782087801095e-05,22553
1831,1.60674837681134e-05,20720
1832,1.55747064809475e-05,31522
1833,1.52914150411172e-05,22830
1834,1.52326031184202e-05,23335
1835,1.43751949346032e-05,24023
1836,1.43200486490969e-05,24706
1837,1.40249387722439e-05,24030
1838,1.42333672020608e-05,24176
1839,1.43271840248157e-05,27162
1840,1.46619570549384e-05,26942
1841,1.4417570956279e-05,26886
1842,1.42517074956621e-05,26768
1843,1.42309851623525e-05,26799
1844,1.39291576277044e-05,28332
1845,1.31802173005521e-05,30852
1846,1.29673946795655e-05,28146
1847,1.39090089987803e-05,29642
1848,1.45631028252475e-05,31056
1849,1.56273812308427e-05,34102
1850,1.61680246882107e-05,37968
1851,1.68378453833741e-05,43820
1852,1.77373641544623e-05,46975
1853,1.81953431105545e-05,54551
1854,1.75313100174078e-05,53738
1855,1.70674862342171e-05,48039
1856,1.67045363273896e-05,49259
1857,1.6658652433372e-05,46940
1858,1.61942540444215e-05,43897
1859,1.5807589209414e-05,45264
1860,1.56261624267375e-05,46196
1861,1.54734584612015e-05,38228
1862,1.53691432355377e-05,35900
1863,1.4631978696603e-05,34142
1864,1.45506263444466e-05,36656
1865,1.45955391254964e-05,37276
1866,1.45377152226242e-05,43341
1867,1.43330273333829e-05,43316
1868,1.40772763026169e-05,45302
1869,1.39848853807832e-05,44988
1870,1.3998296481077e-05,46106
1871,1.39625013519305e-05,44342
1872,1.39722446062608e-05,50236
1873,1.39894262604555e-05,47136
1874,1.38829409804332e-05,48693
1875,1.35761512183308e-05,47179
1876,1.34355214933229e-05,49016
1877,1.36192240591169e-05,48775
1878,1.320145153321e-05,46837
1879,1.31814685378881e-05,48942
1880,1.325852388488e-05,53986
1881,1.32058768258503e-05,51793
1882,1.32299489418334e-05,53929
1883,1.30649157037104e-05,56532
1884,1.26232222328326e-05,56912
1885,1.25307391596964e-05,55022
1886,1.22315120896539e-05,54195
1887,1.18371114175326e-05,55213
1888,1.16722812241018e-05,57237
1889,1.16345709427281e-05,60019
1890,1.16831156122186e-05,60168
1891,1.16734775506952e-05,61522
1892,1.15158442213215e-05,62613
1893,1.14832076373464e-05,64597
1894,1.13861062638015e-05,63278
1895,1.14018440301931e-05,72199
1896,1.14366037483446e-05,70558
1897,1.11939806239596e-05,72099
1898,1.10124097188548e-05,74011
1899,1.08600349579189e-05,79721
1900,1.05558148918915e-05,80838
1901,1.03854096583486e-05,81916
1902,1.01870741998157e-05,79573
1903,9.75158325543037e-06,76778
1904,9.55010461569015e-06,79282
1905,9.29158464454564e-06,76779
1906,9.09126887498652e-06,81147
1907,8.90038627078736e-06,79875
1908,8.6307703343534e-06,80543
1909,8.29886057220262e-06,76104
1910,8.14647624533141e-06,79122
1911,7.9203054253542e-06,82121
1912,7.72056882526938e-06,79712
1913,7.57973158930067e-06,78301
1914,7.52506118065607e-06,76603
1915,7.56592489129356e-06,74691
