"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,4.68542316056642e-10,0
1980,4.68542316056642e-10,0
1981,6.79398014037856e-10,0
1982,6.79398014037856e-10,0
1983,6.79398014037856e-10,0
1984,6.79398014037856e-10,0
1985,6.79398014037856e-10,0
1986,2.10855697981214e-10,0
1987,2.10855697981214e-10,0
1988,0,0
1989,2.62423463911635e-10,0
1990,7.6783508123108e-10,1
1991,8.87062804163666e-10,1
1992,1.00662750357472e-09,1
1993,1.23100172119298e-09,1
1994,1.34303768106747e-09,2
1995,1.34303768106747e-09,2
1996,1.08061421715584e-09,1
1997,7.06175047009745e-10,1
1998,6.50716560000676e-10,1
1999,5.8975227875838e-10,1
2000,6.27242226412607e-10,1
2001,5.63173293713756e-10,1
2002,5.63173293713756e-10,1
2003,6.54182604912076e-10,2
2004,5.63552664851435e-10,2
2005,6.02137339988928e-10,2
2006,6.04051550842247e-10,2
2007,3.99372844319044e-10,1
2008,3.97184051521242e-10,2
2009,7.48358442675163e-10,4
2010,1.07788426200501e-09,5
2011,1.53503948044761e-09,10
2012,1.73879797465177e-09,13
2013,2.08017951276927e-09,16
2014,2.49478580254576e-09,23
2015,3.0379264500827e-09,23
2016,3.15550988513483e-09,21
2017,3.19080388037444e-09,26
2018,3.13246784067189e-09,24
2019,3.37988809162582e-09,26
