"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,6.8546747643085e-11,1
1902,6.8546747643085e-11,1
1903,6.8546747643085e-11,1
1904,6.8546747643085e-11,1
1905,6.8546747643085e-11,1
1906,6.8546747643085e-11,1
1907,6.8546747643085e-11,1
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,4.2617239102784e-11,0
1920,8.90205488688979e-11,1
1921,8.90205488688979e-11,1
1922,1.13171844911315e-10,1
1923,1.13171844911315e-10,1
1924,1.13171844911315e-10,1
1925,1.13171844911315e-10,1
1926,9.34775709219135e-11,1
1927,4.70742611557995e-11,0
1928,4.70742611557995e-11,0
1929,2.29229651133827e-11,0
1930,2.29229651133827e-11,0
1931,2.29229651133827e-11,0
1932,2.29229651133827e-11,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,4.48848339448408e-11,0
1938,1.31893837121818e-10,1
1939,1.31893837121818e-10,1
1940,4.67206249878314e-10,3
1941,4.67206249878314e-10,3
1942,4.67206249878314e-10,3
1943,4.67206249878314e-10,3
1944,4.22321415933473e-10,2
1945,5.23006614207487e-10,3
1946,6.22295239148331e-10,4
1947,2.86982826391835e-10,2
1948,4.40882822313629e-10,3
1949,4.57888986647527e-10,4
1950,1.18544780935981e-09,10
1951,1.23509510357207e-09,10
1952,1.06308485030888e-09,9
1953,9.79485461984263e-10,8
1954,1.1536769277993e-09,10
1955,1.01427118291499e-09,9
1956,1.05113704446896e-09,10
1957,3.49065671209229e-10,3
1958,3.11320184909203e-10,3
1959,2.956362367214e-10,3
1960,4.07001331446745e-10,5
1961,2.44065434529261e-10,3
1962,3.11185232344207e-10,4
1963,4.0587105898382e-10,5
1964,5.33269880634687e-10,7
1965,7.24114947566904e-10,10
1966,1.29566457662029e-09,19
1967,2.38033130210504e-09,38
1968,2.52849348205052e-09,41
1969,2.63539403197058e-09,43
1970,2.66222635801418e-09,43
1971,2.65255447567154e-09,43
1972,2.63241194120578e-09,42
1973,2.54785401506855e-09,41
1974,1.51537803733908e-09,24
1975,1.59924528035054e-09,26
1976,1.83666154755196e-09,32
1977,1.88601087772982e-09,33
1978,2.23239220908547e-09,39
1979,2.27736349371819e-09,40
1980,2.13519218526208e-09,38
1981,2.16195166977129e-09,38
1982,2.34112189753269e-09,41
1983,2.35193891148392e-09,43
1984,2.95046588153333e-09,55
1985,3.25661842235211e-09,63
1986,3.8235266411335e-09,73
1987,4.30795223600931e-09,83
1988,5.05155077490382e-09,99
1989,5.6335492501106e-09,116
1990,6.08224377212403e-09,129
1991,6.49399978236431e-09,133
1992,8.91123629649065e-09,191
1993,1.35017286398817e-08,289
1994,1.55663753841271e-08,337
1995,1.63987819880902e-08,367
1996,1.76189482537345e-08,389
1997,1.86375916574888e-08,408
1998,1.92052389120869e-08,428
1999,1.85032160357479e-08,418
2000,1.40684543191637e-08,348
2001,1.21126466257853e-08,298
2002,1.12057112101287e-08,294
2003,9.70323046316819e-09,266
2004,8.28865963364844e-09,233
2005,6.88347737044197e-09,182
2006,4.58352492617244e-09,126
2007,4.02511323032072e-09,113
2008,3.45740376060864e-09,99
2009,2.8478449464702e-09,79
2010,2.73569627566385e-09,72
2011,2.78469936494861e-09,75
2012,2.72896278194093e-09,94
2013,4.12326010388558e-09,143
2014,4.51601550946479e-09,138
2015,5.3295263088639e-09,142
2016,5.43326145830255e-09,144
2017,5.62714940153623e-09,154
2018,5.99865399020238e-09,157
2019,6.90025341726352e-09,157
