"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,1.88986375755056e-09,0
1878,1.88986375755056e-09,0
1879,1.88986375755056e-09,0
1880,1.88986375755056e-09,0
1881,1.88986375755056e-09,0
1882,1.88986375755056e-09,0
1883,1.88986375755056e-09,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,3.9463107067864e-09,1
1899,3.9463107067864e-09,2
1900,3.9463107067864e-09,2
1901,3.9463107067864e-09,2
1902,3.9463107067864e-09,1
1903,3.9463107067864e-09,1
1904,3.9463107067864e-09,1
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,1.67142223870899e-09,0
1914,1.67142223870899e-09,0
1915,1.67142223870899e-09,1
1916,1.67142223870899e-09,0
1917,1.67142223870899e-09,1
1918,1.67142223870899e-09,0
1919,1.67142223870899e-09,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,7.88910397326552e-10,0
1936,7.88910397326552e-10,0
1937,7.88910397326552e-10,0
1938,7.88910397326552e-10,0
1939,7.88910397326552e-10,0
1940,7.88910397326552e-10,0
1941,7.88910397326552e-10,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,1.03611157748722e-09,0
1955,1.55315100463278e-09,0
1956,2.03666163299334e-09,1
1957,2.03666163299334e-09,1
1958,2.03666163299334e-09,1
1959,2.03666163299334e-09,1
1960,2.03666163299334e-09,1
1961,1.00055005550611e-09,0
1962,4.83510628360559e-10,0
1963,0,0
1964,3.27331114594439e-10,0
1965,3.27331114594439e-10,0
1966,4.131725628298e-09,2
1967,4.131725628298e-09,2
1968,4.48412243844335e-09,2
1969,4.48412243844335e-09,2
1970,4.48412243844335e-09,2
1971,4.15679132384891e-09,2
1972,5.59302366325604e-09,2
1973,1.78862914955248e-09,1
1974,1.78862914955248e-09,1
1975,1.43623233940713e-09,1
1976,2.00489155436198e-09,1
1977,2.26984837275219e-09,1
1978,2.26984837275219e-09,1
1979,8.33616033345054e-10,0
1980,8.33616033345054e-10,0
1981,1.25532742930748e-09,1
1982,1.84421132333666e-09,1
1983,1.27555210838182e-09,1
1984,1.34216720277485e-09,1
1985,1.34216720277485e-09,1
1986,1.0785248694134e-08,9
1987,1.09212046866298e-08,9
1988,1.31797384910521e-08,12
1989,1.25908545970229e-08,12
1990,1.27172075013528e-08,13
1991,1.23856355885695e-08,13
1992,1.23856355885695e-08,13
1993,3.16692831482866e-09,4
1994,3.92725999339863e-09,5
1995,6.60784961668627e-09,8
1996,7.63831018276865e-09,10
1997,1.03933511003922e-08,13
1998,1.04571203363157e-08,14
1999,1.05157207544845e-08,16
2000,1.03437193691277e-08,22
2001,9.54336575241323e-09,21
2002,4.38538457531961e-09,11
2003,3.35492400923723e-09,9
2004,6.34900215734646e-10,2
2005,6.05248950164799e-10,2
2006,6.37420477511697e-10,2
2007,1.49100047705123e-08,53
2008,1.64163089312806e-08,68
2009,1.7377875579015e-08,82
2010,1.83286506567309e-08,91
2011,1.88046995713049e-08,117
2012,1.90192979341943e-08,146
2013,1.89285259886786e-08,147
2014,4.70841147420004e-09,43
2015,3.4190364071675e-09,25
2016,2.49837017740617e-09,17
2017,1.80552761630537e-09,15
2018,1.27424661933162e-09,10
2019,1.15755469098922e-09,9
