"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,1.71347555192166e-10,0
1818,1.71347555192166e-10,0
1819,1.71347555192166e-10,0
1820,1.71347555192166e-10,0
1821,1.71347555192166e-10,0
1822,1.71347555192166e-10,0
1823,1.71347555192166e-10,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,1.10329309180709e-10,0
1829,1.10329309180709e-10,0
1830,1.10329309180709e-10,0
1831,3.89013289834951e-10,1
1832,3.89013289834951e-10,1
1833,3.89013289834951e-10,1
1834,3.89013289834951e-10,1
1835,2.78683980654242e-10,0
1836,2.78683980654242e-10,0
1837,2.78683980654242e-10,0
1838,0,0
1839,0,0
1840,0,0
1841,6.9977617351518e-10,1
1842,6.9977617351518e-10,1
1843,3.12603362243432e-09,6
1844,3.66029647861207e-09,7
1845,3.66029647861207e-09,9
1846,3.79073747788386e-09,8
1847,3.79073747788386e-09,8
1848,3.09096130436868e-09,7
1849,3.14470084496397e-09,7
1850,7.18443396044829e-10,2
1851,1.84180539867082e-10,0
1852,1.84180539867082e-10,0
1853,1.01998881563148e-10,0
1854,1.01998881563148e-10,0
1855,1.01998881563148e-10,0
1856,9.42837847477713e-10,3
1857,9.42837847477713e-10,3
1858,9.42837847477713e-10,3
1859,9.42837847477713e-10,3
1860,1.26054979153269e-09,4
1861,1.31703647591027e-09,3
1862,1.48419128971027e-09,3
1863,1.35341881749415e-09,3
1864,1.35341881749415e-09,3
1865,1.35341881749415e-09,3
1866,1.39765843739806e-09,4
1867,1.07489960583201e-09,3
1868,1.10803630953044e-09,4
1869,9.80467381886793e-10,3
1870,2.58897807953978e-10,1
1871,1.27329938656321e-09,4
1872,2.09233365157578e-09,8
1873,2.3211553076433e-09,8
1874,2.63560928637219e-09,9
1875,3.30817138762183e-09,11
1876,3.46024542352552e-09,13
1877,4.32675245631842e-09,15
1878,4.36462631116439e-09,15
1879,3.99947163086191e-09,15
1880,4.28548397363964e-09,17
1881,4.81165421593678e-09,19
1882,4.14669746357748e-09,17
1883,4.17989593929199e-09,18
1884,3.94239239864813e-09,18
1885,3.03523334442359e-09,13
1886,3.24348055754812e-09,14
1887,2.90547868700816e-09,14
1888,2.04864485494774e-09,10
1889,2.52717583367915e-09,13
1890,2.93470970144253e-09,15
1891,3.5181172062883e-09,19
1892,3.53030190398356e-09,19
1893,3.69839528446825e-09,21
1894,3.65405771910307e-09,20
1895,3.73291091490139e-09,24
1896,3.5059988801045e-09,22
1897,1.57287207821647e-08,101
1898,1.47266076773654e-08,99
1899,1.53160767382302e-08,112
1900,1.49014804602863e-08,114
1901,1.49475232013347e-08,118
1902,1.51860329688264e-08,119
1903,1.52994204745603e-08,120
1904,2.60284371238801e-09,22
