"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,4.36872918793288e-10,0
1895,4.36872918793288e-10,0
1896,4.36872918793288e-10,0
1897,4.36872918793288e-10,0
1898,4.36872918793288e-10,0
1899,4.36872918793288e-10,0
1900,4.36872918793288e-10,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,5.90396239833321e-10,0
1946,1.20138921033686e-09,0
1947,1.20138921033686e-09,0
1948,1.20138921033686e-09,0
1949,1.20138921033686e-09,0
1950,1.20138921033686e-09,0
1951,1.20138921033686e-09,0
1952,6.10992970503535e-10,0
1953,0,0
1954,1.55416736623083e-09,0
1955,1.55416736623083e-09,0
1956,1.55416736623083e-09,0
1957,1.55416736623083e-09,0
1958,1.55416736623083e-09,0
1959,1.55416736623083e-09,0
1960,1.55416736623083e-09,0
1961,0,0
1962,0,0
1963,0,0
1964,9.81993343783318e-10,0
1965,9.81993343783318e-10,0
1966,1.29902621992528e-09,0
1967,1.60484225908419e-09,1
1968,2.30963587937489e-09,1
1969,3.03757314539561e-09,1
1970,3.03757314539561e-09,1
1971,2.05557980161229e-09,1
1972,2.05557980161229e-09,1
1973,2.64288200847927e-09,1
1974,2.64780911482124e-09,1
1975,2.24044389390039e-09,1
1976,1.51250662787967e-09,1
1977,4.69198844856221e-09,2
1978,4.69198844856221e-09,2
1979,4.69198844856221e-09,2
1980,3.78765336555326e-09,2
1981,4.53118872581878e-09,3
1982,4.430054957792e-09,3
1983,5.14484361462715e-09,3
1984,3.12586352040662e-09,2
1985,3.93290152825695e-09,3
1986,4.23268188752348e-09,3
1987,5.32032982748985e-09,5
1988,5.20413712123968e-09,5
1989,6.58238324164578e-09,6
1990,7.63653527714934e-09,8
1991,7.42985533414802e-09,8
1992,9.25324069748054e-09,10
1993,1.0411892721012e-08,12
1994,1.25732875856853e-08,15
1995,1.6996036927048e-08,20
1996,1.7669773802861e-08,22
1997,1.68831264722526e-08,21
1998,2.10308433406287e-08,28
1999,2.06858363811196e-08,31
2000,2.14270629612339e-08,46
2001,2.0624338542552e-08,46
2002,1.77484604989088e-08,43
2003,1.74113783906511e-08,47
2004,1.94144306504234e-08,58
2005,1.55752569096025e-08,44
2006,1.48934781808917e-08,46
2007,1.42950121184704e-08,50
2008,1.42749402060843e-08,59
2009,1.38230979282053e-08,65
2010,1.37037477793938e-08,68
2011,1.20709740695065e-08,75
2012,1.20904548277829e-08,93
2013,1.20732493685034e-08,94
2014,1.16253251866308e-08,106
2015,1.04321275903477e-08,78
2016,1.0030289955752e-08,67
2017,9.61151868280237e-09,78
2018,9.64022174310131e-09,74
2019,9.80704725761505e-09,74
