"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,2.90232758461327e-11,0
1886,1.66966361371733e-10,1
1887,4.70940017141938e-10,2
1888,5.24945701986722e-10,3
1889,1.44092707210497e-09,7
1890,1.5421098326878e-09,8
1891,1.90058052232775e-09,10
1892,2.20863098048569e-09,12
1893,2.5319213273597e-09,14
1894,3.02325146266697e-09,17
1895,3.03275940075462e-09,19
1896,2.23306058564989e-09,14
1897,2.15045458028053e-09,14
1898,1.79198389064058e-09,12
1899,1.4549101566365e-09,11
1900,9.93676724236892e-10,8
1901,5.75380053126549e-10,5
1902,5.46303010765367e-10,4
1903,7.48803360587199e-10,6
1904,7.46080345321547e-10,6
1905,8.52808384426457e-10,7
1906,1.02347323176012e-09,9
1907,1.08207392748464e-09,10
1908,8.56035816636831e-10,8
1909,9.18066292630661e-10,8
1910,7.92117842548671e-10,8
1911,1.09775652655321e-09,11
1912,1.2360683201191e-09,13
1913,1.23697849681502e-09,13
1914,1.19299429065681e-09,12
1915,1.28110611999751e-09,13
1916,1.47062445752878e-09,15
1917,1.40348161465591e-09,14
1918,1.29769278061393e-09,12
1919,1.20891615666498e-09,11
1920,1.17655106193374e-09,12
1921,1.33060422204321e-09,13
1922,1.52624670045144e-09,15
1923,1.38758197590746e-09,9
1924,2.65391749251379e-09,13
1925,2.66826565406156e-09,16
1926,2.62661727090663e-09,15
1927,2.60109923877483e-09,15
1928,2.54647701139873e-09,16
1929,3.17375715589271e-09,20
1930,3.35316519193908e-09,21
1931,2.48579826762312e-09,16
1932,3.57976829726666e-09,20
1933,3.78949370890716e-09,20
1934,5.06880996501266e-09,27
1935,5.11031887243504e-09,31
1936,4.32050202955495e-09,27
1937,5.74428188745582e-09,36
1938,5.32838293725619e-09,34
1939,4.17861933546934e-09,28
1940,4.26697130803281e-09,27
1941,3.70132024236318e-09,24
1942,4.01901677810861e-09,23
1943,4.11153671426539e-09,23
1944,2.66456931122657e-09,14
1945,3.60689563534094e-09,21
1946,4.34278316086001e-09,29
1947,5.96659904023816e-09,45
1948,5.51544194442905e-09,42
1949,5.21225072626562e-09,45
1950,5.06750382529247e-09,44
1951,5.42592658303587e-09,45
1952,4.57873033733934e-09,38
1953,4.57856035525537e-09,39
1954,3.5146212438402e-09,30
1955,3.63122578732135e-09,33
1956,3.74399227394605e-09,34
1957,3.82988199785058e-09,38
1958,4.13196448980794e-09,41
1959,4.59441554543202e-09,49
1960,4.06560282265441e-09,45
1961,3.62204557220152e-09,43
1962,3.32307441088174e-09,42
1963,4.40697846469464e-09,59
1964,5.14435302293289e-09,65
1965,5.11470525258303e-09,71
1966,5.12542937060521e-09,74
1967,6.91121270728663e-09,109
1968,7.81696070373261e-09,126
1969,9.22998987756036e-09,149
1970,8.94190731975148e-09,144
1971,8.93698770741493e-09,144
1972,9.26342861148502e-09,147
1973,9.05684563853474e-09,147
1974,7.77797718692114e-09,124
1975,7.11361991137923e-09,116
1976,6.10948971968561e-09,105
1977,5.98598298310168e-09,105
1978,5.43727437082467e-09,95
1979,4.97294951844791e-09,88
1980,5.25480138767266e-09,93
1981,5.44252511709103e-09,95
1982,5.4577411280819e-09,96
1983,5.95798221473106e-09,108
1984,6.48765923919445e-09,121
1985,7.06870661012652e-09,136
1986,7.42592059470899e-09,143
1987,8.20501529417785e-09,159
1988,8.75809491596158e-09,172
1989,9.10331841257645e-09,187
1990,9.13211350190528e-09,194
1991,9.05968630274653e-09,186
1992,1.01586032998289e-08,217
1993,1.08986341578505e-08,233
1994,1.15912744442464e-08,251
1995,1.20509852374884e-08,270
1996,1.39514243332631e-08,308
1997,1.59547819678085e-08,349
1998,1.76566166965042e-08,393
1999,1.90013185622348e-08,429
2000,2.14276597338652e-08,530
2001,2.29407174447336e-08,565
2002,2.37994615205826e-08,624
2003,2.45181461720558e-08,672
2004,2.46834610053069e-08,692
2005,2.45603267406176e-08,651
2006,2.44067765204597e-08,673
2007,2.27434206229964e-08,641
2008,2.29957665449325e-08,658
2009,2.38361747799993e-08,658
2010,2.43520490280805e-08,645
2011,2.44591275328736e-08,657
2012,2.5168555604717e-08,862
2013,2.55482086597425e-08,887
2014,2.55205131154718e-08,781
2015,2.45450616339785e-08,653
2016,2.41807087607095e-08,642
2017,2.32340136111879e-08,636
2018,2.31102890269064e-08,605
2019,2.24119490882524e-08,509
