"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,7.85800123383394e-10,0
1963,7.85800123383394e-10,0
1964,7.85800123383394e-10,0
1965,7.85800123383394e-10,0
1966,7.85800123383394e-10,0
1967,7.85800123383394e-10,0
1968,7.85800123383394e-10,0
1969,0,0
1970,7.27334383197688e-10,0
1971,7.27334383197688e-10,0
1972,7.27334383197688e-10,0
1973,1.02877941086734e-09,0
1974,1.02877941086734e-09,0
1975,1.02877941086734e-09,0
1976,1.02877941086734e-09,0
1977,3.01445027669648e-10,0
1978,3.01445027669648e-10,0
1979,3.01445027669648e-10,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,2.71911984991594e-10,0
1988,2.71911984991594e-10,0
1989,2.71911984991594e-10,0
1990,2.71911984991594e-10,0
1991,2.71911984991594e-10,0
1992,2.71911984991594e-10,0
1993,3.84099093800724e-10,0
1994,1.1218710880913e-10,0
1995,1.1218710880913e-10,0
1996,2.05865340647498e-10,0
1997,4.02324015372609e-10,1
1998,4.02324015372609e-10,1
1999,1.63293277312602e-09,2
2000,1.52074566431689e-09,3
2001,1.52074566431689e-09,3
2002,1.62217248364119e-09,4
2003,2.21106406199973e-09,6
2004,2.61974297810497e-09,8
2005,2.65386094845864e-09,7
2006,1.45350950521626e-09,5
2007,1.51069496396555e-09,5
2008,1.78536436230241e-09,7
2009,1.68393754297812e-09,8
2010,1.38533459108953e-09,7
2011,7.80197000259188e-10,5
2012,1.01392737658238e-09,8
2013,1.08943220714483e-09,9
2014,1.08466805378729e-09,10
2015,9.20420945809448e-10,7
2016,1.05167313746435e-09,7
2017,7.78990659015359e-10,6
2018,9.3478879081843e-10,7
2019,6.99751381838531e-10,5
