"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,6.09952128487785e-11,0
1861,6.09952128487785e-11,0
1862,6.09952128487785e-11,0
1863,6.09952128487785e-11,0
1864,6.09952128487785e-11,0
1865,6.09952128487785e-11,0
1866,6.09952128487785e-11,0
1867,0,0
1868,0,0
1869,3.95858861563474e-11,0
1870,3.95858861563474e-11,0
1871,3.95858861563474e-11,0
1872,3.95858861563474e-11,0
1873,3.95858861563474e-11,0
1874,3.95858861563474e-11,0
1875,3.95858861563474e-11,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,2.20917728555037e-11,0
1895,2.20917728555037e-11,0
1896,2.20917728555037e-11,0
1897,2.20917728555037e-11,0
1898,2.20917728555037e-11,0
1899,2.20917728555037e-11,0
1900,2.20917728555037e-11,0
1901,0,0
1902,0,0
1903,0,0
1904,3.1707479895639e-11,0
1905,4.69543422000816e-11,0
1906,4.69543422000816e-11,0
1907,4.69543422000816e-11,0
1908,6.06787973042192e-11,1
1909,1.43364845788569e-10,1
1910,1.43364845788569e-10,1
1911,1.25635297800107e-10,1
1912,1.10388435495664e-10,1
1913,1.10388435495664e-10,1
1914,1.10388435495664e-10,1
1915,9.66639803915267e-11,1
1916,1.39779319071768e-11,0
1917,1.39779319071768e-11,0
1918,2.87604781260394e-11,0
1919,2.87604781260394e-11,0
1920,2.87604781260394e-11,0
1921,2.87604781260394e-11,0
1922,2.87604781260394e-11,0
1923,2.87604781260394e-11,0
1924,1.02025063001118e-10,1
1925,7.32645848750784e-11,0
1926,7.32645848750784e-11,0
1927,7.32645848750784e-11,0
1928,7.32645848750784e-11,0
1929,7.32645848750784e-11,0
1930,7.32645848750784e-11,0
1931,2.62330102085429e-10,2
1932,2.62330102085429e-10,1
1933,2.62330102085429e-10,1
1934,2.62330102085429e-10,1
1935,2.62330102085429e-10,2
1936,2.62330102085429e-10,2
1937,2.62330102085429e-10,2
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,2.49080458639536e-11,0
1943,2.49080458639536e-11,0
1944,2.49080458639536e-11,0
1945,2.49080458639536e-11,0
1946,4.14561500207609e-11,0
1947,1.07684052151415e-10,1
1948,3.29984051988014e-10,3
1949,3.05076006124061e-10,3
1950,3.05076006124061e-10,3
1951,3.38174202926414e-10,3
1952,3.53858151114217e-10,3
1953,3.3731004695741e-10,3
1954,2.71082144826756e-10,2
1955,9.22648981026088e-11,1
1956,1.46136923990474e-10,1
1957,3.11805339484447e-10,3
1958,4.21528836637629e-10,4
1959,4.62314584432593e-10,5
1960,4.83490306322855e-10,5
1961,5.1725701301551e-10,6
1962,5.75791820968595e-10,7
1963,8.88362484764902e-10,12
1964,7.40680689400744e-10,9
1965,7.47715380682618e-10,10
1966,7.61590256137534e-10,11
1967,8.99618755482009e-10,14
1968,1.05183941715278e-09,17
1969,1.27298972950131e-09,21
1970,1.15209328981664e-09,19
1971,1.28627195799298e-09,21
1972,1.65814226634911e-09,26
1973,2.11605989873322e-09,34
1974,3.9448465288012e-09,63
1975,3.91293965483287e-09,64
1976,4.34519634559142e-09,75
1977,4.39662730032455e-09,77
1978,4.44030029808243e-09,78
1979,4.47125728109121e-09,79
1980,4.04487382873623e-09,72
1981,2.17895975469189e-09,38
1982,2.12122869269749e-09,37
1983,1.58047681291557e-09,29
1984,1.60692571947253e-09,30
1985,1.54853485589967e-09,30
1986,1.40345591497543e-09,27
1987,1.38851423910267e-09,27
1988,1.4119970619318e-09,28
1989,1.64824819566732e-09,34
1990,1.69987398264602e-09,36
1991,1.64578787403835e-09,34
1992,1.83918246406321e-09,39
1993,1.95976914755893e-09,42
1994,2.2825292410124e-09,49
1995,2.61600450032365e-09,59
1996,2.95142014796111e-09,65
1997,3.84137921075453e-09,84
1998,4.6755966122612e-09,104
1999,5.30466876377414e-09,120
2000,5.2230262218408e-09,129
2001,5.40153372823633e-09,133
2002,5.29829763395995e-09,139
2003,5.00166731048119e-09,137
2004,6.35858974204087e-09,178
2005,7.38655892800517e-09,196
2006,6.55016249573315e-09,181
2007,7.04286680165898e-09,198
2008,7.30652591207637e-09,209
2009,7.62770530468185e-09,211
2010,7.98093904852415e-09,211
2011,5.9691379577271e-09,160
2012,4.54247259251694e-09,156
2013,5.37143692223653e-09,187
2014,4.87901819739329e-09,149
2015,4.803740413387e-09,128
2016,4.55111469938834e-09,121
2017,4.46424424279298e-09,122
2018,4.65516266645594e-09,122
2019,4.58544618942014e-09,104
