"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,1.34983988272655e-11,0
1920,1.34983988272655e-11,0
1921,1.34983988272655e-11,0
1922,1.34983988272655e-11,0
1923,1.34983988272655e-11,0
1924,1.34983988272655e-11,0
1925,1.34983988272655e-11,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,2.13146821621229e-11,0
1938,2.13146821621229e-11,0
1939,2.13146821621229e-11,0
1940,2.13146821621229e-11,0
1941,2.13146821621229e-11,0
1942,2.13146821621229e-11,0
1943,2.13146821621229e-11,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,2.1496047005901e-11,0
1960,5.17122099110066e-11,1
1961,7.3124823656607e-11,1
1962,1.02242600298817e-10,1
1963,1.30519207544985e-10,2
1964,1.5620304752043e-10,2
1965,2.65254014189928e-10,4
1966,4.53035377069787e-10,6
1967,5.74341033066084e-10,9
1968,6.45675265238082e-10,10
1969,8.4730998507159e-10,14
1970,9.85951044022279e-10,16
1971,1.10513211379734e-09,18
1972,1.13682264742716e-09,18
1973,1.249699761333e-09,20
1974,1.2997809366509e-09,21
1975,1.36896620527611e-09,22
1976,1.48220190188913e-09,25
1977,1.56727497547487e-09,27
1978,1.55436012572967e-09,27
1979,1.63780136922769e-09,29
1980,1.86728735648448e-09,33
1981,2.66722601346573e-09,46
1982,2.82248567771783e-09,49
1983,2.76712149820708e-09,50
1984,2.92765089254798e-09,54
1985,3.6491333060432e-09,70
1986,3.95057399591289e-09,76
1987,3.82521005049779e-09,74
1988,3.02809055905248e-09,59
1989,3.14765576302025e-09,65
1990,3.07443270048629e-09,65
1991,2.8245049131911e-09,58
1992,2.29205273758708e-09,49
1993,2.0913849134639e-09,45
1994,1.85087086431089e-09,40
1995,1.88372806490216e-09,42
1996,1.72907691686367e-09,38
1997,1.83133085729767e-09,40
1998,1.91076458623739e-09,42
1999,1.84791788220602e-09,42
2000,1.7355863477548e-09,43
2001,1.8396425023207e-09,45
2002,1.7967239987482e-09,47
2003,1.82917752274335e-09,50
2004,1.69904660578852e-09,47
2005,1.5706216823151e-09,41
2006,1.56241657112144e-09,43
2007,1.47751641477178e-09,41
2008,1.32857956828507e-09,38
2009,1.44207716849214e-09,40
2010,1.56793289710871e-09,41
2011,1.68907192052425e-09,45
2012,2.35195567238214e-09,80
2013,2.21911362351311e-09,77
2014,2.1852384445615e-09,67
2015,2.13217687900343e-09,56
2016,1.9670983805136e-09,52
2017,1.78113050870732e-09,48
2018,1.70522841333454e-09,44
2019,7.72686934401301e-10,17
