"Year","Freq","Count"
1800,3.99245259075087e-08,0
1801,3.1939620726007e-08,0
1802,2.66163506050058e-08,0
1803,3.55586879306559e-08,0
1804,1.27446731263652e-08,0
1805,5.99001097612017e-08,0
1806,5.99001097612017e-08,1
1807,9.13024830343342e-08,1
1808,1.1573073318719e-07,1
1809,1.1573073318719e-07,1
1810,1.17588171073229e-07,3
1811,1.17588171073229e-07,1
1812,9.57695515272202e-08,3
1813,9.57695515272202e-08,2
1814,1.29417828580764e-07,2
1815,1.48382910530082e-07,2
1816,1.73547213933034e-07,2
1817,2.12190386150723e-07,3
1818,2.22349982997067e-07,5
1819,2.23262766496646e-07,5
1820,2.62476499455845e-07,8
1821,2.38669200720259e-07,6
1822,2.30549248263807e-07,10
1823,2.59616562914289e-07,8
1824,2.33355240400864e-07,12
1825,2.5224479064231e-07,10
1826,2.46088587476022e-07,9
1827,2.33267387881954e-07,8
1828,2.27672602802288e-07,9
1829,2.14689078705175e-07,9
1830,2.46741174286009e-07,11
1831,2.68823015403541e-07,11
1832,2.79649498224899e-07,15
1833,2.9377171780912e-07,18
1834,3.09692073382653e-07,18
1835,3.69406186402037e-07,24
1836,4.09167938641986e-07,29
1837,3.55641716964783e-07,25
1838,3.49222515540402e-07,20
1839,3.7110418661866e-07,28
1840,3.77860733432759e-07,31
1841,3.41763172936485e-07,31
1842,3.05974353409511e-07,30
1843,2.82987118436852e-07,21
1844,3.05478140814687e-07,27
1845,3.13511220286143e-07,33
1846,2.95089571571745e-07,26
1847,2.92242743528602e-07,26
1848,3.2330465517459e-07,28
1849,3.08514610683882e-07,25
1850,3.14329095577445e-07,30
1851,2.89685234276606e-07,21
1852,2.76476386927373e-07,27
1853,2.69824712160828e-07,24
1854,2.9932173666631e-07,28
1855,3.08851645464918e-07,28
1856,3.06167409900939e-07,34
1857,3.17018875404886e-07,33
1858,3.21301066768293e-07,28
1859,3.37221839531919e-07,34
1860,3.50793862529437e-07,38
1861,3.20383313783574e-07,25
1862,3.19789819767737e-07,24
1863,3.1334100292213e-07,26
1864,3.00065547266724e-07,30
1865,2.91649379694344e-07,33
1866,2.82292459630185e-07,38
1867,2.72686694304168e-07,39
1868,2.6592171207897e-07,42
1869,2.5841633036602e-07,33
1870,2.44488897317906e-07,35
1871,2.72868522317132e-07,41
1872,3.12735305969219e-07,38
1873,3.01147536495096e-07,37
1874,2.97541621436486e-07,35
1875,3.19762793894134e-07,44
1876,3.22486901056201e-07,43
1877,3.36812895795902e-07,43
1878,2.92731792837588e-07,33
1879,2.6110114552986e-07,34
1880,2.74934438263382e-07,41
1881,2.85566155230502e-07,49
1882,2.52634058561796e-07,34
1883,2.52606489503648e-07,53
1884,2.48388581956606e-07,41
1885,2.54110872915143e-07,45
1886,2.62963200040442e-07,44
1887,2.38603076598208e-07,44
1888,2.58297839244343e-07,50
1889,2.95456356523362e-07,59
1890,2.80141072752014e-07,62
1891,2.87294398810494e-07,65
1892,2.73989295251909e-07,71
1893,2.69167312692632e-07,74
1894,2.79207563735895e-07,68
1895,2.46985591597796e-07,83
1896,2.32347263460854e-07,77
1897,2.41558496189802e-07,78
1898,2.45748500977377e-07,80
