"Year","Freq","Count"
1800,3.8822609677025e-07,97
1801,4.69805923719591e-07,115
1802,4.48060962332519e-07,105
1803,4.55401421842591e-07,156
1804,5.14707606694539e-07,157
1805,4.86904998383711e-07,158
1806,4.84370682578878e-07,195
1807,5.12753959418839e-07,238
1808,4.38340802639508e-07,239
1809,4.22361038809882e-07,231
1810,3.96744103379833e-07,269
1811,3.53807106818443e-07,213
1812,3.67198779700167e-07,288
1813,3.5790426425716e-07,233
1814,3.0991794711507e-07,187
1815,3.2381943723284e-07,192
1816,3.72112119530397e-07,272
1817,3.81841433488057e-07,259
1818,4.35425813341947e-07,319
1819,4.70033033161954e-07,350
1820,4.78377288543846e-07,395
1821,5.1551526289043e-07,407
1822,5.27184058645475e-07,496
1823,5.21146121717259e-07,500
1824,5.10763040941141e-07,562
1825,4.64033033014439e-07,526
1826,4.46173388457538e-07,450
1827,4.47743120072072e-07,473
1828,4.58712558905537e-07,513
1829,4.50783352312634e-07,539
1830,4.36539931250987e-07,591
1831,4.59168420222486e-07,590
1832,4.59553305869648e-07,926
1833,4.71421948065677e-07,701
1834,4.7479094720883e-07,725
1835,4.67864209684001e-07,779
1836,4.85264930944711e-07,834
1837,4.85734676647365e-07,829
1838,4.90722773265657e-07,830
1839,5.39240903160313e-07,1018
1840,5.44357700495355e-07,996
1841,5.58806975668537e-07,1038
1842,5.48889673300325e-07,1027
1843,5.36206437283328e-07,1006
1844,5.50503610950516e-07,1116
1845,5.45632872217539e-07,1273
1846,5.15032599552561e-07,1114
1847,5.07423182646453e-07,1077
1848,5.07481746022823e-07,1078
1849,5.11203584384136e-07,1111
1850,5.1875199593075e-07,1214
1851,5.06680473196955e-07,1314
1852,5.21595325102066e-07,1376
1853,5.0996340524618e-07,1523
1854,5.1843893468319e-07,1583
1855,5.19514514657482e-07,1457
1856,5.21149996217187e-07,1531
1857,5.20002473124765e-07,1460
1858,5.28946605614961e-07,1428
1859,5.21939618771037e-07,1489
1860,5.29788405328231e-07,1560
1861,5.22424761554127e-07,1286
1862,5.14632846912841e-07,1198
1863,5.06813169086946e-07,1178
1864,5.19857882459927e-07,1305
1865,5.41261533525723e-07,1377
1866,5.40239373740338e-07,1605
1867,5.51383650289537e-07,1660
1868,5.48314996069919e-07,1758
1869,5.59910146310675e-07,1794
1870,5.90390750922408e-07,1937
1871,5.97765677496603e-07,1891
1872,5.93027963085342e-07,2124
1873,6.03334663911476e-07,2025
1874,5.99712278345369e-07,2095
1875,6.21133306693318e-07,2150
1876,6.27660690850312e-07,2281
1877,6.13916812560892e-07,2190
1878,6.19124679175036e-07,2188
1879,6.10668755404323e-07,2259
1880,6.24821712813528e-07,2534
1881,6.40871982815483e-07,2504
1882,6.56248014818672e-07,2665
1883,6.57158607626178e-07,2832
1884,6.66500634333949e-07,2993
1885,6.73352451257309e-07,2945
1886,7.16050960874221e-07,3161
1887,7.3766404432415e-07,3428
1888,7.54103874710056e-07,3684
1889,7.99699947659097e-07,4110
1890,8.13809266768979e-07,4175
1891,8.27042871711013e-07,4342
1892,8.39414878431707e-07,4546
1893,8.43608093857386e-07,4727
1894,8.35694691733327e-07,4626
1895,8.27934971501877e-07,5222
1896,7.8693791901888e-07,4835
1897,8.03712135447451e-07,5156
1898,7.83629477371254e-07,5245
1899,7.76131353788908e-07,5674
1900,7.45201648896402e-07,5683
1901,7.38122288496917e-07,5798
1902,7.52018110386895e-07,5850
1903,7.47636806686103e-07,5862
1904,7.48775030169822e-07,6190
1905,7.73349984812504e-07,6364
1906,7.83817386361209e-07,6967
1907,7.93858884787621e-07,7095
1908,8.09656920682958e-07,7525
1909,8.08522026091956e-07,7384
1910,8.15009252467088e-07,7884
1911,8.13040825775602e-07,8397
1912,8.17474411972187e-07,8406
1913,8.09603231946962e-07,8330
1914,8.01311268513619e-07,8125
1915,7.7512028516326e-07,7622
1916,7.53327613622901e-07,7468
1917,7.41235849588406e-07,7188
1918,7.23193238627573e-07,6432
1919,7.27701666290516e-07,6853
1920,7.38738089113765e-07,7497
1921,7.62211382010491e-07,7514
1922,7.99389144847039e-07,7978
1923,8.29173292566614e-07,5063
1924,8.67241307085058e-07,4370
1925,9.65190713131392e-07,5661
1926,9.62206901584344e-07,5552
1927,9.80694388934873e-07,5688
1928,1.01092920269861e-06,6226
1929,1.01466020449184e-06,6271
1930,1.03380340833935e-06,6441
1931,1.031584365612e-06,6407
1932,1.02320536170859e-06,5733
1933,1.02583042809507e-06,5337
1934,1.02934123878486e-06,5559
1935,1.01364639221962e-06,6074
1936,9.95073038063359e-07,6085
1937,9.82931610644349e-07,6198
1938,9.63146713875826e-07,6140
1939,8.98627197289313e-07,6081
1940,8.9024974262283e-07,5621
1941,8.51114395215648e-07,5545
1942,8.24775406320961e-07,4695
1943,8.14848623623529e-07,4477
1944,7.99120695203572e-07,4107
1945,8.08620735323221e-07,4602
1946,8.25461077269551e-07,5453
1947,8.34330369617728e-07,6233
1948,8.52571536924529e-07,6437
1949,8.62737169323883e-07,7389
1950,8.70809836430096e-07,7454
1951,8.63085711090759e-07,7153
1952,8.56504124005905e-07,7139
1953,8.21576818767409e-07,6882
1954,8.0401136719794e-07,6886
1955,7.90143360010883e-07,7139
1956,7.80160349021587e-07,7047
1957,7.70876005061285e-07,7525
1958,7.6530010113223e-07,7482
1959,7.39058545156419e-07,7776
1960,7.40300344200965e-07,8231
1961,7.40966252925952e-07,8821
1962,7.29075359830387e-07,9146
1963,7.04016742046422e-07,9421
1964,6.82333515149886e-07,8589
1965,6.62285213337555e-07,9198
1966,6.55256006787397e-07,9374
1967,6.30843374871404e-07,9939
1968,6.00541590424695e-07,9652
1969,5.96262267116288e-07,9607
1970,5.89286869840626e-07,9439
1971,6.0972696847017e-07,9754
1972,6.02651942191049e-07,9511
1973,5.94666188545391e-07,9608
1974,5.94642611468592e-07,9413
1975,5.93527068508999e-07,9671
1976,5.83293838372713e-07,10013
1977,5.81334920011857e-07,10110
1978,5.52142520149346e-07,9647
1979,5.42441556053827e-07,9564
1980,5.42287088884612e-07,9574
1981,5.3259451325362e-07,9249
1982,5.24246378371832e-07,9141
1983,5.17786601658291e-07,9364
1984,5.18694002796646e-07,9635
1985,5.15421413485992e-07,9856
1986,5.15833815281245e-07,9876
1987,5.03448963787686e-07,9706
1988,4.93457844490714e-07,9666
1989,4.92807537000317e-07,10110
1990,4.94690969584813e-07,10483
1991,4.82643405622493e-07,9868
1992,4.76049037650179e-07,10142
1993,4.70967969385632e-07,10027
1994,4.74441777801157e-07,10236
1995,4.77404130196289e-07,10635
1996,4.78472056134446e-07,10527
1997,4.76945929861472e-07,10392
1998,4.86647405293996e-07,10796
1999,4.93541926311585e-07,11096
2000,5.03416243040939e-07,12397
2001,5.05206594527051e-07,12387
2002,5.08514203190202e-07,13281
2003,5.08878373598317e-07,13880
2004,5.06237183728331e-07,14138
2005,5.02989517211664e-07,13267
2006,5.01469249744194e-07,13765
2007,5.02778355456915e-07,14104
2008,5.09963573972324e-07,14524
2009,5.12696866675607e-07,14093
2010,5.08751994056565e-07,13411
2011,5.07965008595639e-07,13582
2012,5.08794222880178e-07,17349
2013,5.03267018915819e-07,17394
2014,4.9372696432824e-07,15045
2015,4.71412163908066e-07,12487
2016,4.80502176079613e-07,12704
2017,4.83126731065653e-07,13152
2018,4.81239199068284e-07,12527
2019,4.75415874889862e-07,10737
