"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,3.98443722460229e-10,0
1910,3.98443722460229e-10,0
1911,3.98443722460229e-10,0
1912,3.98443722460229e-10,0
1913,3.98443722460229e-10,0
1914,3.98443722460229e-10,0
1915,3.98443722460229e-10,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,3.52507914921521e-09,1
1923,3.52507914921521e-09,1
1924,3.52507914921521e-09,1
1925,3.52507914921521e-09,1
1926,3.52507914921521e-09,1
1927,3.52507914921521e-09,1
1928,3.52507914921521e-09,1
1929,0,0
1930,1.60636913294963e-09,0
1931,1.60636913294963e-09,0
1932,1.60636913294963e-09,0
1933,1.60636913294963e-09,0
1934,2.26798973252634e-09,0
1935,2.26798973252634e-09,0
1936,2.26798973252634e-09,0
1937,6.61620599576703e-10,0
1938,6.61620599576703e-10,0
1939,6.61620599576703e-10,0
1940,6.61620599576703e-10,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,5.4550205622458e-10,0
1950,5.4550205622458e-10,0
1951,5.4550205622458e-10,0
1952,5.4550205622458e-10,0
1953,5.4550205622458e-10,0
1954,1.03478137170043e-09,0
1955,1.52224309348169e-09,0
1956,9.76741037257105e-10,0
1957,9.76741037257105e-10,0
1958,2.89188945805969e-09,1
1959,2.89188945805969e-09,1
1960,2.89188945805969e-09,1
1961,2.40261014258384e-09,1
1962,2.28732118959637e-09,1
1963,3.36198599118883e-09,1
1964,3.36198599118883e-09,1
1965,2.03384807408367e-09,1
1966,2.03384807408367e-09,1
1967,2.03384807408367e-09,1
1968,2.03384807408367e-09,1
1969,1.66167530528989e-09,1
1970,5.87010503697424e-10,0
1971,5.87010503697424e-10,0
1972,3.39848086180642e-10,0
1973,3.39848086180642e-10,0
1974,6.3354781738261e-10,0
1975,6.3354781738261e-10,0
1976,6.3354781738261e-10,0
1977,8.83568773701882e-10,0
1978,8.83568773701882e-10,0
1979,9.85647056036701e-10,0
1980,1.19532287242866e-09,1
1981,1.10051739150257e-09,1
1982,1.10051739150257e-09,1
1983,1.10051739150257e-09,1
1984,8.50496435183296e-10,1
1985,8.50496435183296e-10,1
1986,6.90674914086539e-10,1
1987,6.09004632437912e-10,1
1988,7.88428742927648e-10,1
1989,7.88428742927648e-10,1
1990,9.07263581722313e-10,1
1991,9.07263581722313e-10,1
1992,1.24463365011199e-09,1
1993,9.62528802693287e-10,1
1994,8.34523267949956e-10,1
1995,8.51605857261311e-10,1
1996,9.39631808868516e-10,1
1997,8.82274321061567e-10,1
1998,9.42135540217746e-10,1
1999,6.59764409771668e-10,1
2000,7.58119781238012e-10,2
2001,8.93388561541895e-10,2
2002,6.40815329371642e-10,2
2003,6.38306296707469e-10,2
2004,6.52545188519125e-10,2
2005,6.56765653766251e-10,2
2006,6.86894660198841e-10,2
2007,6.95702027732535e-10,2
2008,7.31878185040407e-10,3
2009,8.31328965984162e-10,4
2010,8.1433226828409e-10,4
2011,7.96779075258008e-10,5
2012,8.04327061303718e-10,6
2013,7.39004191174786e-10,6
2014,6.80974776567922e-10,6
2015,7.68931117191483e-10,6
2016,5.79530820158222e-10,4
2017,5.96179032067804e-10,5
2018,6.33986568798761e-10,5
2019,6.67131287712674e-10,5
