"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,3.08432565202362e-11,0
1883,3.08432565202362e-11,0
1884,3.08432565202362e-11,0
1885,3.08432565202362e-11,0
1886,3.08432565202362e-11,0
1887,3.08432565202362e-11,0
1888,3.08432565202362e-11,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,1.5052320501141e-11,0
1905,2.95237881761271e-11,0
1906,4.42560977943961e-11,0
1907,4.42560977943961e-11,0
1908,4.42560977943961e-11,0
1909,5.7337524609188e-11,1
1910,5.7337524609188e-11,1
1911,6.88222841811153e-11,1
1912,5.43508165061292e-11,1
1913,3.96185068878603e-11,0
1914,3.96185068878603e-11,0
1915,3.96185068878603e-11,0
1916,2.65370800730683e-11,0
1917,3.98092342820558e-11,0
1918,5.42552362164146e-11,0
1919,1.48744026024732e-10,1
1920,1.48744026024732e-10,2
1921,1.48744026024732e-10,1
1922,3.32143389181194e-10,3
1923,3.32143389181194e-10,2
1924,3.18871234972207e-10,2
1925,2.7788815296478e-10,2
1926,1.83399363156462e-10,1
1927,1.83399363156462e-10,1
1928,1.83399363156462e-10,1
1929,4.802882694729e-11,0
1930,9.97513658975078e-11,1
1931,9.97513658975078e-11,1
1932,9.97513658975078e-11,1
1933,9.97513658975078e-11,1
1934,1.21092156143579e-10,1
1935,2.90007609197015e-10,2
1936,2.41978782249725e-10,1
1937,1.90256243299507e-10,1
1938,1.90256243299507e-10,1
1939,1.90256243299507e-10,1
1940,1.90256243299507e-10,1
1941,1.68915453053436e-10,1
1942,7.10927586641422e-11,0
1943,9.14950436842992e-11,1
1944,1.27596859665426e-10,1
1945,1.27596859665426e-10,1
1946,1.59064773257762e-10,1
1947,1.74807057717885e-10,1
1948,2.5606783459515e-10,2
1949,3.62833855222749e-10,3
1950,6.64092482394185e-10,6
1951,1.06860447375766e-09,9
1952,1.3817380929902e-09,12
1953,1.82756783714425e-09,15
1954,2.44675754855285e-09,21
1955,2.72387477751839e-09,25
1956,2.98172232638632e-09,27
1957,3.07222973450205e-09,30
1958,3.20904910382820e-09,31
1959,3.16461607216941e-09,33
1960,3.02976826068089e-09,34
1961,2.55543086592163e-09,30
1962,2.6435254243554e-09,33
1963,2.41518088663271e-09,32
1964,2.18279943822334e-09,27
1965,2.0331815764726e-09,28
1966,2.21652020249945e-09,32
1967,2.05084580865275e-09,32
1968,2.09260795398197e-09,34
1969,2.12473317015968e-09,34
1970,2.10098081293575e-09,34
1971,2.21944522185317e-09,36
1972,2.13106529645124e-09,34
1973,2.22118859416476e-09,36
1974,2.45537307846933e-09,39
1975,2.40723739156464e-09,39
1976,2.31849289568574e-09,40
1977,2.51668763210208e-09,44
1978,2.35038641327456e-09,41
1979,2.33562947058294e-09,41
1980,2.03946880911188e-09,36
1981,2.44135427449451e-09,42
1982,2.59727629185548e-09,45
1983,2.46084897201745e-09,45
1984,2.33774385663014e-09,43
1985,2.81833806689161e-09,54
1986,2.80903368026537e-09,54
1987,2.81752530037086e-09,54
1988,2.36077011610071e-09,46
1989,2.43041571491258e-09,50
1990,2.37338473378447e-09,50
1991,2.35232064134989e-09,48
1992,2.04258797029122e-09,44
1993,2.15640057100413e-09,46
1994,2.19293504684557e-09,47
1995,2.09846053628964e-09,47
1996,1.9947754509705e-09,44
1997,2.31320047045751e-09,50
1998,2.30659039437975e-09,51
1999,2.23609902766772e-09,50
2000,2.14809983788739e-09,53
2001,2.2338361735771e-09,55
2002,2.3097945778261e-09,60
2003,2.29910044772083e-09,63
2004,1.9573794975731e-09,55
2005,2.02455763760799e-09,53
2006,2.14507762296859e-09,59
2007,2.05422903241342e-09,58
2008,2.18061409306453e-09,62
2009,2.27719934476583e-09,63
2010,2.67436123841629e-09,70
2011,2.8892956544156e-09,77
2012,3.30667676722217e-09,113
2013,3.15237441408537e-09,109
2014,3.15888471977277e-09,96
2015,3.04834357161316e-09,81
2016,2.899744121408e-09,77
2017,2.61003489538762e-09,71
2018,2.58879501793818e-09,67
2019,1.98372152992315e-09,45
