"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,5.76993893933572e-09,0
1835,5.76993893933572e-09,0
1836,5.76993893933572e-09,0
1837,5.76993893933572e-09,0
1838,5.76993893933572e-09,0
1839,9.98066391438052e-09,1
1840,9.98066391438052e-09,1
1841,4.21072497504481e-09,0
1842,4.21072497504481e-09,0
1843,4.21072497504481e-09,0
1844,4.21072497504481e-09,0
1845,4.21072497504481e-09,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,1.49883331143233e-09,0
1853,2.72163257010659e-09,0
1854,2.72163257010659e-09,0
1855,2.72163257010659e-09,0
1856,2.72163257010659e-09,0
1857,3.96008419707121e-09,0
1858,3.96008419707121e-09,0
1859,2.46125088563888e-09,0
1860,1.23845162696463e-09,0
1861,1.23845162696463e-09,0
1862,1.23845162696463e-09,0
1863,1.23845162696463e-09,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,1.10595063266114e-09,0
1870,1.10595063266114e-09,0
1871,1.10595063266114e-09,0
1872,6.0565074225646e-09,1
1873,6.0565074225646e-09,1
1874,1.0290143848124e-08,1
1875,1.0290143848124e-08,1
1876,1.12558121553466e-08,1
1877,1.12558121553466e-08,1
1878,1.12558121553466e-08,1
1879,6.30525536544318e-09,1
1880,7.59081673708449e-09,1
1881,3.3571803115251e-09,1
1882,3.3571803115251e-09,0
1883,8.59229259171051e-09,2
1884,1.51032641631283e-08,2
1885,1.51032641631283e-08,3
1886,1.64435454459116e-08,3
1887,2.42913519140789e-08,5
1888,2.84647643233882e-08,6
1889,3.72575383877916e-08,7
1890,3.24120833030049e-08,7
1891,3.1941001716567e-08,7
1892,3.79318072824779e-08,10
1893,4.96398310393228e-08,14
1894,5.37886808744353e-08,13
1895,5.66450341870401e-08,19
1896,5.33743632783309e-08,18
1897,5.8458288337044e-08,19
1898,6.93128653837606e-08,23
1899,7.98565640598119e-08,45
1900,9.07363632800846e-08,45
1901,9.03907089178091e-08,39
1902,9.12500399051298e-08,31
1903,9.66349857911553e-08,34
1904,9.73197518445395e-08,33
1905,9.14019204133e-08,28
1906,9.10812285909961e-08,34
1907,7.92216203748808e-08,26
1908,7.66796106927663e-08,25
1909,8.0743825784221e-08,29
1910,8.91400283111108e-08,36
1911,9.42003545009332e-08,32
1912,9.49844903048407e-08,32
1913,9.30440400599102e-08,27
1914,1.02632469412001e-07,29
1915,1.05070738839633e-07,32
1916,1.11353453569052e-07,28
