"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,1.99842713805814e-10,0
1808,1.99842713805814e-10,0
1809,1.99842713805814e-10,0
1810,1.99842713805814e-10,0
1811,1.99842713805814e-10,0
1812,1.99842713805814e-10,0
1813,1.99842713805814e-10,0
1814,0,0
1815,0,0
1816,5.44648389880617e-10,0
1817,5.44648389880617e-10,0
1818,5.44648389880617e-10,0
1819,5.44648389880617e-10,0
1820,1.38935542435904e-09,1
1821,1.51199632179657e-09,1
1822,1.86918514000212e-09,2
1823,1.3245367501215e-09,1
1824,1.3245367501215e-09,1
1825,1.3245367501215e-09,2
1826,1.3245367501215e-09,1
1827,4.79829715643072e-10,1
1828,3.57188818205551e-10,0
1829,6.72492299942056e-11,0
1830,6.72492299942056e-11,0
1831,1.56103503139755e-10,0
1832,1.0515884433079e-09,2
1833,1.0515884433079e-09,2
1834,1.68643630013169e-09,3
1835,1.68643630013169e-09,3
1836,1.61918707013748e-09,3
1837,1.61918707013748e-09,3
1838,1.53033279699193e-09,3
1839,8.52201547425173e-10,2
1840,8.52201547425173e-10,2
1841,2.17353690601385e-10,0
1842,5.65878899294603e-10,1
1843,5.65878899294603e-10,1
1844,6.93571985558147e-10,1
1845,1.01259507921471e-09,2
1846,9.82312925446038e-10,2
1847,1.04019104044514e-09,2
1848,1.09242239064246e-09,2
1849,7.95237451286671e-10,2
1850,3.1979734931615e-09,7
1851,3.20324720320159e-09,8
1852,3.56043449881557e-09,9
1853,3.78786935944271e-09,11
1854,3.92270297593684e-09,12
1855,4.27116653156645e-09,12
1856,4.40934536105608e-09,13
1857,2.14423426633406e-09,6
1858,2.06621620210282e-09,6
1859,1.91269719507225e-09,5
1860,1.78917444748627e-09,5
1861,1.97349567640107e-09,5
1862,3.1139075365846e-09,7
1863,3.28859389719938e-09,8
1864,4.22842136305057e-09,11
1865,4.72154266477937e-09,12
1866,4.45181973824609e-09,13
1867,4.57271561488908e-09,14
1868,4.49462054479583e-09,14
1869,3.17963902429774e-09,10
1870,3.17760500055466e-09,10
1871,4.38023505562007e-09,14
1872,4.41749204676307e-09,16
1873,4.5732578279889e-09,15
1874,5.06978755008904e-09,18
1875,5.26734304586083e-09,18
1876,6.06314864585019e-09,22
1877,7.96292157212442e-09,28
1878,8.72232544127779e-09,31
1879,1.13924983177352e-08,42
1880,1.27362102213852e-08,52
1881,1.38099938587885e-08,54
1882,1.54416852043188e-08,63
1883,1.73230274093582e-08,75
1884,1.88626310364854e-08,85
1885,1.98531856272182e-08,87
1886,2.39427584583903e-08,106
1887,2.85542197823016e-08,133
1888,3.16297836890276e-08,155
1889,3.79379629774793e-08,195
1890,4.34795404283658e-08,223
1891,4.89299068484605e-08,257
1892,5.54089379616635e-08,300
1893,5.67444455808395e-08,318
1894,5.98895245082894e-08,332
1895,6.29808681020963e-08,397
1896,6.40708838147073e-08,394
