"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,1.74283262107825e-08,1
1821,2.01778829835218e-08,1
1822,3.78145728063828e-08,2
1823,4.9435634252859e-08,2
1824,5.71453370972514e-08,3
1825,6.07764804832251e-08,2
1826,6.07764804832251e-08,2
1827,4.62806580360718e-08,2
1828,4.67718800832374e-08,2
1829,3.1611840764104e-08,1
1830,1.99907793176278e-08,1
1831,3.09728106019845e-08,1
1832,2.73416672160108e-08,2
1833,2.73416672160108e-08,2
1834,2.63324765167486e-08,2
1835,3.02438990676787e-08,2
1836,4.2367626867141e-08,3
1837,4.56433760628475e-08,3
1838,2.99978277139092e-08,2
1839,2.99978277139092e-08,2
1840,3.55849409621507e-08,3
1841,3.98769563401759e-08,4
1842,3.66100067087213e-08,4
1843,2.35722033638451e-08,2
1844,2.49004970293803e-08,2
1845,3.1356751481074e-08,3
1846,3.1356751481074e-08,3
1847,3.98901332283279e-08,4
1848,3.55386667396017e-08,3
1849,3.7251391939362e-08,3
1850,3.7236363833618e-08,4
1851,3.26323209723764e-08,2
1852,3.81182133476646e-08,4
1853,3.93410126063389e-08,3
1854,2.52205176108435e-08,2
1855,2.33566556571775e-08,2
1856,2.18328315426675e-08,2
1857,2.52390911979562e-08,3
1858,2.69834333924531e-08,2
1859,1.19951007856603e-08,1
1860,1.40146240009845e-08,2
1861,1.40146240009845e-08,1
1862,1.40146240009845e-08,1
1863,1.19210690842562e-08,1
1864,8.85414560717176e-09,1
1865,7.10980341267486e-09,1
1866,8.15824829913936e-09,1
1867,4.91592582514093e-09,1
1868,9.39340072392270e-09,1
1869,1.27112526219061e-08,2
1870,1.3989153962208e-08,2
1871,1.55859345747038e-08,2
1872,1.75661572906652e-08,2
1873,1.9559610819897e-08,2
1874,1.9559610819897e-08,2
1875,1.74761360938192e-08,2
1876,1.41582841958357e-08,2
1877,1.27022511873877e-08,2
1878,1.15791807888042e-08,1
1879,9.59895807284283e-09,1
1880,1.23420859564151e-08,2
1881,1.48080879621862e-08,3
1882,1.31731611016253e-08,2
1883,2.29154693950509e-08,5
1884,2.11130031552947e-08,3
1885,2.08253257178675e-08,4
1886,2.3505888283434e-08,4
1887,1.95475356536333e-08,4
1888,1.88701389752006e-08,4
1889,2.12143976036876e-08,4
1890,1.24565997516868e-08,3
1891,1.35547615671377e-08,3
1892,1.2280619822645e-08,3
1893,1.00078167974971e-08,3
1894,1.19167670017565e-08,3
1895,1.21957397831401e-08,4
1896,1.10131393528588e-08,4
1897,1.27233434581748e-08,4
1898,1.44409262325951e-08,5
1899,1.36421521698285e-08,8
1900,1.47536372959881e-08,7
1901,1.21940646786405e-08,5
1902,1.14413360055973e-08,4
