"Year","Freq","Count"
1800,6.14938000520482e-09,2
1801,4.91950400416385e-09,1
1802,6.03312607279823e-09,1
1803,6.17616878275027e-09,2
1804,6.00833751006137e-09,2
1805,5.39923924617166e-09,2
1806,7.1281518782789e-09,3
1807,7.34032368221449e-09,3
1808,7.56500379799669e-09,4
1809,5.90768431000096e-09,3
1810,5.52638779183212e-09,4
1811,4.74408131826262e-09,3
1812,4.24862072507486e-09,3
1813,2.70506349066478e-09,2
1814,2.10531958533267e-09,1
1815,1.88063946955046e-09,1
1816,4.24078253466068e-09,3
1817,4.27157472885195e-09,3
1818,4.79534940327803e-09,4
1819,5.22591865020112e-09,4
1820,6.87076184835434e-09,6
1821,8.3109057096615e-09,7
1822,1.02159127823853e-08,10
1823,9.86882826253017e-09,9
1824,1.21598828466724e-08,13
1825,1.16895936422675e-08,13
1826,1.17120755792145e-08,12
1827,1.31807008640905e-08,14
1828,1.42957022727533e-08,16
1829,1.43409228619313e-08,17
1830,1.40592723653553e-08,19
1831,1.44902666690935e-08,19
1832,1.53927425091841e-08,31
1833,1.63599106959923e-08,24
1834,1.39340026183987e-08,21
1835,1.29021138217666e-08,21
1836,1.51149437252077e-08,26
1837,1.47895794658634e-08,25
1838,1.48435060116319e-08,25
1839,1.50266322559592e-08,28
1840,1.59189852173241e-08,29
1841,1.72538573666487e-08,32
1842,1.69575822352362e-08,32
1843,1.43615364600613e-08,27
1844,1.39131908454588e-08,28
1845,1.30987913293801e-08,31
1846,1.28464401219893e-08,28
1847,1.25017237633569e-08,27
1848,1.33755853496239e-08,28
1849,1.44701686942218e-08,31
1850,1.36285111569061e-08,32
1851,1.35129359884229e-08,35
1852,1.29738784279291e-08,34
1853,1.3257199655519e-08,40
1854,1.25419700022381e-08,38
1855,1.01615365645711e-08,28
1856,8.57761677559259e-09,25
1857,8.90738714533411e-09,25
1858,9.16423878053304e-09,25
1859,8.1907664698352e-09,23
1860,7.22146671826098e-09,21
1861,7.04607749130964e-09,17
1862,7.46083524326226e-09,17
1863,7.23423434648548e-09,17
1864,8.51358998378769e-09,21
1865,8.80587007280807e-09,22
1866,8.41915442124324e-09,25
1867,8.45233849181401e-09,25
1868,8.31462041677484e-09,27
1869,7.72627213001848e-09,25
1870,8.34492678133562e-09,27
1871,7.01522855679164e-09,22
