"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,6.64387711513115e-11,0
1880,9.77324530828026e-11,0
1881,9.77324530828026e-11,0
1882,9.77324530828026e-11,0
1883,9.77324530828026e-11,0
1884,9.77324530828026e-11,0
1885,9.77324530828026e-11,0
1886,3.12936819314911e-11,0
1887,0,0
1888,0,0
1889,1.74202208214069e-10,1
1890,1.98261611493246e-10,1
1891,1.98261611493246e-10,1
1892,1.98261611493246e-10,1
1893,1.98261611493246e-10,1
1894,1.98261611493246e-10,1
1895,1.98261611493246e-10,1
1896,2.40594032791768e-11,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,3.01046410022821e-11,0
1905,1.45876382402171e-10,1
1906,1.45876382402171e-10,1
1907,1.45876382402171e-10,1
1908,1.45876382402171e-10,1
1909,1.45876382402171e-10,1
1910,1.45876382402171e-10,1
1911,1.15771741399889e-10,1
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,2.86097514726588e-11,0
1917,2.86097514726588e-11,0
1918,2.86097514726588e-11,0
1919,4.21081502999243e-11,0
1920,6.41326277798068e-11,1
1921,6.41326277798068e-11,1
1922,6.41326277798068e-11,1
1923,5.8845731858754e-11,0
1924,5.8845731858754e-11,0
1925,5.8845731858754e-11,0
1926,4.53473330314884e-11,0
1927,4.49131565272154e-11,0
1928,1.74785402421282e-10,1
1929,1.98799815894927e-10,1
1930,2.01338229818429e-10,1
1931,2.51181153257792e-10,2
1932,2.51181153257792e-10,1
1933,3.39211823312852e-10,2
1934,3.17621522337243e-10,2
1935,2.08863708074856e-10,1
1936,1.84849294601211e-10,1
1937,1.58988025126102e-10,1
1938,1.09145101686739e-10,1
1939,1.09145101686739e-10,1
1940,2.11144316316795e-11,0
1941,4.73370390504816e-11,0
1942,2.62226074188021e-11,0
1943,4.66248924389591e-11,0
1944,4.66248924389591e-11,0
1945,4.66248924389591e-11,0
1946,6.23588492351271e-11,0
1947,1.09585702615497e-10,1
1948,9.96152505721477e-11,1
1949,2.45136071164165e-10,2
1950,3.37315107393607e-10,3
1951,5.41885806068113e-10,4
1952,8.10286052540679e-10,7
1953,9.88454264867171e-10,8
1954,1.09305898062953e-09,9
1955,1.13194190429608e-09,10
1956,1.16582957176981e-09,11
1957,1.2108420199037e-09,12
1958,1.06288241799194e-09,10
1959,9.34206477057728e-10,10
1960,8.00736633745279e-10,9
1961,7.55968137295631e-10,9
1962,7.68774536094189e-10,10
1963,6.45919262520778e-10,9
1964,5.56815729437142e-10,7
1965,5.92478527548592e-10,8
1966,5.44836282241017e-10,8
1967,5.51746986392805e-10,9
1968,5.54293824133507e-10,9
1969,5.54723456653543e-10,9
1970,6.31704374325676e-10,10
1971,7.25121978335202e-10,12
1972,7.32195021379318e-10,12
1973,9.77982336483211e-10,16
1974,1.09673437643073e-09,17
1975,1.09507921034717e-09,18
1976,1.16430337048144e-09,20
1977,1.17585481678887e-09,20
1978,1.06051758595143e-09,19
1979,1.05393591572277e-09,19
1980,8.20430958289478e-10,14
1981,7.35941564633524e-10,13
1982,7.47814828414414e-10,13
1983,6.94694879498676e-10,13
1984,6.40503561399093e-10,12
1985,6.76523188660104e-10,13
1986,6.03468799732974e-10,12
1987,5.50003077308205e-10,11
1988,5.6709414396537e-10,11
1989,4.66255569371775e-10,10
1990,4.45133471253602e-10,9
1991,3.66746314369091e-10,7
1992,3.32605932875017e-10,7
1993,3.25157529869534e-10,7
1994,2.92835086040943e-10,6
1995,2.16726946904761e-10,5
1996,2.09742016909249e-10,5
1997,1.68296027411704e-10,4
1998,1.66790109005856e-10,4
1999,1.49316285030787e-10,3
2000,1.41998555275302e-10,3
2001,1.52404172119671e-10,4
2002,1.50733641838105e-10,4
2003,1.58389098463869e-10,4
2004,1.50906785579512e-10,4
2005,1.54105744534386e-10,4
2006,1.32930830529629e-10,4
2007,1.27986084528084e-10,4
2008,1.09067203185598e-10,3
2009,1.11565064230585e-10,3
2010,1.15289974491776e-10,3
2011,1.18502938612724e-10,3
2012,2.26104347546473e-10,8
2013,2.21393944843662e-10,8
2014,2.51030388936131e-10,8
2015,2.71962786616406e-10,7
2016,2.46394345402935e-10,7
2017,2.60177720802964e-10,7
2018,2.87520225683568e-10,7
2019,1.46247564405955e-10,3
