"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,6.48259160637313e-10,0
1933,6.48259160637313e-10,0
1934,6.48259160637313e-10,0
1935,6.48259160637313e-10,0
1936,6.48259160637313e-10,0
1937,6.48259160637313e-10,0
1938,6.48259160637313e-10,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,1.4623851336231e-09,0
1956,1.4623851336231e-09,0
1957,1.4623851336231e-09,0
1958,1.4623851336231e-09,0
1959,1.4623851336231e-09,0
1960,1.4623851336231e-09,0
1961,1.4623851336231e-09,1
1962,0,0
1963,1.07466480159246e-09,0
1964,1.07466480159246e-09,0
1965,1.07466480159246e-09,0
1966,1.07466480159246e-09,0
1967,1.07466480159246e-09,0
1968,1.07466480159246e-09,0
1969,1.07466480159246e-09,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,2.50020956319271e-10,0
1978,2.50020956319271e-10,0
1979,2.50020956319271e-10,0
1980,2.50020956319271e-10,0
1981,4.48915206595148e-10,0
1982,4.48915206595148e-10,0
1983,4.48915206595148e-10,0
1984,5.11372610922933e-10,0
1985,5.11372610922933e-10,0
1986,7.93477458341637e-10,1
1987,9.21482993084969e-10,1
1988,7.22588742809092e-10,1
1989,7.22588742809092e-10,1
1990,7.22588742809092e-10,1
1991,4.10110382162035e-10,0
1992,4.10110382162035e-10,0
1993,4.44627501483552e-10,1
1994,5.27114209423831e-10,1
1995,5.27114209423831e-10,1
1996,6.15140161031036e-10,1
1997,6.76617512018751e-10,1
1998,6.76617512018751e-10,1
1999,6.76617512018751e-10,1
2000,3.59995545278531e-10,1
2001,2.84772082898803e-10,1
2002,2.84772082898803e-10,1
2003,2.39504590763115e-10,1
2004,1.78027239775399e-10,1
2005,2.42108924178705e-10,1
2006,4.12364812931086e-10,1
2007,4.39155497681095e-10,2
2008,3.25317334578682e-10,1
2009,3.94539763954554e-10,2
2010,3.86041415104518e-10,2
2011,4.44204464877807e-10,3
2012,4.33845033311263e-10,3
2013,2.63589144558881e-10,2
2014,2.85931784202046e-10,3
2015,3.5096826238907e-10,3
2016,5.28510774826836e-10,4
2017,5.76625774906248e-10,5
2018,6.10522660204893e-10,5
2019,6.69139382791784e-10,5
