"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,1.44714676749861e-11,0
1906,1.44714676749861e-11,0
1907,1.44714676749861e-11,0
1908,1.44714676749861e-11,0
1909,1.44714676749861e-11,0
1910,1.44714676749861e-11,0
1911,1.44714676749861e-11,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,1.32721542089875e-11,0
1918,1.32721542089875e-11,0
1919,1.32721542089875e-11,0
1920,1.32721542089875e-11,0
1921,1.32721542089875e-11,0
1922,1.32721542089875e-11,0
1923,1.32721542089875e-11,0
1924,2.31916648583765e-11,0
1925,2.31916648583765e-11,0
1926,2.31916648583765e-11,0
1927,4.47819658339859e-11,0
1928,4.47819658339859e-11,0
1929,4.47819658339859e-11,0
1930,4.47819658339859e-11,0
1931,2.15903009756094e-11,0
1932,4.4055449764459e-11,0
1933,4.4055449764459e-11,0
1934,2.24651487888496e-11,0
1935,2.24651487888496e-11,0
1936,2.24651487888496e-11,0
1937,2.24651487888496e-11,0
1938,2.24651487888496e-11,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,3.14845689202465e-11,0
1948,8.02410350466052e-11,1
1949,1.61085935265362e-10,1
1950,4.98829895049077e-10,4
1951,1.00238853428009e-09,8
1952,1.300611030581e-09,11
1953,1.71824647268329e-09,14
1954,2.2802852929295e-09,20
1955,2.43828537321062e-09,22
1956,2.71625744912336e-09,25
1957,2.75431401892361e-09,27
1958,2.62438859929429e-09,26
1959,2.46589040654919e-09,26
1960,2.36048864779967e-09,26
1961,1.97038508525133e-09,23
1962,2.02568852366739e-09,25
1963,1.93078654056996e-09,26
1964,1.67484392624547e-09,21
1965,1.80452286843317e-09,25
1966,2.06661119368195e-09,30
1967,1.91431720673675e-09,30
1968,1.88795953870446e-09,30
1969,2.20705399194594e-09,36
1970,2.11005666510872e-09,34
1971,2.27992857728042e-09,36
1972,1.97531029826654e-09,31
1973,2.13137502587589e-09,34
1974,2.21180812157559e-09,35
1975,2.18896701954994e-09,36
1976,1.93651241074479e-09,33
1977,2.15139890922097e-09,37
1978,1.98585738032347e-09,35
1979,2.04226799063337e-09,36
1980,1.81984770407968e-09,32
1981,2.23265426186574e-09,39
1982,2.26874827753885e-09,40
1983,2.07380103863151e-09,38
1984,1.97866339781059e-09,37
1985,2.33625148691027e-09,45
1986,2.37023989423697e-09,45
1987,2.32108797856448e-09,45
1988,1.91189637336172e-09,37
1989,2.16466807772304e-09,44
1990,2.26532241377951e-09,48
1991,2.20378375320343e-09,45
1992,2.00665026212473e-09,43
1993,2.10995657998996e-09,45
1994,2.05275853210459e-09,44
1995,2.00954563356733e-09,45
1996,1.82455568263034e-09,40
1997,2.1816440682768e-09,48
1998,2.20954346188565e-09,49
1999,2.23982354984648e-09,50
2000,2.21333553766602e-09,55
2001,2.31268959042876e-09,57
2002,2.38811174109653e-09,62
2003,2.47406420945356e-09,67
2004,2.17587562154461e-09,61
2005,2.29678550583185e-09,61
2006,2.388608877159e-09,66
2007,2.41097838816445e-09,68
2008,2.50516267948285e-09,71
2009,2.93151447363003e-09,81
2010,3.5267574981433e-09,93
2011,3.80668203804018e-09,102
2012,4.40715734045805e-09,150
2013,4.2396745727242e-09,147
2014,4.13787949688335e-09,126
2015,3.95286533614552e-09,105
2016,3.56562228701063e-09,94
2017,3.0640516298965e-09,83
2018,2.87433818621508e-09,75
2019,1.88770095648633e-09,43
