"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,3.97407146872959e-11,0
1875,3.97407146872959e-11,0
1876,3.97407146872959e-11,0
1877,3.97407146872959e-11,0
1878,3.97407146872959e-11,0
1879,3.97407146872959e-11,0
1880,3.97407146872959e-11,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,5.86006957245136e-11,1
1908,5.86006957245136e-11,1
1909,5.86006957245136e-11,1
1910,1.13696254791914e-10,1
1911,1.27674186699091e-10,1
1912,2.28572944302056e-10,2
1913,2.28572944302056e-10,2
1914,1.69972248577542e-10,2
1915,1.69972248577542e-10,2
1916,1.69972248577542e-10,2
1917,1.28842423833106e-10,1
1918,2.29906404430087e-10,2
1919,2.56859368100556e-10,2
1920,2.56859368100556e-10,3
1921,2.84970976379853e-10,3
1922,2.84970976379853e-10,3
1923,2.84970976379853e-10,2
1924,2.71005242056889e-10,1
1925,1.55963329552731e-10,1
1926,2.81116082792973e-11,0
1927,5.08499869195893e-11,0
1928,4.55478631002291e-11,0
1929,4.55478631002291e-11,0
1930,7.2775256059516e-11,0
1931,7.2775256059516e-11,0
1932,1.20061748241719e-10,1
1933,1.43228906909368e-10,1
1934,1.20490528269076e-10,1
1935,9.76810438091391e-11,1
1936,9.76810438091391e-11,1
1937,7.04536508498523e-11,0
1938,9.22059016440966e-11,1
1939,1.1960148546145e-10,1
1940,1.22227589161028e-10,1
1941,1.22227589161028e-10,1
1942,1.22227589161028e-10,1
1943,3.79667515680383e-10,2
1944,3.79667515680383e-10,2
1945,4.1422352452842e-10,2
1946,3.89185760999286e-10,3
1947,3.63392498632058e-10,3
1948,4.14692498594351e-10,3
1949,4.31698662928248e-10,4
1950,2.25018656485609e-10,2
1951,2.25018656485609e-10,2
1952,1.84394345031131e-10,2
1953,1.34750032560709e-10,1
1954,1.78297897279744e-10,2
1955,1.26997897317452e-10,1
1956,1.09991732983555e-10,1
1957,5.92318129068379e-11,1
1958,8.30354287313056e-11,1
1959,1.12527237527971e-10,1
1960,1.12527237527971e-10,1
1961,1.14001648399142e-10,1
1962,1.14001648399142e-10,1
1963,1.33809361408626e-10,2
1964,2.05755841927882e-10,3
1965,1.81952226103415e-10,3
1966,1.45569540548658e-10,2
1967,1.63258898463628e-10,3
1968,1.3594970585792e-10,2
1969,1.44926591560957e-10,2
1970,2.04044458908457e-10,3
1971,2.03705174752132e-10,3
1972,5.51522973124552e-10,9
1973,9.8845111560061e-10,16
1974,1.37813692699781e-09,22
1975,1.74967982562763e-09,28
1976,2.03001448290108e-09,35
1977,2.29622457258755e-09,40
1978,2.79581237823599e-09,49
1979,3.52085110173959e-09,62
1980,4.63465849726008e-09,81
1981,6.85193395177126e-09,119
1982,9.82008521126827e-09,171
1983,1.31283917288925e-08,236
1984,1.58558041319606e-08,293
1985,1.999399201361e-08,381
1986,2.26862981178577e-08,433
1987,2.48985011021473e-08,478
1988,2.60029487624586e-08,507
1989,2.65303162296147e-08,542
1990,2.93837784421618e-08,620
1991,3.10082572634635e-08,631
1992,3.48053312996096e-08,739
1993,3.47439500979009e-08,737
1994,3.71111731226456e-08,797
1995,3.71440951924778e-08,824
1996,3.63536220214313e-08,797
1997,3.33885718081398e-08,725
1998,3.29671076191941e-08,728
1999,2.94825743382291e-08,660
2000,3.02235120621029e-08,741
2001,2.79788781032408e-08,683
2002,2.78728428512335e-08,725
2003,2.87141999859892e-08,780
2004,2.6843064675803e-08,746
2005,2.45002848901578e-08,643
2006,2.10223329399113e-08,574
2007,1.83273083554607e-08,512
2008,1.61314242816798e-08,457
2009,1.49024165924105e-08,408
2010,1.32102130682789e-08,347
2011,1.46175189472527e-08,389
2012,1.63158391598893e-08,554
2013,1.67463948571351e-08,576
2014,1.75374218470771e-08,532
2015,1.79841004023319e-08,474
2016,1.85361620606244e-08,488
2017,1.90081580649093e-08,515
2018,1.85787087977896e-08,481
2019,1.68689555154339e-08,379
