"Year","Freq","Count"
1800,1.50036456147973e-07,2
1801,1.20029164918378e-07,0
1802,1.00024304098649e-07,0
1803,8.57351177988416e-08,1
1804,8.57351177988416e-08,0
1805,8.57351177988416e-08,0
1806,8.57351177988416e-08,1
1807,0,0
1808,0,0
1809,4.32514722449793e-09,0
1810,4.28563531329473e-08,1
1811,4.28563531329473e-08,0
1812,4.28563531329473e-08,1
1813,4.28563531329473e-08,1
1814,4.28563531329473e-08,1
1815,4.93518003606498e-08,1
1816,4.50266531361519e-08,1
1817,1.11301028076533e-08,0
1818,1.11301028076533e-08,0
1819,1.11301028076533e-08,0
1820,3.39337213566588e-08,1
1821,3.39337213566588e-08,1
1822,2.74382741289563e-08,1
1823,5.98914284515623e-08,2
1824,5.52567728716115e-08,3
1825,7.03896562624453e-08,3
1826,7.03896562624453e-08,2
1827,4.75860377134398e-08,2
1828,4.75860377134398e-08,2
1829,4.75860377134398e-08,2
1830,3.40636603368694e-08,2
1831,3.40636603368694e-08,1
1832,1.89307769460356e-08,1
1833,2.09118785779846e-08,1
1834,2.09118785779846e-08,1
1835,2.09118785779846e-08,1
1836,2.47194002410213e-08,2
1837,5.78862329498569e-09,0
1838,5.78862329498569e-09,0
1839,8.71904745228643e-09,1
1840,8.67840301209201e-09,1
1841,1.19242523157124e-08,1
1842,1.19242523157124e-08,1
1843,8.11673065267574e-09,1
1844,1.29251382929851e-08,1
1845,1.29251382929851e-08,1
1846,9.99471413568439e-09,1
1847,2.57806680130963e-08,2
1848,2.83761519678397e-08,2
1849,2.98370629790514e-08,2
1850,3.14564670184885e-08,3
1851,2.96981067039935e-08,2
1852,3.5974817918267e-08,3
1853,3.5974817918267e-08,3
1854,1.82484068491005e-08,2
1855,1.56732538059146e-08,1
1856,1.84757047756128e-08,2
1857,2.07422840808087e-08,2
1858,1.76922367549943e-08,2
1859,1.14155255407208e-08,1
1860,1.14155255407208e-08,1
1861,1.14155255407208e-08,1
1862,1.18767781641184e-08,1
1863,1.1768848435472e-08,1
1864,1.08477706182798e-08,1
1865,1.26354189968124e-08,1
1866,1.26354189968124e-08,2
1867,1.26354189968124e-08,2
1868,1.35719541002491e-08,2
1869,1.33196001529866e-08,2
1870,1.03032468271432e-08,1
1871,7.33834129970238e-09,1
1872,7.62592484398234e-09,1
1873,7.62592484398234e-09,1
1874,7.62592484398234e-09,1
1875,1.2977047373194e-08,2
1876,1.16760640521209e-08,2
1877,1.43167126408019e-08,2
1878,1.92738475338469e-08,2
1879,1.92796364270212e-08,2
1880,2.53450251896936e-08,4
1881,2.70705468834771e-08,5
1882,2.15797159189687e-08,3
1883,2.19653292380225e-08,5
1884,2.12292622846024e-08,3
1885,1.69983378484062e-08,3
1886,2.05417632110587e-08,3
1887,1.83112948930792e-08,3
1888,1.65857731992958e-08,3
1889,2.06805889238889e-08,4
1890,2.01896131559108e-08,4
1891,2.11800447656531e-08,5
1892,2.46517438843138e-08,6
1893,3.01580460921563e-08,8
1894,3.76818217898541e-08,9
1895,3.94206616555997e-08,13
1896,3.93199932296235e-08,13
1897,3.92315269794251e-08,13
1898,4.07880413888506e-08,13
1899,4.11449259425061e-08,23
1900,3.3209454995488e-08,16
1901,2.26759920681932e-08,10
1902,2.3242209617231e-08,8
1903,2.26611031526959e-08,8
1904,2.37133290781344e-08,8
1905,2.53990139713929e-08,8
1906,2.75844317863618e-08,10
1907,2.65055501673978e-08,9
1908,2.77868368314671e-08,9
1909,3.01018176099685e-08,11
1910,2.73447443101458e-08,11
1911,2.53134647211693e-08,8
1912,2.03320803685411e-08,7
1913,1.47061499168797e-08,4
1914,1.59640884955792e-08,4
1915,1.99430978398141e-08,6
1916,1.95924951817972e-08,5
1917,2.17534697239634e-08,7
1918,2.38559587639742e-08,5
1919,2.31478992481929e-08,6
1920,2.99241514424762e-08,9
1921,3.18751216849782e-08,9
1922,2.82673597862271e-08,10
1923,2.8569817908267e-08,7
1924,3.07446746156919e-08,6
1925,2.95053753493083e-08,7
1926,3.08449472312995e-08,7
1927,2.88565512437547e-08,7
1928,3.18697345973768e-08,7
1929,3.22519832428116e-08,8
1930,3.19187513245619e-08,8
