"Year","Freq","Count"
1800,4.3139614991361e-08,11
1801,3.71119984521329e-08,9
1802,5.32118421177804e-08,12
1803,5.12261497347717e-08,18
1804,5.06135375515677e-08,15
1805,5.12146650168331e-08,17
1806,3.80889452993622e-08,15
1807,5.3436661191191e-08,25
1808,5.4639021053658e-08,30
1809,3.96987117623482e-08,22
1810,3.73517771157239e-08,25
1811,3.65741477421316e-08,22
1812,3.61467162551017e-08,28
1813,3.79576361770566e-08,25
1814,2.079807297812e-08,12
1815,2.02491806179848e-08,12
1816,1.89405008978381e-08,14
1817,1.87556920946566e-08,13
1818,2.36969330666018e-08,17
1819,3.03542218820547e-08,22
1820,3.03458870888816e-08,25
1821,3.09718420672083e-08,24
1822,3.42003824387633e-08,32
1823,3.80900041587116e-08,36
1824,3.63469484272143e-08,40
1825,3.123320326973e-08,35
1826,2.37327326124692e-08,24
1827,2.08465381861573e-08,22
1828,2.0041701663333e-08,22
1829,1.51456233745049e-08,18
1830,9.64236966462449e-09,13
1831,8.67274813869707e-09,11
1832,7.45912111442339e-09,15
1833,7.95972391173397e-09,12
1834,9.5779069596093e-09,15
1835,7.1241161462129e-09,12
1836,1.25109025916892e-08,21
1837,1.25884475066229e-08,21
1838,1.32091034776849e-08,22
1839,1.62607714198388e-08,31
1840,1.79438808177247e-08,33
1841,1.73061761032933e-08,32
1842,1.92293022616141e-08,36
1843,1.46385875802021e-08,27
1844,1.66612265333527e-08,34
1845,1.67368121663434e-08,39
1846,1.38626822640145e-08,30
1847,1.29760987748513e-08,27
1848,1.3645860132337e-08,29
1849,1.33048763593737e-08,29
1850,1.42288884167182e-08,33
1851,1.2329031973917e-08,32
1852,1.48005216059145e-08,39
1853,1.6519489042561e-08,49
1854,1.66304673722615e-08,51
1855,1.59786266004261e-08,45
1856,1.77916171438332e-08,52
1857,1.91752481313946e-08,54
1858,1.86576179188919e-08,50
1859,1.6763401468532e-08,48
1860,1.52606791410064e-08,45
1861,1.44242016743488e-08,35
1862,1.56125471915759e-08,36
1863,1.52843308168623e-08,35
1864,1.33153197356961e-08,33
1865,1.38973661784852e-08,35
1866,1.49066499778781e-08,44
1867,1.59999465422698e-08,48
1868,1.61543004370149e-08,52
1869,1.56189513703505e-08,50
1870,1.43688920761775e-08,47
1871,1.46225804163537e-08,46
1872,1.60264493422245e-08,57
1873,1.53225097134145e-08,51
1874,1.5504668985208e-08,54
1875,1.63597929885612e-08,56
1876,2.20889891853839e-08,80
1877,2.25650623028198e-08,80
1878,2.31273515655899e-08,81
1879,2.24193502572158e-08,83
1880,2.29354139489958e-08,93
1881,2.24099366048185e-08,87
1882,2.08966801640287e-08,85
1883,1.44312393523289e-08,62
1884,1.34275163745804e-08,60
1885,1.30134523216942e-08,57
1886,1.31589143807588e-08,58
1887,1.26820588732971e-08,59
1888,1.25604379357697e-08,61
1889,1.39646797062528e-08,71
1890,1.43834248658318e-08,74
1891,1.44187118137985e-08,75
1892,1.38140582246958e-08,75
1893,1.32908979437264e-08,74
1894,1.35767047981001e-08,75
1895,1.26327441602696e-08,79
1896,1.17027424338469e-08,72
1897,1.12185803583361e-08,72
1898,1.13615851250946e-08,76
1899,1.06063088629276e-08,77
1900,1.05372853775876e-08,80
1901,1.00269114876119e-08,78
1902,1.00652291382516e-08,78
1903,9.55645484571451e-09,75
1904,9.87685516409423e-09,81
1905,1.09480328979093e-08,90
1906,1.21156671728914e-08,107
1907,1.24138428356235e-08,110
1908,1.18290672465604e-08,110
1909,1.22844461240239e-08,112
1910,1.23691996377549e-08,119
1911,1.21640705603403e-08,125
1912,1.14586866661881e-08,117
1913,1.02719279431491e-08,105
1914,1.07203233710797e-08,108
1915,1.11498311654896e-08,109
1916,1.07405298662869e-08,106
1917,1.07849599211602e-08,104
1918,1.07756129812715e-08,95
1919,1.00802308474519e-08,95
1920,1.06802907143266e-08,108
1921,1.00362371419479e-08,99
1922,1.01653195057933e-08,101
