"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,5.51772318311907e-11,0
1887,5.51772318311907e-11,0
1888,5.51772318311907e-11,0
1889,5.51772318311907e-11,0
1890,5.51772318311907e-11,0
1891,5.51772318311907e-11,0
1892,5.51772318311907e-11,0
1893,2.30616716199807e-10,1
1894,2.5270848905531e-10,1
1895,2.5270848905531e-10,2
1896,3.1084976656207e-10,2
1897,3.1084976656207e-10,2
1898,3.1084976656207e-10,2
1899,3.1084976656207e-10,2
1900,8.0233050362263e-11,1
1901,5.81412775067593e-11,0
1902,5.81412775067593e-11,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,1.46501739311284e-11,0
1908,1.46501739311284e-11,0
1909,1.46501739311284e-11,0
1910,1.46501739311284e-11,0
1911,1.46501739311284e-11,0
1912,2.90642817352931e-11,0
1913,2.90642817352931e-11,0
1914,1.44141078041647e-11,0
1915,1.44141078041647e-11,0
1916,1.44141078041647e-11,0
1917,1.44141078041647e-11,0
1918,1.44141078041647e-11,0
1919,5.68229867920727e-11,1
1920,5.68229867920727e-11,1
1921,5.68229867920727e-11,1
1922,5.68229867920727e-11,1
1923,5.68229867920727e-11,0
1924,5.68229867920727e-11,0
1925,5.68229867920727e-11,0
1926,9.16918604535307e-11,1
1927,1.37168617734115e-10,1
1928,1.37168617734115e-10,1
1929,1.37168617734115e-10,1
1930,1.37168617734115e-10,1
1931,2.42100656982253e-10,1
1932,2.65743903073355e-10,1
1933,1.74052042619824e-10,1
1934,1.2857528533924e-10,1
1935,1.95242282658674e-10,1
1936,4.4649146284976e-10,3
1937,6.70915624643799e-10,4
1938,8.48762845720838e-10,5
1939,8.50013624962921e-10,6
1940,8.50013624962921e-10,5
1941,8.77592195342685e-10,6
1942,1.0600056526977e-09,6
1943,8.30209799716565e-10,5
1944,7.19613569130243e-10,4
1945,5.49450828089628e-10,3
1946,6.73489740167708e-10,4
1947,9.05287400598809e-10,7
1948,8.94808830206476e-10,7
1949,6.79740704199818e-10,6
1950,6.75207350348777e-10,6
1951,6.44124912138214e-10,5
1952,5.62876289229257e-10,5
1953,5.55146480372772e-10,5
1954,3.37864774848016e-10,3
1955,3.3525902589807e-10,3
1956,3.68586727607566e-10,3
1957,3.5166675424866e-10,3
1958,3.28430301803946e-10,3
1959,3.42238161421538e-10,4
1960,3.06913640335527e-10,3
1961,4.83742357678832e-10,6
1962,7.75300793803042e-10,10
1963,8.46614756474676e-10,11
1964,9.36547857123747e-10,12
1965,1.17675159101121e-09,16
1966,1.27226497987592e-09,18
1967,1.39634803323193e-09,22
1968,1.51498231618482e-09,24
1969,1.32562914415387e-09,21
1970,1.37990434753313e-09,22
1971,1.44213653915529e-09,23
1972,1.34241900730446e-09,21
1973,1.27601673275254e-09,21
1974,1.37195522403084e-09,22
1975,1.18361876649027e-09,19
1976,1.13924713313856e-09,19
1977,1.05868768513722e-09,18
1978,9.22842250037993e-10,16
1979,8.04124016381572e-10,14
1980,7.84694935021931e-10,14
1981,5.35092766722795e-10,9
1982,4.94976713386449e-10,9
1983,5.41088930605671e-10,10
1984,5.83081641501528e-10,11
1985,7.11443283253819e-10,14
1986,8.16697255458441e-10,16
1987,8.48776542601769e-10,16
1988,9.11106742135237e-10,18
1989,1.08900874082329e-09,22
1990,1.28346935510115e-09,27
1991,1.4772781172948e-09,30
1992,1.56164108430382e-09,33
1993,1.84532928521053e-09,39
1994,2.06403930108226e-09,44
1995,2.27670335609902e-09,51
1996,2.414303430291e-09,53
1997,2.60187239461973e-09,56
1998,2.70436859909985e-09,60
1999,3.77147934807079e-09,84
2000,4.05416237485896e-09,99
2001,4.36207361005834e-09,107
2002,4.51005687260705e-09,117
2003,4.80421876189860e-09,130
2004,4.9598000756038e-09,138
2005,5.09045808580863e-09,134
2006,4.68980639541293e-09,128
2007,4.7419783665213e-09,132
2008,4.83742472368836e-09,137
2009,4.98949186332277e-09,136
2010,5.31358774440755e-09,139
2011,5.53030737870941e-09,147
2012,5.82471860030179e-09,198
2013,6.1760034085875e-09,212
2014,6.05676817380663e-09,184
2015,6.00487473782972e-09,158
2016,6.30482186647233e-09,166
2017,6.17112484203874e-09,167
2018,6.18347093458982e-09,160
2019,6.19679951709834e-09,139
