"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,5.00606603789525e-10,0
1912,5.00606603789525e-10,0
1913,5.00606603789525e-10,0
1914,5.00606603789525e-10,0
1915,5.00606603789525e-10,0
1916,5.00606603789525e-10,0
1917,5.00606603789525e-10,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,5.90213782609388e-10,0
1928,5.90213782609388e-10,0
1929,5.90213782609388e-10,0
1930,5.90213782609388e-10,0
1931,5.90213782609388e-10,0
1932,5.90213782609388e-10,0
1933,5.90213782609388e-10,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,5.32514350075936e-10,0
1952,5.32514350075936e-10,0
1953,5.32514350075936e-10,0
1954,5.32514350075936e-10,0
1955,2.60067205865815e-09,1
1956,2.60067205865815e-09,1
1957,2.60067205865815e-09,1
1958,2.06815770858222e-09,1
1959,2.06815770858222e-09,1
1960,2.47370638259018e-09,1
1961,2.93677041415411e-09,1
1962,1.26151276726359e-09,0
1963,1.26151276726359e-09,0
1964,1.26151276726359e-09,0
1965,1.26151276726359e-09,0
1966,1.26151276726359e-09,0
1967,8.55964093255628e-10,0
1968,3.92900061691697e-10,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,3.10743145500883e-10,0
1975,6.08171544870726e-10,0
1976,8.92501152348148e-10,0
1977,8.92501152348148e-10,0
1978,1.38270759921154e-09,1
1979,1.38270759921154e-09,1
1980,1.82734541783905e-09,1
1981,1.72745797031938e-09,1
1982,1.43002957094954e-09,1
1983,1.32439713164599e-09,1
1984,1.49018308803761e-09,1
1985,9.99976641174222e-10,1
1986,9.99976641174222e-10,1
1987,6.91294815042503e-10,1
1988,6.14451378666558e-10,1
1989,6.14451378666558e-10,1
1990,8.14812931412437e-10,1
1991,7.68254697953401e-10,1
1992,7.68254697953401e-10,1
1993,8.80441806762531e-10,1
1994,7.44485814266735e-10,1
1995,1.13604558300245e-09,1
1996,1.13604558300245e-09,1
1997,8.87959309256051e-10,1
1998,7.68731586323465e-10,1
1999,8.8593242266098e-10,1
2000,7.7374531385185e-10,2
2001,7.7374531385185e-10,2
2002,3.49600102835167e-10,1
2003,3.95104758434327e-10,1
2004,3.04474818373685e-10,1
2005,3.38592788727356e-10,1
2006,3.7267852296249e-10,1
2007,4.29863981711774e-10,2
2008,6.3586603839459e-10,3
2009,7.19267847662916e-10,3
2010,8.93172825382799e-10,4
2011,1.16376638881199e-09,7
2012,1.55055296776777e-09,12
2013,1.5684858293127e-09,12
2014,1.66856428673867e-09,15
2015,1.57298452041488e-09,12
2016,1.93191496133949e-09,13
2017,1.99792288269052e-09,16
2018,1.96219696046995e-09,15
2019,1.71616323929591e-09,13
