"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,8.5149458912375e-11,0
1833,8.5149458912375e-11,0
1834,8.5149458912375e-11,0
1835,8.5149458912375e-11,0
1836,8.5149458912375e-11,0
1837,8.5149458912375e-11,0
1838,8.5149458912375e-11,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,4.8134222798067e-11,0
1858,4.8134222798067e-11,0
1859,4.8134222798067e-11,0
1860,4.8134222798067e-11,0
1861,4.8134222798067e-11,0
1862,4.8134222798067e-11,0
1863,4.8134222798067e-11,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,6.48191579775771e-11,0
1883,6.48191579775771e-11,0
1884,9.53300652703096e-11,0
1885,1.53376616962575e-10,1
1886,1.53376616962575e-10,1
1887,2.9154645761079e-10,1
1888,2.9154645761079e-10,1
1889,2.26727299633213e-10,1
1890,2.26727299633213e-10,1
1891,1.96216392340481e-10,1
1892,1.38169840648215e-10,1
1893,1.84293183888177e-10,1
1894,6.8215116095465e-11,0
1895,6.8215116095465e-11,0
1896,6.8215116095465e-11,0
1897,1.79675647376294e-10,1
1898,2.15751983739005e-10,1
1899,2.15751983739005e-10,2
1900,2.78052267718313e-10,2
1901,3.41643931399206e-10,3
1902,3.41643931399206e-10,3
1903,4.05400510780244e-10,3
1904,3.41501200334144e-10,3
1905,3.66412313189203e-10,3
1906,4.750172160379e-10,4
1907,6.59597063476117e-10,6
1908,9.44473899882376e-10,9
1909,1.04094095644745e-09,9
1910,1.29398384467778e-09,12
1911,1.30233435147176e-09,13
1912,1.27017511786232e-09,13
1913,1.29025148501835e-09,13
1914,1.17264588515655e-09,12
1915,8.49901779905896e-10,8
1916,8.28694037994079e-10,8
1917,6.51551912621086e-10,6
1918,7.39442575622576e-10,7
1919,9.80523546285322e-10,9
1920,8.51842276280593e-10,9
1921,7.04556009764204e-10,7
1922,1.13976577878086e-09,11
1923,1.16272024250749e-09,7
1924,1.34054276806112e-09,7
1925,1.44979730205235e-09,8
1926,1.27157997623481e-09,7
1927,1.31705673351539e-09,8
1928,1.42580203199572e-09,9
1929,1.0944908788803e-09,7
