"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,5.55250616279019e-08,5
1856,5.55250616279019e-08,6
1857,5.55250616279019e-08,6
1858,5.55250616279019e-08,5
1859,5.55250616279019e-08,6
1860,5.55250616279019e-08,6
1861,6.80596526438291e-08,5
1862,1.25345910159272e-08,1
1863,1.25345910159272e-08,1
1864,1.25345910159272e-08,1
1865,1.25345910159272e-08,1
1866,1.3632006253975e-08,2
1867,1.3632006253975e-08,2
1868,1.09741523804782e-09,0
1869,1.09741523804782e-09,0
1870,1.09741523804782e-09,0
1871,1.09741523804782e-09,0
1872,1.09741523804782e-09,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,6.73932084741377e-10,0
1881,6.73932084741377e-10,0
1882,6.73932084741377e-10,0
1883,6.73932084741377e-10,0
1884,6.73932084741377e-10,0
1885,3.57877391213687e-09,1
1886,3.57877391213687e-09,1
1887,2.90484182739549e-09,1
1888,2.90484182739549e-09,1
1889,3.99187349842123e-09,1
1890,3.99187349842123e-09,1
1891,3.99187349842123e-09,1
1892,1.08703167102574e-09,0
1893,1.08703167102574e-09,0
1894,1.08703167102574e-09,0
1895,1.08703167102574e-09,0
1896,5.04313035776249e-10,0
1897,5.04313035776249e-10,0
1898,5.04313035776249e-10,0
1899,5.04313035776249e-10,0
1900,5.04313035776249e-10,0
1901,5.04313035776249e-10,0
1902,5.04313035776249e-10,0
1903,3.82715224591022e-10,0
1904,3.82715224591022e-10,0
1905,3.82715224591022e-10,0
1906,3.82715224591022e-10,0
1907,3.82715224591022e-10,0
1908,3.82715224591022e-10,0
1909,3.82715224591022e-10,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,5.33679449838636e-10,0
1917,3.2440061430756e-09,1
1918,3.2440061430756e-09,1
1919,3.2440061430756e-09,1
1920,3.2440061430756e-09,1
1921,3.2440061430756e-09,1
1922,3.2440061430756e-09,1
1923,2.71032669323696e-09,1
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,1.39855492266504e-09,0
1935,1.39855492266504e-09,0
1936,1.39855492266504e-09,0
1937,1.39855492266504e-09,0
1938,1.39855492266504e-09,0
1939,1.39855492266504e-09,0
1940,1.39855492266504e-09,0
1941,0,0
1942,3.59026611615069e-09,1
1943,3.59026611615069e-09,0
1944,4.19009880760411e-09,1
1945,4.19009880760411e-09,1
1946,4.19009880760411e-09,1
1947,4.19009880760411e-09,1
1948,4.19009880760411e-09,1
1949,5.99832691453425e-10,0
1950,5.99832691453425e-10,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,3.17032876141963e-10,0
1967,3.17032876141963e-10,0
1968,3.17032876141963e-10,0
1969,3.17032876141963e-10,0
1970,3.17032876141963e-10,0
1971,1.03588946944098e-09,0
1972,1.75400563914455e-09,1
1973,1.43697276300259e-09,1
1974,1.43697276300259e-09,1
1975,1.43697276300259e-09,1
1976,1.43697276300259e-09,1
1977,1.7019295813928e-09,1
1978,2.943898759687e-09,1
1979,2.22578258998344e-09,1
1980,2.22578258998344e-09,1
1981,2.85834966806675e-09,2
1982,2.85834966806675e-09,2
1983,2.85834966806675e-09,2
1984,3.91968050080952e-09,3
1985,2.28166993235642e-09,2
1986,2.58145029162295e-09,2
1987,2.85336227661454e-09,2
1988,3.02486876816285e-09,3
1989,3.02486876816285e-09,3
1990,3.02486876816285e-09,3
1991,1.81780883996246e-09,2
1992,1.49499363682232e-09,2
1993,2.5414585753352e-09,3
1994,2.2695465903436e-09,3
1995,1.46547302071198e-09,2
1996,1.55915125255035e-09,2
1997,1.55915125255035e-09,2
1998,2.52400048480642e-09,3
1999,2.52400048480642e-09,4
2000,2.06809332357695e-09,4
2001,2.30792845945516e-09,5
2002,2.71363573675235e-09,7
2003,2.98399475763743e-09,8
2004,3.26639229156608e-09,10
2005,2.93291066829785e-09,8
2006,3.65908622647547e-09,11
2007,3.1404535579181e-09,11
2008,3.22106605871968e-09,13
2009,4.12764195244021e-09,19
2010,3.89159365248621e-09,19
2011,3.70247694011664e-09,23
2012,3.56410641872656e-09,27
2013,2.98599786365182e-09,23
2014,2.98124153340153e-09,27
2015,3.21290534058668e-09,24
2016,2.03187435725878e-09,14
2017,2.22119963857089e-09,18
2018,2.53484641610235e-09,20
2019,2.09716460169984e-09,16
