"Year","Freq","Count"
1800,5.08141073662927e-09,1
1801,4.06512858930341e-09,1
1802,3.38760715775284e-09,1
1803,3.60566319658671e-09,1
1804,3.34381715967018e-09,1
1805,1.60784706184001e-09,1
1806,1.26562757099943e-09,1
1807,1.26562757099943e-09,1
1808,1.26562757099943e-09,1
1809,1.44655238581188e-09,1
1810,7.44552467299034e-10,1
1811,4.39474916775444e-10,0
1812,1.39430795480828e-09,1
1813,1.13575785284529e-09,1
1814,1.13575785284529e-09,1
1815,1.13575785284529e-09,1
1816,9.54833038032835e-10,1
1817,9.54833038032835e-10,1
1818,1.13386790433014e-09,1
1819,1.79034866297302e-10,0
1820,1.79034866297302e-10,0
1821,1.79034866297302e-10,0
1822,1.79034866297302e-10,0
1823,1.79034866297302e-10,0
1824,1.79034866297302e-10,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,8.37834000590375e-10,1
1836,8.37834000590375e-10,1
1837,2.38666222499414e-09,4
1838,2.38666222499414e-09,4
1839,2.38666222499414e-09,5
1840,2.38666222499414e-09,4
1841,3.01646078750194e-09,6
1842,2.17862678691156e-09,4
1843,2.17862678691156e-09,4
1844,6.29798562507793e-10,1
1845,6.29798562507793e-10,1
1846,6.29798562507793e-10,1
1847,6.90404023633613e-10,1
1848,6.06054611258194e-11,0
1849,6.06054611258194e-11,0
1850,6.06054611258194e-11,0
1851,1.53462651316819e-10,0
1852,1.01300933911094e-09,3
1853,1.2543060518804e-09,4
1854,1.19370059075458e-09,4
1855,3.13626514441318e-09,9
1856,3.53385558910751e-09,10
1857,3.63012403470364e-09,10
1858,3.53726684451264e-09,10
1859,2.73864954523719e-09,8
1860,2.5583480453165e-09,8
1861,3.12321489305743e-09,8
1862,1.18065033939883e-09,3
1863,8.30797771847866e-10,2
1864,6.00918305591693e-09,15
1865,6.00918305591693e-09,15
1866,6.43488950220166e-09,19
1867,8.01596746519933e-09,24
1868,7.58553569957243e-09,24
1869,7.58553569957243e-09,24
1870,7.58003428278999e-09,25
1871,2.30538055312479e-09,7
1872,2.30538055312479e-09,8
1873,1.81874471832139e-09,6
1874,1.76671542474947e-10,1
1875,4.22364603609131e-11,0
1876,4.22364603609131e-11,0
1877,8.03888463732757e-10,3
1878,1.56588101215708e-09,6
1879,1.56588101215708e-09,6
1880,1.73031443141878e-09,7
1881,1.73031443141878e-09,7
1882,1.73031443141878e-09,7
1883,1.73031443141878e-09,7
1884,1.1094914154075e-09,5
1885,4.92615246213849e-10,2
1886,5.20203862129444e-10,2
1887,3.83404411393887e-10,2
1888,3.83404411393887e-10,2
1889,4.88087998589443e-10,3
1890,7.66340594157303e-10,4
1891,6.08880196262263e-10,3
1892,4.63763817031599e-10,3
1893,6.20668574075849e-10,3
1894,5.93034605549698e-10,3
1895,5.93034605549698e-10,4
1896,1.10852464509291e-09,7
1897,9.04579070378933e-10,6
1898,9.33088525096564e-10,6
1899,1.00594415139036e-09,7
1900,8.39521382967057e-10,6
1901,1.09657168266354e-09,9
1902,1.16544484380603e-09,9
1903,5.93088649620504e-10,5
1904,5.98050329496986e-10,5
1905,5.43935824952919e-10,4
1906,4.71080198659126e-10,4
1907,5.11610289847094e-10,5
1908,2.54559990150608e-10,2
1909,2.82153885573193e-10,3
1910,2.61884232553657e-10,3
1911,1.96593463730466e-10,2
1912,2.1100757153463e-10,2
1913,3.25390923531074e-10,3
1914,3.25256186071789e-10,3
1915,3.57133631199792e-10,4
