"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,2.63190957282079e-08,1
1813,2.63190957282079e-08,0
1814,3.59737331986513e-08,0
1815,3.59737331986513e-08,1
1816,4.90965510786217e-08,1
1817,4.90965510786217e-08,1
1818,4.90965510786217e-08,1
1819,2.27774553504137e-08,0
1820,2.27774553504137e-08,1
1821,3.03207922261858e-08,1
1822,3.03207922261858e-08,1
1823,1.71979743462154e-08,1
1824,1.71979743462154e-08,1
1825,1.71979743462154e-08,1
1826,2.76284696708119e-08,1
1827,2.76284696708119e-08,1
1828,1.04304953245966e-08,0
1829,1.04304953245966e-08,0
1830,2.22622306621036e-08,1
1831,2.22622306621036e-08,1
1832,3.31870170709538e-08,2
1833,3.86053348019491e-08,2
1834,6.06826081447512e-08,4
1835,6.56491912260598e-08,4
1836,7.70717564689351e-08,6
1837,6.86551283126034e-08,5
1838,8.29477025478452e-08,5
1839,9.10706727808019e-08,7
1840,8.29836884922283e-08,7
1841,6.90210385353599e-08,6
1842,6.94496815611956e-08,7
1843,7.10534699014228e-08,5
1844,8.36663888646529e-08,7
1845,7.9303976211317e-08,8
1846,6.72218867237007e-08,6
1847,6.09372589214071e-08,5
1848,6.06110797107817e-08,5
1849,6.54422303014712e-08,5
1850,5.56546847972429e-08,5
1851,4.87768006302807e-08,4
1852,3.88466390483749e-08,4
1853,4.08410294789568e-08,4
1854,4.48128477817785e-08,4
1855,6.47869364505433e-08,6
1856,6.87717677091574e-08,8
1857,7.71909094104168e-08,8
1858,7.16943279347301e-08,6
1859,7.54231684092182e-08,8
1860,6.64631108244456e-08,7
1861,6.93704852291635e-08,5
1862,5.40327280061449e-08,4
1863,4.91712423159437e-08,4
1864,4.5419707614006e-08,5
1865,4.71290922478472e-08,5
1866,5.65692346299329e-08,8
1867,6.84457148736328e-08,10
1868,6.00893212013684e-08,10
1869,6.61982996673162e-08,9
1870,6.71002879926164e-08,10
1871,6.77241729363232e-08,10
1872,6.54740756849443e-08,8
1873,5.86779404747923e-08,7
1874,5.12392300017999e-08,6
1875,6.25570135375548e-08,9
1876,5.48937370479864e-08,7
1877,5.40913454979578e-08,7
1878,5.46491266208347e-08,6
1879,6.19413833240807e-08,8
1880,6.36557209483206e-08,10
1881,6.35317556023957e-08,11
1882,7.13378115944709e-08,10
1883,6.64399877337019e-08,14
1884,6.76434806580671e-08,11
1885,7.38058188533484e-08,13
1886,7.46496066231625e-08,12
1887,8.63761775755328e-08,16
1888,9.39667929498812e-08,18
1889,8.13651434482056e-08,16
1890,8.26330556995864e-08,18
1891,7.60143359051264e-08,17
1892,6.45420352084005e-08,17
1893,6.52801023396218e-08,18
1894,5.94462795179749e-08,15
1895,5.62360596185434e-08,19
1896,5.3748373878599e-08,18
1897,5.44288753750217e-08,18
1898,5.53276713333162e-08,18
