"Year","Freq","Count"
1800,1.61874922022243e-07,41
1801,1.568031561483e-07,38
1802,1.64603541241704e-07,39
1803,1.52671748259487e-07,53
1804,1.56104235950392e-07,48
1805,1.47915021818181e-07,48
1806,1.44819254112503e-07,59
1807,1.26342743314975e-07,59
1808,1.18843967619345e-07,65
1809,1.08573652988854e-07,60
1810,1.35565617525352e-07,92
1811,1.27547772217034e-07,77
1812,1.32157354076108e-07,104
1813,1.27961060668115e-07,84
1814,1.22926332129276e-07,75
1815,1.21738688368162e-07,73
1816,1.1794615335197e-07,86
1817,8.7938568363707e-08,60
1818,8.41098923208351e-08,62
1819,8.2571518765308e-08,62
1820,7.55945398342054e-08,63
1821,7.56076783720821e-08,60
1822,7.71439204897259e-08,73
1823,7.18122057057664e-08,69
1824,7.1292028534588e-08,79
1825,7.24478500048674e-08,83
1826,7.49414421313028e-08,76
1827,7.628879153795e-08,81
1828,7.54380972927444e-08,85
1829,7.56650711927368e-08,91
1830,8.35091770020771e-08,114
1831,9.02322274676237e-08,116
1832,9.32551512202094e-08,189
1833,9.41868087649717e-08,141
1834,9.90833181216796e-08,152
1835,9.99882848977991e-08,167
1836,1.02871792203744e-07,177
1837,9.6100111590669e-08,165
1838,9.43052353113189e-08,160
1839,9.25969058334403e-08,176
1840,8.84215361961007e-08,162
1841,8.64643259292284e-08,161
1842,8.68692754872415e-08,163
1843,8.2882214516181e-08,156
1844,8.84796580010886e-08,180
1845,8.72503053813859e-08,204
1846,9.01434029524203e-08,196
1847,8.54006235768383e-08,182
1848,8.59514566068206e-08,183
1849,8.9923042428941e-08,196
1850,9.12169062505797e-08,214
1851,9.05479716246343e-08,236
1852,9.49816520791545e-08,252
1853,9.14002233382798e-08,274
1854,9.61974485585199e-08,295
1855,9.58434460169537e-08,270
1856,9.44595052454478e-08,279
1857,9.56008900931948e-08,269
1858,9.48273365426149e-08,257
1859,9.16255930532334e-08,262
1860,9.67426189197556e-08,286
1861,9.78647333845942e-08,242
1862,1.04588904096893e-07,244
1863,1.01565318080413e-07,237
1864,1.08423476887141e-07,273
1865,1.05179975380081e-07,269
1866,1.06225975333401e-07,317
1867,1.02659828622136e-07,310
1868,9.99515767136876e-08,322
1869,9.35311479060325e-08,301
1870,9.44528903978892e-08,311
1871,8.56944550796181e-08,272
1872,8.25366021480914e-08,297
1873,8.14245398645624e-08,274
1874,7.8201119413368e-08,274
1875,7.74566698478831e-08,269
1876,7.37180310049292e-08,269
1877,7.40914280800935e-08,265
1878,7.05716881282165e-08,250
1879,7.29817552502787e-08,271
1880,6.84559625890075e-08,279
1881,6.96643428578701e-08,273
1882,6.98618353009043e-08,285
1883,6.78886742496879e-08,294
1884,6.43822829612554e-08,290
1885,6.62528188937512e-08,291
1886,6.32979048283331e-08,280
1887,6.24835078499071e-08,291
1888,6.12398231312047e-08,300
1889,5.80992225658804e-08,300
1890,5.86024827176861e-08,302
1891,5.96967393712289e-08,315
1892,5.83914770206441e-08,317
1893,5.67372652273056e-08,319
1894,5.95707829334887e-08,331
1895,5.93713536429468e-08,376
1896,5.7874882315139e-08,357
1897,5.91793020936799e-08,381
1898,5.80448758780161e-08,390
1899,5.82779207867836e-08,428
1900,5.95306061113021e-08,456
1901,5.77108605982955e-08,455
1902,5.60780389109133e-08,438
1903,5.493770758948e-08,433
1904,5.14220285994872e-08,427
1905,4.69291030351569e-08,388
1906,4.39701250518858e-08,392
1907,4.09400954635391e-08,367
1908,3.8132611408781e-08,356
1909,3.60651786123925e-08,331
1910,3.44952803771733e-08,335
1911,3.33618033704749e-08,346
1912,3.21227184485065e-08,332
1913,3.14116861123227e-08,324
1914,3.11966130934046e-08,318
1915,2.88295039101359e-08,285
1916,2.77339298818124e-08,276
1917,2.78567077589633e-08,271
1918,2.72008668297796e-08,243
1919,2.80566568172658e-08,265
1920,2.6358654380197e-08,269
1921,2.60802451123349e-08,258
1922,2.71373483506127e-08,272
1923,2.72459241021769e-08,167
1924,2.72045755565577e-08,138
1925,2.88432014026809e-08,170
1926,2.95412305332096e-08,171
1927,2.92128146910693e-08,170
1928,2.93160693815813e-08,181
1929,2.81605191705075e-08,175
1930,2.79188499541227e-08,175
1931,2.78920795904192e-08,174
1932,2.75627803676086e-08,155
1933,2.70985229731759e-08,142
1934,2.63368110098305e-08,143
1935,2.58077251236166e-08,155
1936,2.5447463596657e-08,156
1937,2.44214532168258e-08,155
1938,2.29579482488188e-08,147
1939,2.01026048585184e-08,137
1940,1.81603055847214e-08,115
1941,1.85008891143542e-08,121
1942,1.71203728733487e-08,98
1943,1.73647407246997e-08,96
