"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,3.31785189798341e-09,0
1870,3.31785189798341e-09,0
1871,3.31785189798341e-09,1
1872,3.31785189798341e-09,0
1873,3.31785189798341e-09,0
1874,3.31785189798341e-09,0
1875,3.31785189798341e-09,0
1876,2.17519990591037e-08,3
1877,2.17519990591037e-08,3
1878,2.17519990591037e-08,2
1879,2.17519990591037e-08,3
1880,2.17519990591037e-08,3
1881,2.25739996853999e-08,4
1882,2.4092146309686e-08,3
1883,2.34014725058224e-09,0
1884,2.34014725058224e-09,0
1885,2.34014725058224e-09,0
1886,2.34014725058224e-09,0
1887,2.94903847373819e-09,1
1888,2.12703784744203e-09,0
1889,6.08891223155946e-10,0
1890,6.08891223155946e-10,0
1891,6.08891223155946e-10,0
1892,6.20030953563904e-09,2
1893,8.6468667781503e-09,2
1894,8.03797555499435e-09,2
1895,8.03797555499435e-09,3
1896,8.75824987137516e-09,3
1897,8.75824987137516e-09,3
1898,9.07111037078729e-09,3
1899,3.4796920583042e-09,2
1900,1.03313481579294e-09,1
1901,1.03313481579294e-09,0
1902,1.03313481579294e-09,0
1903,3.12860499412133e-10,0
1904,3.12860499412133e-10,0
1905,0,0
1906,0,0
1907,0,0
1908,3.99790518151073e-10,0
1909,3.99790518151073e-10,0
1910,3.99790518151073e-10,0
1911,3.99790518151073e-10,0
1912,3.99790518151073e-10,0
1913,3.99790518151073e-10,0
1914,3.99790518151073e-10,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,6.18129166899247e-10,0
1924,6.18129166899247e-10,0
1925,6.18129166899247e-10,0
1926,6.18129166899247e-10,0
1927,6.18129166899247e-10,0
1928,1.67123965460243e-09,0
1929,1.25090654659995e-08,3
1930,1.18909362991003e-08,3
1931,1.25821983942842e-08,3
1932,1.32304575549215e-08,3
1933,1.32304575549215e-08,2
1934,1.32304575549215e-08,3
1935,1.21773470672183e-08,3
1936,1.33952125582125e-09,0
1937,1.33952125582125e-09,0
1938,6.48259160637313e-10,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,1.49654277541751e-08,4
1948,1.49654277541751e-08,4
1949,1.49654277541751e-08,3
1950,1.49654277541751e-08,4
1951,1.49654277541751e-08,4
1952,1.49654277541751e-08,7
1953,1.49654277541751e-08,4
1954,9.78558630951706e-10,0
1955,9.78558630951706e-10,0
1956,9.78558630951706e-10,0
1957,9.78558630951706e-10,0
1958,9.78558630951706e-10,0
1959,9.78558630951706e-10,0
1960,9.78558630951706e-10,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,3.00093791086705e-10,0
1967,3.00093791086705e-10,0
1968,3.00093791086705e-10,0
1969,3.00093791086705e-10,0
1970,3.00093791086705e-10,0
1971,3.00093791086705e-10,0
1972,3.00093791086705e-10,0
1973,0,0
1974,1.46849871945116e-09,1
1975,5.68550032450535e-09,2
1976,1.0520484039489e-08,5
1977,1.10205259521276e-08,5
1978,1.17142046539089e-08,6
1979,1.67963580187193e-08,8
1980,1.76350612684268e-08,9
1981,1.61665625489757e-08,9
1982,1.19495609439215e-08,7
1983,7.28296066311783e-09,5
1984,7.72035383242045e-09,5
1985,7.02667513063915e-09,5
1986,3.63715078689962e-09,3
1987,3.43847520297861e-09,3
1988,3.43847520297861e-09,3
1989,3.5619033119819e-09,3
1990,3.86885923298053e-09,4
1991,3.04359290944792e-09,3
1992,3.49341965672727e-09,4
1993,3.00856860773508e-08,34
1994,2.97613967676596e-08,35
1995,3.02556479631859e-08,36
1996,3.02202458057899e-08,38
1997,3.05441120094864e-08,39
1998,3.12700003351247e-08,42
1999,3.15351597652518e-08,48
2000,3.59450813161974e-09,8
2001,4.09038242562712e-09,9
2002,3.88178666591418e-09,9
2003,3.87927763325001e-09,10
2004,4.40510626785264e-09,13
2005,3.56704918380579e-09,10
2006,3.33445468855434e-09,10
2007,5.74965142956836e-09,20
2008,5.49523482273884e-09,23
2009,5.62491396318064e-09,26
2010,5.88199815045241e-09,29
2011,4.68783082193828e-09,29
2012,4.84899758044856e-09,37
2013,4.72309724267436e-09,37
2014,3.06096760240214e-09,28
2015,4.87296995215531e-09,36
2016,6.94291085337869e-09,46
2017,7.7003613716912e-09,62
2018,9.05722003508025e-09,70
2019,1.10394832164573e-08,83
