"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,1.50750158388137e-10,0
1870,1.50750158388137e-10,0
1871,1.50750158388137e-10,0
1872,2.2879376171403e-10,1
1873,2.2879376171403e-10,1
1874,2.2879376171403e-10,1
1875,2.2879376171403e-10,1
1876,5.33368815780477e-09,19
1877,6.53118809828308e-09,23
1878,6.53118809828308e-09,23
1879,6.45314449495718e-09,24
1880,6.76608131427210e-09,27
1881,6.97631389165057e-09,27
1882,7.56233578932556e-09,31
1883,2.67342048498875e-09,12
1884,1.82415392315148e-09,8
1885,1.85175694222828e-09,8
1886,1.87798934538273e-09,8
1887,1.59134966513731e-09,7
1888,1.4067909813255e-09,7
1889,8.20769083650522e-10,4
1890,4.54039833508446e-10,2
1891,2.51889314961673e-10,1
1892,6.51484334733356e-10,4
1893,7.56775882039738e-10,4
1894,7.51469882352497e-10,4
1895,7.25795988785828e-10,5
1896,7.99501054645927e-10,5
1897,7.99501054645927e-10,5
1898,7.04808782765148e-10,5
1899,2.94905966710271e-10,2
1900,1.977083596045e-10,2
1901,1.76717220222246e-10,1
1902,2.74820079391804e-10,2
1903,3.675333985566e-10,3
1904,5.63213565071433e-10,5
1905,8.44666729417552e-10,7
1906,1.07782076716071e-09,10
1907,1.0991445035881e-09,10
1908,1.11217644716793e-09,10
1909,1.10564357768445e-09,10
1910,1.33154673299345e-09,13
1911,1.18894072662476e-09,12
1912,8.83473717794292e-10,9
1913,6.87330302792269e-10,7
1914,7.28888483300264e-10,7
1915,7.15856539720442e-10,7
1916,6.52896301507016e-10,6
1917,3.53479841627305e-10,3
1918,3.14066708156131e-10,3
1919,3.00188363254263e-10,3
1920,2.67906995199407e-10,3
1921,1.70698734908952e-10,2
1922,3.31173178166492e-10,3
1923,3.72531997313733e-10,2
1924,5.11543561478232e-10,3
1925,5.19725944820542e-10,3
1926,6.58557956183843e-10,4
1927,1.06833949821615e-09,6
1928,2.06402669360768e-09,13
1929,2.43186935866557e-09,15
1930,2.43948460043608e-09,15
