"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,1.69820107182821e-09,0
1861,1.69820107182821e-09,0
1862,1.69820107182821e-09,0
1863,1.69820107182821e-09,0
1864,1.69820107182821e-09,0
1865,1.69820107182821e-09,0
1866,1.69820107182821e-09,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,3.72664997273984e-09,2
1900,3.72664997273984e-09,2
1901,3.72664997273984e-09,2
1902,3.72664997273984e-09,1
1903,3.72664997273984e-09,1
1904,3.72664997273984e-09,1
1905,3.72664997273984e-09,1
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,6.21467639254953e-10,0
1926,6.21467639254953e-10,0
1927,6.21467639254953e-10,0
1928,6.21467639254953e-10,0
1929,6.21467639254953e-10,0
1930,2.3169323602547e-09,1
1931,2.3169323602547e-09,1
1932,1.69546472099975e-09,0
1933,1.69546472099975e-09,0
1934,1.69546472099975e-09,0
1935,1.69546472099975e-09,0
1936,1.69546472099975e-09,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,1.95743573730819e-09,0
1942,1.95743573730819e-09,0
1943,3.201712799645e-09,0
1944,3.201712799645e-09,0
1945,3.201712799645e-09,1
1946,3.201712799645e-09,1
1947,3.201712799645e-09,1
1948,1.24427706233681e-09,0
1949,1.24427706233681e-09,0
1950,0,0
1951,5.32514350075936e-10,0
1952,1.48019653676913e-09,1
1953,1.48019653676913e-09,0
1954,1.99825232551275e-09,1
1955,1.99825232551275e-09,1
1956,1.99825232551275e-09,1
1957,1.99825232551275e-09,1
1958,1.87031615591796e-09,1
1959,1.33076346767577e-09,0
1960,1.33076346767577e-09,0
1961,8.12707678932156e-10,0
1962,8.12707678932156e-10,0
1963,8.12707678932156e-10,0
1964,1.79470102271547e-09,1
1965,1.39012284223432e-09,1
1966,1.61605909606724e-09,1
1967,3.4509552675794e-09,2
1968,8.03211357742433e-09,4
1969,8.76005084344505e-09,4
1970,9.48738522664274e-09,4
1971,8.50539188285942e-09,3
1972,8.50539188285942e-09,3
1973,7.87132613057549e-09,3
1974,7.27940254106686e-09,3
1975,4.48281469088231e-09,2
1976,3.7548774248616e-09,2
1977,3.02754304166391e-09,1
1978,4.49816235053342e-09,2
1979,5.66951818825601e-09,3
1980,7.0034316124179e-09,4
1981,5.97131472839558e-09,3
1982,5.56080665641596e-09,3
1983,6.27559532911144e-09,4
1984,6.27559532911144e-09,4
1985,5.61201401223193e-09,4
1986,5.33999922058825e-09,4
1987,4.00608579642636e-09,3
1988,4.73331589796138e-09,4
1989,4.40894736592717e-09,4
1990,4.32592323867149e-09,5
1991,5.39897269748378e-09,6
1992,6.02671106670576e-09,7
1993,5.35174423824511e-09,6
1994,6.69617572501835e-09,8
1995,5.96831874398264e-09,7
1996,5.85540722258011e-09,7
1997,5.81301871717597e-09,7
1998,5.31389238960551e-09,7
1999,4.64092144079688e-09,7
2000,5.04502119445606e-09,11
2001,3.98839187073666e-09,9
2002,4.64029100858251e-09,11
2003,3.93103194440414e-09,11
2004,3.82576598972102e-09,11
2005,4.10479212525112e-09,12
2006,4.61379391834628e-09,14
2007,4.95747271805109e-09,18
2008,6.84413662252073e-09,29
2009,7.1649118384341e-09,34
2010,8.34526708055299e-09,42
2011,9.10490127736807e-09,57
2012,9.30421339973009e-09,72
2013,9.2390946956503e-09,72
2014,9.42021064328661e-09,87
2015,7.9082783496379e-09,59
2016,7.40038646236079e-09,50
2017,6.99125927520565e-09,57
2018,6.6482691352121e-09,52
2019,6.46887898803072e-09,49
